GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4951: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4952: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4953: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4984: Total - Income statistics in 2015 for private households by household size - 25% sample data,v_CA16_4987: Total - Income statistics in 2015 for one-person private households - 25% sample data,v_CA16_4990: Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,v_CA16_4993: Total - Income statistics in 2015 for economic families in private households - 25% sample data,v_CA16_4996: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,v_CA16_4999: Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,v_CA16_6751: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6752: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6753: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_5002: Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,v_CA16_5006: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5007: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_2605: Official languages,v_CA16_2604: Official languages,v_CA16_2606: Official languages,v_CA16_2614: Non-official languages,v_CA16_2613: Non-official languages,v_CA16_2615: Non-official languages,v_CA16_5807: Bicycle
5350089.00,CT,Toronto,0.32969,3896,2995,2345,3505,1635,1875,2320,1310,1010,930,610,180,3505,1630,1875,95,625,1485,860,1680,3640,1965,745,1610,865,35
5350090.00,CT,Toronto,0.39427,4144,2584,2347,3640,1615,2020,2375,1305,1065,1005,605,270,3635,1615,2025,115,570,1430,870,1735,3880,2145,585,1415,830,55
5350091.01,CT,Toronto,0.51145,6031,3639,3224,4910,2350,2565,3210,1795,1410,1235,835,220,4915,2350,2565,130,1000,2275,1275,2460,5130,2670,870,1965,1090,245
5350091.02,CT,Toronto,0.32714,3525,2288,2009,3205,1520,1685,2025,1100,925,735,350,180,3210,1525,1690,165,745,1605,860,1665,3465,1800,545,1185,645,230
5350092.00,CT,Toronto,0.62885,7278,4113,3718,6345,3090,3255,3725,1735,1990,1575,795,495,6350,3090,3255,210,1440,2895,1460,3400,6935,3535,1120,2315,1200,560
5350093.00,CT,Toronto,0.61785,5652,2490,2291,4685,2220,2465,2285,650,1640,1385,510,600,4685,2220,2465,205,690,1420,735,2505,5260,2755,860,2010,1150,550
5350094.00,CT,Toronto,0.63892,4950,2177,2048,4215,1920,2300,2025,550,1480,1280,460,535,4215,1920,2300,250,490,1090,600,2070,4410,2340,1055,2420,1365,370
5350095.00,CT,Toronto,0.31549,3095,1392,1319,2880,1485,1390,1345,385,955,760,300,310,2875,1490,1390,100,560,1030,470,1555,2975,1420,720,1480,755,270
5350096.01,CT,Toronto,0.20053,1658,694,658,1490,735,750,660,155,505,425,145,190,1490,735,755,70,240,420,180,805,1570,765,400,855,460,135
5350096.02,CT,Toronto,0.34918,3336,1494,1398,2965,1425,1535,1415,445,970,860,350,290,2960,1430,1540,135,395,820,420,1485,3015,1525,835,1730,895,240
5350097.01,CT,Toronto,0.3825,4322,1758,1621,3430,1735,1705,1540,440,1105,935,300,460,3430,1730,1705,135,575,1010,440,1885,3665,1785,1215,2455,1240,215
5350097.03,CT,Toronto,0.17179,1207,783,679,1080,595,490,645,375,265,215,30,95,1080,590,490,65,355,555,195,620,1120,500,365,635,270,45
5350097.04,CT,Toronto,0.32489,5462,2528,2392,4900,2430,2465,2465,880,1585,1345,535,530,4895,2430,2465,230,845,1615,770,2480,4930,2445,1500,3115,1615,230
5350098.00,CT,Toronto,0.71535,7099,3123,3002,6095,2895,3195,3000,960,2045,1845,615,820,6095,2895,3200,345,725,1550,825,3210,6620,3410,1590,3445,1860,305
5350099.00,CT,Toronto,0.5813,6585,3380,3241,5620,2785,2835,3255,1390,1865,1685,680,675,5620,2780,2835,255,970,1875,910,3160,6435,3275,1415,2940,1530,230
5350100.00,CT,Toronto,0.28925,2956,1492,1432,2360,1120,1240,1430,705,725,685,305,240,2360,1115,1240,110,430,875,445,1270,2640,1365,430,925,490,135
5350101.00,CT,Toronto,0.43014,3128,1595,1464,2805,1325,1480,1495,510,990,855,360,335,2810,1325,1480,130,410,845,440,1515,3185,1665,420,960,540,155
5350102.02,CT,Toronto,0.11566,4313,2688,2535,3950,1795,2155,2595,1385,1205,1085,620,240,3950,1795,2155,205,755,1695,940,1955,4225,2270,950,2115,1165,65
5350102.03,CT,Toronto,0.13087,3682,2178,2095,3330,1495,1835,2095,1015,1070,1010,500,275,3330,1495,1835,200,485,1180,700,1665,3605,1935,915,2005,1090,80
5350102.04,CT,Toronto,0.10129,671,309,285,505,230,275,265,80,185,165,60,70,505,235,275,20,50,135,85,285,615,325,100,220,115,15
5350102.05,CT,Toronto,0.11899,861,359,340,675,305,370,325,90,240,230,80,140,675,305,365,0,25,135,105,380,810,430,130,290,160,30
5350103.00,CT,Toronto,0.83794,6050,2627,2527,4895,2250,2640,2490,770,1715,1630,650,770,4895,2255,2645,185,415,1030,610,2690,5770,3075,880,1950,1075,145
5350104.00,CT,Toronto,0.73732,5525,2141,2054,4470,2105,2370,2080,425,1650,1610,460,925,4470,2100,2365,190,230,580,350,2625,5600,2970,645,1490,840,130
5350105.00,CT,Toronto,0.55453,4509,1917,1790,3750,1840,1910,1795,470,1325,1260,445,605,3755,1845,1905,155,295,685,395,2145,4350,2205,720,1580,860,200
5350106.00,CT,Toronto,1.37076,3773,1427,1343,3085,1505,1580,1305,305,1000,925,180,495,3080,1505,1580,230,310,590,285,1745,3405,1660,1155,2420,1265,35
