GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4951: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4952: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4953: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,v_CA16_4984: Total - Income statistics in 2015 for private households by household size - 25% sample data,v_CA16_4987: Total - Income statistics in 2015 for one-person private households - 25% sample data,v_CA16_4990: Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,v_CA16_4993: Total - Income statistics in 2015 for economic families in private households - 25% sample data,v_CA16_4996: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,v_CA16_4999: Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,v_CA16_6751: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6752: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_6753: Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,v_CA16_5002: Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,v_CA16_5006: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_5007: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_2605: Official languages,v_CA16_2604: Official languages,v_CA16_2606: Official languages,v_CA16_2614: Non-official languages,v_CA16_2613: Non-official languages,v_CA16_2615: Non-official languages,v_CA16_5807: Bicycle
5350238.01,CT,Toronto,1.03807,3350,1259,1231,2960,1465,1495,1245,250,1005,980,295,560,2960,1460,1500,110,85,295,205,1705,3365,1660,755,1645,885,0
5350238.02,CT,Toronto,0.98177,5244,2070,1953,4335,2055,2285,1995,430,1565,1515,410,690,4335,2050,2285,340,305,615,310,2505,5135,2630,1465,3135,1675,10
5350239.00,CT,Toronto,2.55782,6481,2511,2383,5195,2370,2830,2340,515,1825,1790,380,775,5195,2365,2825,540,320,695,375,2945,6270,3325,1605,3565,1960,25
5350240.01,CT,Toronto,1.27269,3366,1291,1263,2845,1315,1535,1245,240,1005,995,355,480,2845,1310,1535,145,85,285,200,1530,3215,1690,835,1885,1050,10
5350240.02,CT,Toronto,1.04495,6043,2621,2558,5005,2220,2780,2590,895,1695,1675,585,665,5000,2220,2785,365,330,975,645,2530,5540,3015,1575,3535,1965,0
5350241.00,CT,Toronto,1.0982,3231,1030,1003,2365,1180,1190,995,185,810,785,230,415,2370,1180,1190,115,135,270,135,1375,2725,1350,705,1525,815,10
5350242.00,CT,Toronto,0.67084,1674,610,575,1290,545,745,550,120,425,430,75,140,1290,545,750,185,60,155,95,670,1540,870,385,965,585,0
5350243.01,CT,Toronto,0.31518,6658,2236,2142,5040,2425,2610,2145,530,1610,1500,330,645,5040,2430,2610,465,530,985,455,3105,6215,3110,2475,5125,2650,10
5350243.02,CT,Toronto,1.2154,3617,1342,1304,3175,1550,1630,1300,275,1030,985,250,455,3180,1545,1635,225,220,440,220,1725,3510,1790,1070,2205,1140,0
5350244.01,CT,Toronto,1.45046,5677,2009,1945,4730,2235,2500,1930,365,1555,1510,375,700,4730,2230,2500,400,360,650,290,2725,5555,2830,1350,2940,1590,10
5350244.02,CT,Toronto,1.46584,3779,1335,1274,2910,1385,1525,1290,265,1030,990,200,355,2910,1385,1525,425,260,460,200,1720,3620,1900,970,2090,1115,10
5350245.00,CT,Toronto,1.42111,6934,2672,2567,5690,2725,2960,2590,670,1925,1875,425,820,5685,2730,2965,530,440,885,440,3255,6640,3385,1615,3410,1795,25
5350246.00,CT,Toronto,1.0727,3595,1317,1279,3030,1495,1540,1255,320,935,905,235,475,3035,1500,1535,140,220,505,285,1690,3390,1700,840,1720,875,0
5350247.01,CT,Toronto,17.35024,8727,2931,2748,7275,3590,3685,2745,555,2195,2105,380,1200,7275,3590,3680,390,550,930,380,4140,8245,4105,2890,5775,2890,10
5350247.02,CT,Toronto,3.22582,7167,2537,2385,6055,3045,3015,2385,460,1930,1895,475,1040,6055,3045,3015,310,410,745,335,3520,6870,3350,2195,4400,2210,20
5350248.02,CT,Toronto,1.23696,5671,1864,1784,4270,1925,2345,1785,520,1265,1250,105,500,4270,1925,2345,585,390,635,245,2510,5325,2815,1460,3200,1745,0
5350248.03,CT,Toronto,3.79608,2619,789,754,2155,1105,1055,785,115,665,630,110,355,2160,1105,1055,150,205,295,95,1280,2510,1230,725,1355,635,0
5350248.04,CT,Toronto,1.51177,4771,1671,1496,4050,1975,2070,1500,255,1240,1070,220,550,4045,1980,2070,245,515,900,385,2275,4530,2255,1370,2725,1350,30
5350248.05,CT,Toronto,1.15519,4332,1413,1310,3585,1850,1735,1275,235,1040,960,205,515,3585,1850,1730,165,385,610,230,2025,3875,1850,1270,2530,1255,0
5350249.01,CT,Toronto,0.82975,4650,1428,1341,3835,1865,1970,1310,155,1155,1150,265,690,3835,1870,1965,145,135,300,165,2130,4225,2100,1395,2845,1455,0
5350249.03,CT,Toronto,2.96801,5696,1704,1592,4725,2255,2465,1590,180,1415,1390,185,815,4725,2255,2465,300,190,375,180,2685,5420,2730,1650,3315,1665,0
5350249.04,CT,Toronto,0.68632,3344,999,952,2875,1435,1435,980,115,865,850,180,460,2870,1435,1435,170,155,265,110,1675,3230,1560,1220,2440,1220,15
5350249.05,CT,Toronto,0.64364,5476,1584,1534,4230,2035,2195,1535,130,1405,1365,170,860,4225,2040,2190,290,160,315,155,2445,4810,2370,2315,4570,2260,0
5350250.01,CT,Toronto,1.40913,5432,1618,1545,4295,2080,2215,1540,205,1335,1290,310,665,4295,2080,2215,280,315,510,200,2350,4705,2355,1690,3450,1765,0
5350250.02,CT,Toronto,1.99197,4928,1854,1735,4100,2000,2100,1740,365,1380,1345,330,650,4105,2000,2105,325,315,550,235,2400,4850,2445,1430,2840,1410,15
5350250.04,CT,Toronto,0.50556,6206,2057,1994,4610,2175,2430,1985,275,1705,1590,210,835,4610,2175,2430,505,420,655,235,2920,5995,3080,1725,3485,1755,10
5350250.05,CT,Toronto,0.70576,7607,2288,2270,5930,2910,3020,2285,335,1950,1870,295,995,5930,2910,3020,490,395,675,285,3375,6685,3315,2780,5595,2815,10
5350260.01,CT,Toronto,0.7288,6748,2431,2398,5555,2645,2915,2380,635,1745,1640,320,955,5555,2640,2915,285,330,885,555,3035,6265,3225,2505,5300,2790,10
5350260.04,CT,Toronto,0.1881,4147,1498,1480,3180,1500,1680,1450,355,1090,1040,225,550,3180,1500,1680,225,250,530,275,1935,3825,1890,1630,3375,1745,10
5350260.05,CT,Toronto,0.2543,4020,1369,1332,2840,1380,1460,1345,315,1030,1005,90,550,2840,1380,1455,335,215,370,150,1740,3435,1700,1560,3155,1595,10
5350260.06,CT,Toronto,0.95204,3348,1132,1116,2650,1235,1415,1140,205,935,850,145,410,2655,1230,1415,240,235,415,185,1500,3165,1660,1185,2540,1360,0
5350260.07,CT,Toronto,0.35737,3670,1534,1504,3315,1540,1775,1525,460,1065,1035,350,475,3310,1540,1770,175,180,550,370,1695,3600,1905,1330,2925,1595,20
5350261.00,CT,Toronto,1.92395,5501,2284,2194,4465,1955,2505,2195,855,1340,1305,285,540,4465,1960,2505,430,365,960,600,2270,4945,2675,1505,3400,1895,0
5350262.01,CT,Toronto,0.67091,5736,2752,2728,4890,2250,2645,2735,1040,1695,1600,495,645,4895,2245,2645,385,545,1270,730,2675,5680,3000,1460,3070,1610,0
5350262.02,CT,Toronto,2.16555,6273,2526,2490,5195,2440,2755,2485,755,1725,1645,430,770,5195,2440,2755,390,475,965,495,2845,5925,3085,1765,3665,1900,20
5350263.02,CT,Toronto,2.00598,3471,1680,1629,3035,1315,1720,1680,665,1015,990,390,405,3035,1315,1720,170,245,735,490,1490,3350,1865,820,1895,1080,15
5350263.03,CT,Toronto,1.56059,4906,2106,2060,3825,1770,2050,2050,760,1280,1225,410,535,3825,1770,2055,250,375,920,540,2090,4410,2325,1060,2370,1305,15
5350263.04,CT,Toronto,0.69962,6531,3616,3536,5765,2590,3175,3500,1670,1835,1775,855,525,5770,2590,3180,310,730,1805,1070,2855,6185,3325,1635,3565,1930,0
5350264.00,CT,Toronto,3.46534,1301,482,435,1140,500,640,430,50,375,370,115,185,1140,500,640,65,30,85,55,590,1265,685,320,790,470,0
5350265.00,CT,Toronto,2.6864,4756,1855,1742,3820,1805,2015,1725,390,1340,1310,485,690,3820,1805,2010,115,135,470,335,2185,4605,2425,675,1535,865,25
5350266.00,CT,Toronto,2.76338,3209,1141,1064,2790,1370,1425,1085,165,920,920,260,550,2790,1365,1425,95,75,205,125,1580,3130,1550,710,1470,765,10
5350267.00,CT,Toronto,2.71113,6368,2133,2062,5275,2570,2705,2065,220,1845,1800,495,1110,5275,2565,2705,145,145,410,265,3025,6170,3140,1860,3795,1935,10
5350268.00,CT,Toronto,3.0571,6419,2938,2837,5495,2455,3040,2840,1055,1785,1745,635,765,5495,2450,3040,300,370,1185,810,2840,6130,3290,1315,2995,1685,25
5350269.01,CT,Toronto,0.75312,5056,2354,2081,4275,1945,2340,2080,615,1470,1335,340,505,4275,1940,2335,425,435,955,520,2215,4780,2565,1490,3125,1630,0
5350269.02,CT,Toronto,1.76908,2569,951,923,2190,1065,1115,925,145,775,760,190,430,2190,1070,1115,115,85,185,100,1285,2580,1295,670,1335,670,10
5350270.01,CT,Toronto,1.12407,4980,2117,1953,4240,1990,2245,1955,545,1410,1340,325,630,4240,1995,2245,320,405,755,350,2330,4870,2540,1280,2710,1435,0
5350270.02,CT,Toronto,0.75775,4264,1636,1611,3335,1550,1780,1610,400,1215,1205,305,510,3330,1550,1780,325,210,460,255,2000,4135,2130,815,1645,825,0
5350271.01,CT,Toronto,0.8935,2429,899,893,2150,970,1185,900,155,745,725,175,355,2150,970,1185,155,85,230,145,1150,2485,1340,480,1105,620,15
5350271.02,CT,Toronto,0.7092,4815,1765,1749,3795,1825,1975,1740,395,1345,1295,290,680,3795,1820,1975,275,270,540,270,2265,4590,2325,1065,2150,1085,10
5350272.01,CT,Toronto,0.4552,5987,2408,2342,4845,2225,2620,2330,670,1655,1555,330,715,4845,2220,2620,435,450,975,520,2695,5735,3040,1710,3610,1900,0
5350272.02,CT,Toronto,0.99884,4705,1791,1763,4060,1805,2255,1775,435,1335,1300,310,660,4060,1805,2255,275,170,555,385,2085,4565,2480,1335,2955,1620,10
5350273.01,CT,Toronto,3.20658,4014,1311,1231,3245,1570,1675,1235,145,1090,1080,295,635,3245,1570,1675,125,60,215,150,1800,3730,1930,1045,2160,1115,10
5350273.02,CT,Toronto,1.28882,4160,1530,1477,3565,1645,1920,1475,225,1255,1215,330,635,3565,1645,1920,220,110,400,290,1900,3970,2070,1225,2590,1365,10
5350274.01,CT,Toronto,1.52481,4900,1788,1756,4005,1900,2105,1730,340,1390,1330,345,685,4010,1895,2110,250,260,550,290,2300,4685,2380,1270,2690,1420,0
5350274.02,CT,Toronto,1.33137,4738,2056,1964,4225,2000,2220,1985,595,1390,1380,470,640,4225,2000,2220,225,220,665,440,2185,4665,2480,1230,2745,1510,0
5350275.00,CT,Toronto,1.97559,5836,2451,2347,5040,2315,2720,2390,735,1660,1625,605,795,5035,2315,2720,195,300,890,585,2765,5860,3095,820,1925,1105,30
5350276.01,CT,Toronto,1.22609,6446,2764,2642,5005,2165,2840,2600,955,1645,1600,515,820,5005,2165,2840,245,290,1140,845,2725,6135,3410,980,2365,1385,10
5350276.02,CT,Toronto,1.28263,6870,2514,2398,5375,2490,2885,2420,505,1915,1870,560,1050,5375,2485,2890,240,235,720,485,3165,6690,3520,1190,2710,1515,30
5350277.00,CT,Toronto,1.02778,4084,1323,1220,3140,1485,1650,1195,205,990,960,225,645,3140,1490,1655,90,125,375,250,2070,4190,2125,730,1570,840,20
5350278.00,CT,Toronto,1.3337,7734,2944,2679,5790,2680,3115,2640,845,1795,1750,460,940,5790,2680,3115,275,385,1135,750,3390,7215,3825,1735,3785,2055,20
5350279.01,CT,Toronto,1.21444,4028,1665,1523,3510,1600,1910,1560,370,1190,1145,370,510,3515,1595,1915,210,245,560,315,1790,3810,2015,1135,2660,1525,20
5350279.02,CT,Toronto,1.57835,6503,2195,2117,4955,2325,2635,2115,490,1625,1555,360,780,4955,2325,2635,355,335,735,400,2620,5370,2750,1720,3805,2080,0
5350280.00,CT,Toronto,2.14172,7333,2993,2920,6035,2760,3270,2920,830,2085,2005,445,890,6030,2760,3270,555,505,1065,560,3295,6980,3685,2140,4700,2560,15
5350281.01,CT,Toronto,0.96206,6484,2324,2256,5285,2395,2890,2245,475,1770,1730,260,840,5280,2395,2890,560,320,690,370,2850,6085,3235,1820,3990,2170,10
5350281.02,CT,Toronto,0.41638,3940,1350,1306,3030,1340,1695,1320,235,1085,1050,170,360,3035,1340,1695,470,210,430,220,1770,3820,2050,875,1830,955,0
5350282.00,CT,Toronto,2.22534,4480,1663,1607,3795,1835,1955,1570,330,1240,1225,335,645,3795,1840,1960,195,215,445,225,2035,4210,2180,1115,2450,1335,0
5350283.01,CT,Toronto,0.9285,5399,1965,1938,4100,1795,2310,1940,485,1450,1395,255,520,4100,1795,2310,585,285,710,420,2205,4855,2650,1400,3045,1645,0
5350283.02,CT,Toronto,1.16712,4542,1761,1712,3720,1620,2100,1710,405,1305,1280,250,465,3720,1620,2100,525,165,480,315,1985,4360,2380,1295,2915,1620,0
5350284.00,CT,Toronto,1.41266,6840,2427,2349,5555,2680,2870,2345,465,1885,1835,455,925,5555,2675,2875,385,355,760,400,3085,6240,3155,2275,4765,2490,10
5350285.00,CT,Toronto,1.1118,3271,1269,1207,2815,1300,1515,1210,305,905,885,235,410,2815,1300,1520,195,170,410,245,1410,2995,1585,955,2145,1195,0
5350286.00,CT,Toronto,3.24625,4273,1987,1704,3595,1665,1930,1665,490,1175,1120,285,425,3595,1665,1930,345,345,690,345,1890,3980,2090,1255,2765,1505,10
5350287.02,CT,Toronto,1.05804,6732,2401,2246,4935,2060,2875,2240,590,1660,1585,360,745,4935,2065,2875,410,330,985,660,2665,6240,3580,1760,4240,2475,40
5350287.03,CT,Toronto,0.48415,3432,1444,1305,2605,1075,1525,1310,510,800,775,80,240,2605,1075,1530,415,240,575,330,1410,3265,1850,695,1760,1065,10
5350287.04,CT,Toronto,0.59394,4474,2069,2017,3755,1545,2205,2060,885,1170,1120,295,565,3755,1550,2205,220,320,1030,710,2035,4635,2600,1010,2525,1520,15
5350288.00,CT,Toronto,2.63071,9970,4165,4002,8215,3750,4470,4005,1255,2745,2600,725,1265,8220,3750,4465,525,850,1835,985,4585,9745,5160,2485,5610,3130,65
5350289.00,CT,Toronto,1.3028,4713,1779,1725,3835,1820,2010,1710,425,1285,1205,325,570,3835,1820,2010,260,335,675,345,2020,4210,2185,1440,3100,1665,0
5350290.01,CT,Toronto,0.94404,3620,1515,1475,3115,1455,1660,1455,425,1025,985,180,470,3120,1455,1660,295,295,590,290,1725,3545,1820,1090,2355,1265,0
5350290.02,CT,Toronto,0.34585,1534,782,717,1440,680,760,740,265,480,475,160,195,1440,680,760,105,160,295,135,795,1630,830,520,1075,555,0
5350291.02,CT,Toronto,1.14643,4947,2010,1927,4025,1850,2180,1925,620,1305,1260,355,545,4030,1850,2180,285,380,860,480,2055,4465,2410,1385,2995,1605,0
5350291.03,CT,Toronto,0.41741,2302,945,903,2020,985,1035,925,255,675,640,195,250,2025,985,1040,150,185,340,155,1100,2175,1075,720,1500,785,0
5350291.04,CT,Toronto,0.51571,1585,680,654,1395,670,720,645,185,455,445,100,195,1395,675,720,135,150,255,105,750,1520,770,490,1040,555,0
5350292.00,CT,Toronto,3.74218,6721,2893,2247,5435,2625,2810,2245,485,1760,1705,285,815,5435,2625,2810,500,475,840,365,3130,6335,3210,2025,4265,2240,10
5350293.00,CT,Toronto,2.0619,6242,2197,2103,5175,2490,2690,2140,420,1715,1695,340,900,5175,2490,2690,390,300,585,285,2925,6020,3095,1800,3815,2015,10
5350294.01,CT,Toronto,0.85923,4386,1586,1547,3605,1705,1905,1555,275,1280,1260,245,575,3605,1705,1905,385,185,410,220,2075,4220,2145,1295,2815,1520,0
5350294.02,CT,Toronto,1.02545,4504,1453,1384,3810,1785,2030,1360,220,1140,1115,195,575,3810,1785,2030,300,195,480,280,1945,4040,2100,1485,3115,1625,0
5350295.00,CT,Toronto,1.0824,5180,2035,1907,4325,2055,2265,1900,470,1430,1385,370,600,4325,2055,2265,345,395,700,305,2290,4710,2425,1555,3355,1805,0
5350296.00,CT,Toronto,4.6433,64,19,19,70,30,40,x,x,x,x,x,x,x,x,x,x,x,x,x,25,60,30,20,40,20,0
5350297.01,CT,Toronto,1.13952,7313,3119,3027,6185,2740,3445,3030,1005,2020,1930,605,845,6185,2745,3445,390,535,1385,840,3110,6725,3620,2250,5135,2885,15
5350297.02,CT,Toronto,1.50956,6502,2716,2552,5435,2560,2880,2555,770,1780,1720,580,855,5435,2560,2875,250,430,1075,650,3055,6245,3190,1660,3815,2145,15
5350298.00,CT,Toronto,2.27223,4661,1605,1566,3760,1765,1995,1570,235,1340,1285,315,755,3760,1760,1995,185,155,465,305,2210,4690,2480,960,2175,1215,10
5350299.01,CT,Toronto,2.89291,6256,2319,2207,5020,2440,2585,2200,470,1735,1665,425,935,5025,2440,2585,230,335,770,435,2945,5945,3000,1395,2930,1535,20
5350299.02,CT,Toronto,0.1593,5247,3019,2815,4865,2215,2650,2815,1175,1645,1500,725,395,4865,2215,2650,225,675,1510,840,2355,5075,2720,1725,3845,2125,0
5350300.00,CT,Toronto,1.03364,13667,7532,6956,12170,5740,6435,6960,2835,4120,3775,1685,1400,12175,5735,6435,500,1705,3685,1985,6290,13130,6845,4565,9810,5240,10
5350301.01,CT,Toronto,0.90166,2915,1087,1071,2435,1125,1310,1070,195,870,855,245,440,2430,1120,1310,155,100,275,175,1390,2875,1490,730,1625,895,0
5350301.03,CT,Toronto,0.2736,6949,2944,2789,5610,2805,2805,2775,830,1945,1735,555,850,5610,2805,2800,250,805,1430,620,3180,6345,3165,2645,5410,2765,10
5350301.04,CT,Toronto,1.42622,5859,2615,2502,5165,2475,2690,2520,765,1755,1600,510,665,5165,2470,2695,290,595,1265,670,2800,5660,2860,2225,4710,2485,10
5350302.01,CT,Toronto,1.22921,6253,2406,2358,5515,2575,2940,2360,560,1805,1770,540,875,5510,2580,2935,290,250,760,505,2810,5940,3130,1950,4280,2325,20
5350302.02,CT,Toronto,1.08389,6140,2092,2037,5285,2535,2745,2040,275,1765,1730,460,870,5280,2540,2745,340,335,715,380,2735,5540,2805,2305,4765,2465,15
5350302.03,CT,Toronto,0.69385,3425,1205,1124,2965,1450,1515,1120,190,930,930,230,490,2965,1450,1515,160,205,435,230,1550,3120,1570,1335,2700,1370,0
5350303.00,CT,Toronto,1.06327,5355,1893,1819,4370,2100,2275,1815,270,1545,1460,310,740,4375,2100,2275,355,335,605,270,2395,4910,2515,1995,4140,2150,0
5350304.01,CT,Toronto,0.24931,4541,1633,1610,3715,1770,1945,1640,305,1330,1280,230,690,3715,1775,1940,305,265,510,250,2115,4390,2275,1705,3625,1915,0
5350304.02,CT,Toronto,1.21224,4777,1885,1832,3950,1820,2135,1790,400,1390,1355,505,595,3950,1820,2135,200,240,580,345,2025,4290,2275,1290,2945,1655,0
5350304.03,CT,Toronto,0.99547,2898,994,968,2475,1180,1295,955,80,875,860,210,410,2475,1180,1300,200,85,170,85,1320,2775,1450,870,1930,1060,0
5350304.04,CT,Toronto,0.23444,3724,1415,1404,3055,1455,1595,1420,305,1110,1065,265,580,3055,1450,1600,175,205,435,225,1770,3595,1825,1395,2850,1455,10
5350304.05,CT,Toronto,0.703,2847,1112,1096,2625,1210,1410,1100,305,800,775,270,390,2625,1210,1410,90,185,555,375,1295,2710,1415,1095,2285,1185,10
5350304.06,CT,Toronto,0.74893,5807,2258,2207,5045,2335,2710,2210,530,1675,1585,420,875,5045,2335,2710,195,330,910,585,2605,5425,2820,2115,4440,2320,0
5350305.01,CT,Toronto,2.44425,4451,1626,1564,3865,1810,2055,1545,230,1310,1295,425,680,3860,1810,2055,145,115,355,235,2020,4160,2140,1400,3030,1635,10
5350305.03,CT,Toronto,0.71145,4914,2338,2178,4335,2000,2340,2210,730,1480,1435,560,580,4340,2000,2340,260,345,875,535,2225,4720,2495,1540,3345,1805,10
5350305.04,CT,Toronto,1.00966,9133,5153,4822,8055,3710,4345,4825,2150,2670,2500,1220,795,8050,3710,4340,370,1125,2585,1455,4000,8485,4480,3100,6825,3720,10
5350306.01,CT,Toronto,1.17222,4574,1586,1478,3995,1825,2170,1460,170,1290,1290,240,750,4000,1825,2170,240,100,295,190,2050,4315,2270,1535,3335,1795,0
5350306.02,CT,Toronto,1.11852,4793,1831,1714,4025,1885,2140,1730,430,1300,1220,325,730,4030,1885,2145,140,310,700,385,2085,4315,2235,1655,3505,1845,10
5350307.03,CT,Toronto,0.11011,5039,2359,2238,4515,2010,2500,2255,710,1550,1415,365,685,4520,2015,2500,275,415,1045,630,2135,4620,2485,1950,4430,2480,0
5350307.04,CT,Toronto,0.15295,7035,3530,3360,6245,2875,3370,3340,1180,2160,1970,755,795,6245,2875,3370,320,715,1610,890,3125,6610,3485,2505,5485,2985,10
5350307.05,CT,Toronto,0.10463,3581,2038,1926,3265,1455,1810,1910,825,1085,975,445,310,3265,1455,1810,165,435,1080,640,1495,3310,1815,1335,2990,1655,10
5350307.06,CT,Toronto,0.10419,5424,2374,2266,4635,2160,2470,2285,660,1625,1505,475,745,4635,2165,2470,215,425,935,510,2340,4870,2530,2225,4705,2480,0
5350307.07,CT,Toronto,1.22458,6321,2651,2366,5480,2555,2925,2365,570,1790,1700,455,870,5485,2555,2925,290,505,1035,530,2795,5875,3080,2205,4775,2570,10
5350308.02,CT,Toronto,1.42465,4310,1688,1588,3645,1775,1870,1600,385,1210,1180,320,665,3645,1770,1870,155,220,500,280,2080,4205,2125,1085,2345,1265,40
5350308.03,CT,Toronto,0.39669,1147,425,385,925,480,445,385,95,290,280,80,165,925,480,445,15,65,155,85,555,1065,520,305,575,275,0
5350308.04,CT,Toronto,1.08521,11479,5941,5576,10290,4665,5625,5580,2225,3350,3030,1275,1070,10285,4665,5625,465,1245,3070,1825,4860,10445,5580,3985,8770,4780,15
5350309.00,CT,Toronto,0.74182,6383,2354,2308,5365,2405,2960,2295,475,1820,1705,405,760,5365,2405,2960,440,445,970,525,2690,5980,3290,2130,4800,2675,10
5350310.01,CT,Toronto,1.42763,3512,1271,1204,2850,1455,1395,1240,255,985,970,275,485,2850,1455,1395,180,195,365,175,1750,3315,1565,725,1555,830,0
5350310.02,CT,Toronto,2.23548,5048,2028,1858,4230,2000,2230,1825,400,1425,1355,340,720,4230,1995,2230,260,320,720,405,2305,4825,2520,1475,3230,1755,0
5350311.02,CT,Toronto,0.89054,5823,2308,2141,4865,2295,2570,2135,610,1530,1520,370,630,4865,2295,2570,445,480,865,385,2650,5440,2790,1755,3715,1960,25
5350311.03,CT,Toronto,0.79713,2651,923,863,2360,1145,1210,870,135,735,700,135,390,2360,1145,1215,155,185,285,100,1245,2530,1280,905,1830,925,10
5350311.04,CT,Toronto,0.95755,6552,2436,2247,5520,2510,3010,2245,445,1800,1790,375,820,5520,2510,3010,495,325,665,340,2865,6045,3180,1990,4250,2265,25
5350311.05,CT,Toronto,0.34549,6823,2681,2593,5585,2870,2715,2570,695,1880,1630,360,675,5585,2865,2720,480,1035,1580,540,3300,6305,3010,2275,4415,2140,35
5350311.06,CT,Toronto,10.24442,5744,2703,2326,5195,2730,2470,2345,770,1580,1235,355,485,5195,2725,2470,275,1280,2135,855,3035,5835,2805,1845,3600,1765,20
5350312.02,CT,Toronto,0.524,3448,1185,1077,2630,1220,1405,1065,205,865,825,145,310,2625,1220,1405,320,255,445,185,1440,2975,1535,845,1815,970,10
5350312.03,CT,Toronto,1.48726,6420,2219,2164,5125,2255,2865,2175,445,1730,1665,285,665,5120,2255,2865,630,345,695,350,2640,5760,3125,1705,3780,2070,10
5350312.04,CT,Toronto,0.72554,5763,1820,1718,4355,2070,2285,1710,240,1470,1415,155,590,4355,2070,2285,595,350,550,205,2555,5130,2575,1720,3505,1790,15
5350312.05,CT,Toronto,0.34587,3836,1348,1295,2980,1310,1670,1305,225,1080,1045,100,355,2975,1310,1670,550,245,455,205,1790,3885,2095,890,1935,1045,10
5350312.06,CT,Toronto,0.45844,3444,1086,1058,2790,1260,1530,1085,200,885,875,170,350,2790,1255,1525,320,145,325,175,1490,3135,1640,1150,2465,1315,10
5350312.07,CT,Toronto,0.6247,3076,1312,1221,2740,1260,1480,1225,435,785,790,230,335,2740,1255,1480,205,225,515,285,1270,2700,1430,980,2230,1245,0
5350313.00,CT,Toronto,2.89834,5554,1945,1808,4580,2175,2405,1810,310,1500,1435,315,705,4580,2175,2405,370,335,580,250,2490,5175,2685,1655,3405,1750,10
5350314.01,CT,Toronto,0.4281,5036,1741,1676,3855,1835,2020,1680,305,1380,1305,185,605,3855,1835,2020,440,365,575,210,2330,4700,2375,1735,3485,1750,0
5350314.02,CT,Toronto,1.12467,4955,1704,1568,4150,1965,2185,1565,245,1320,1265,270,685,4150,1965,2185,270,245,440,195,2175,4505,2330,1650,3535,1890,10
5350315.01,CT,Toronto,1.51758,3368,1223,1122,2880,1390,1490,1100,195,910,900,280,415,2880,1390,1490,165,140,295,160,1510,2965,1455,1165,2365,1200,10
5350315.02,CT,Toronto,0.42796,3543,1170,1076,2865,1405,1455,1095,195,890,870,185,510,2860,1410,1455,145,160,320,155,1595,3205,1615,1245,2580,1335,0
5350315.03,CT,Toronto,6.01015,5505,1895,1699,4520,2160,2360,1700,245,1455,1415,250,765,4520,2160,2360,345,225,470,245,2585,5230,2645,1800,3700,1905,0
5350316.01,CT,Toronto,1.7746,3910,1301,1224,3260,1580,1680,1210,215,995,985,230,535,3260,1580,1685,165,155,325,165,1650,3345,1695,1145,2415,1270,25
5350316.03,CT,Toronto,0.40066,5888,2039,1948,4635,2180,2455,1970,345,1630,1540,205,615,4635,2175,2460,610,365,655,290,2650,5450,2800,1725,3590,1865,20
5350316.04,CT,Toronto,0.46506,4275,1760,1679,3215,1395,1820,1670,650,1020,970,85,330,3220,1395,1820,505,420,795,380,1770,3860,2085,1050,2355,1300,10
5350316.05,CT,Toronto,0.40614,3992,1373,1309,3110,1445,1655,1315,280,1030,990,150,440,3110,1445,1655,350,290,505,215,1820,3670,1845,1095,2370,1270,15
5350316.06,CT,Toronto,0.40499,3672,1198,1164,2740,1155,1585,1160,170,990,970,130,305,2740,1155,1585,505,150,300,150,1505,3440,1935,925,2140,1220,15
5350317.02,CT,Toronto,0.43231,7347,3408,3336,6590,2835,3750,3340,1245,2095,2000,730,780,6595,2840,3755,410,550,1725,1180,3100,6740,3640,2565,5930,3365,25
5350317.03,CT,Toronto,1.19309,3688,1264,1245,3165,1545,1620,1240,155,1080,1050,315,530,3165,1545,1620,140,155,345,190,1705,3440,1740,1180,2495,1310,10
5350317.04,CT,Toronto,0.72206,6627,2594,2534,5590,2580,3010,2540,620,1920,1865,520,820,5590,2585,3010,455,410,910,500,2860,6225,3365,2375,5160,2790,15
5350317.05,CT,Toronto,0.54133,2229,834,811,2010,905,1105,800,190,610,575,165,300,2010,905,1100,85,150,405,255,1045,2180,1140,800,1715,915,0
5350318.00,CT,Toronto,1.90637,8574,3568,3330,7635,3540,4090,3330,810,2520,2300,695,1055,7630,3540,4090,395,730,1675,940,3870,8140,4265,3030,6550,3520,15
5350319.00,CT,Toronto,1.20157,4191,1616,1527,3575,1700,1875,1510,330,1180,1140,325,550,3580,1700,1875,185,275,575,300,1855,3805,1950,1365,2840,1480,10
