,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2457: Average family size of couple economic families with children,v_CA16_2459: Median total income of lone-parent economic families in 2015 ($),v_CA16_2461: Average family size of lone-parent economic families,v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
55,85,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,4,96256,2.2,50944,705,75,10.6,90,12.8
56,215,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,3.8,62080,2.6,25563,2825,340,12,405,14.3
57,265,5350048.0,CT,Toronto,0.3349,3557,1660,1560,3.8,68864,2.6,29696,3505,570,16.3,560,16
58,230,5350049.0,CT,Toronto,0.46479,3663,1506,1426,3.8,65536,2.4,33920,3190,350,11,365,11.4
59,140,5350050.01,CT,Toronto,1.46504,8746,4553,4336,3.7,73728,2.4,55509,8740,885,10.1,735,8.4
60,10,5350050.03,CT,Toronto,1.92412,1109,606,590,3.7,75392,2.5,66560,1110,105,9.5,105,9.5
61,105,5350050.04,CT,Toronto,0.77861,5008,2291,2212,3.8,49728,2.9,36992,5005,765,15.3,675,13.5
62,325,5350051.0,CT,Toronto,0.69119,5399,2570,2313,4,64000,2.6,35328,5305,495,9.3,545,10.3
63,295,5350052.0,CT,Toronto,0.50129,4077,1933,1839,3.8,62080,2.4,35200,4060,515,12.7,490,12.1
64,355,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,3.9,48640,2.5,29712,5975,1010,16.9,1025,17.2
65,420,5350054.0,CT,Toronto,0.70239,5803,2975,2724,4,53888,2.4,30491,5735,1095,19.1,1090,19
66,320,5350055.0,CT,Toronto,0.27636,2763,1403,1320,3.8,59648,2.4,30144,2760,400,14.5,480,17.4
67,495,5350056.0,CT,Toronto,0.50948,4772,2170,2018,3.9,73728,2.6,27968,4765,570,12,795,16.7
68,210,5350057.0,CT,Toronto,0.26644,2311,1226,1108,3.8,77568,2.6,31680,2285,290,12.7,395,17.3
69,445,5350058.0,CT,Toronto,0.38414,3980,2063,1888,3.8,58944,2.3,26253,3945,635,16.1,770,19.5
70,390,5350059.0,CT,Toronto,0.36663,3837,1621,1447,3.7,65152,2.5,22848,3230,560,17.3,755,23.4
71,150,5350060.0,CT,Toronto,0.27159,2685,1669,1471,3.7,60032,2.4,21824,2685,640,23.8,725,27
72,15,5350061.0,CT,Toronto,0.76722,1085,536,475,3.5,45312,2.5,17699,765,295,38.6,285,37.3
73,90,5350062.01,CT,Toronto,0.10685,5595,3852,3302,3.5,35904,2.3,29344,5585,2020,36.2,1805,32.3
74,105,5350062.02,CT,Toronto,0.58534,9084,6837,5374,3.5,30496,2.4,15928,8990,3655,40.7,3560,39.6
75,135,5350063.03,CT,Toronto,0.09337999999999999,5104,3640,3405,3.4,48512,2.2,42048,5085,1220,24,1155,22.7
76,115,5350063.04,CT,Toronto,0.14093,3370,2409,2264,3.4,40576,2.5,27674,3265,1030,31.5,1005,30.8
77,120,5350063.05,CT,Toronto,0.12992,4331,3429,2943,3.4,46464,2.2,35570,4325,1305,30.2,1270,29.4
78,130,5350063.06,CT,Toronto,0.19221,5171,3761,3519,3.5,55552,2.1,35040,5135,1250,24.3,1295,25.2
79,175,5350064.0,CT,Toronto,0.19472,4311,2898,2683,3.5,43968,2.2,37943,4125,925,22.4,915,22.2
80,70,5350065.01,CT,Toronto,0.08613,2483,1496,1394,3.6,47808,2.5,27664,2420,630,26,670,27.7
81,230,5350065.02,CT,Toronto,0.14340999999999998,11821,5715,5481,3.9,34464,2.6,17874,11815,5140,43.5,4485,38
82,325,5350066.0,CT,Toronto,0.32848,7608,4597,4425,3.6,48469,2.4,32896,6960,1745,25.1,1715,24.6
