,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2457: Average family size of couple economic families with children,v_CA16_2459: Median total income of lone-parent economic families in 2015 ($),v_CA16_2461: Average family size of lone-parent economic families,v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
406,25,5350311.02,CT,Toronto,0.89054,5823,2308,2141,4.2,52309,2.9,20843,5820,1230,21.1,1025,17.6
407,10,5350311.03,CT,Toronto,0.79713,2651,923,863,4.3,58112,2.9,26656,2640,385,14.6,305,11.6
408,25,5350311.04,CT,Toronto,0.95755,6552,2436,2247,4.2,49280,3,25203,6550,1155,17.6,910,13.9
409,35,5350311.05,CT,Toronto,0.34549,6823,2681,2593,4.1,43520,2.8,19051,6815,2085,30.6,1920,28.2
410,20,5350311.06,CT,Toronto,10.24442,5744,2703,2326,3.9,44416,3,14400,5740,1860,32.4,2035,35.5
411,10,5350312.02,CT,Toronto,0.524,3448,1185,1077,4.3,47616,3.2,22566,3445,835,24.2,650,18.9
412,10,5350312.03,CT,Toronto,1.48726,6420,2219,2164,4.3,47440,3,25424,6395,1345,21,1115,17.4
413,15,5350312.04,CT,Toronto,0.72554,5763,1820,1718,4.4,38502,3.2,22336,5525,1800,32.6,1455,26.3
414,10,5350312.05,CT,Toronto,0.34586999999999996,3836,1348,1295,4.3,35424,3.2,18650,3835,1650,43,1350,35.2
415,10,5350312.06,CT,Toronto,0.45843999999999996,3444,1086,1058,4.6,43008,3.3,24064,3440,825,24,620,18
416,0,5350312.07,CT,Toronto,0.6247,3076,1312,1221,4.2,50048,3.2,18480,3080,700,22.7,620,20.1
417,10,5350313.0,CT,Toronto,2.89834,5554,1945,1808,4.3,51669,3.1,26624,5550,845,15.2,705,12.7
418,0,5350314.01,CT,Toronto,0.4281,5036,1741,1676,4.3,42667,2.8,24192,5035,1580,31.4,1245,24.7
419,10,5350314.02,CT,Toronto,1.12467,4955,1704,1568,4.4,55424,3,26027,4950,1095,22.1,905,18.3
420,10,5350315.01,CT,Toronto,1.51758,3368,1223,1122,4.3,63872,2.9,28480,3360,290,8.6,265,7.9
421,0,5350315.02,CT,Toronto,0.42796000000000006,3543,1170,1076,4.5,47360,3,26048,3545,955,26.9,725,20.5
422,0,5350315.03,CT,Toronto,6.01015,5505,1895,1699,4.4,49152,3.1,24512,5505,1205,21.9,1000,18.2
423,25,5350316.01,CT,Toronto,1.7746,3910,1301,1224,4.3,61632,3,25749,3745,490,13.1,400,10.7
424,20,5350316.03,CT,Toronto,0.40066,5888,2039,1948,4.4,40384,3,24000,5880,1950,33.2,1430,24.3
425,10,5350316.04,CT,Toronto,0.46506000000000003,4275,1760,1679,4.3,38741,3.2,17980,4270,1955,45.8,1585,37.1
426,15,5350316.05,CT,Toronto,0.40614,3992,1373,1309,4.5,41664,3,19584,3985,1300,32.6,1045,26.2
427,15,5350316.06,CT,Toronto,0.40499,3672,1198,1164,4.6,38976,3.3,19360,3670,1410,38.4,1115,30.4
428,25,5350317.02,CT,Toronto,0.43231,7347,3408,3336,3.8,44576,2.5,19136,7335,2305,31.4,1955,26.7
429,10,5350317.03,CT,Toronto,1.19309,3688,1264,1245,4,58240,2.7,25664,3690,530,14.4,460,12.5
430,15,5350317.04,CT,Toronto,0.72206,6627,2594,2534,4,46720,2.7,28245,6620,1670,25.2,1270,19.2
431,0,5350317.05,CT,Toronto,0.54133,2229,834,811,4,47936,2.6,23616,2225,365,16.4,345,15.5
432,15,5350318.0,CT,Toronto,1.9063700000000001,8574,3568,3330,3.9,49579,2.6,17946,8550,2460,28.8,2215,25.9
433,10,5350319.0,CT,Toronto,1.20157,4191,1616,1527,3.9,46976,2.6,24213,4185,1045,25,930,22.2
434,20,5350320.01,CT,Toronto,0.73678,5197,2103,2036,3.9,39808,2.5,20562,5030,1515,30.1,1195,23.8
435,10,5350320.02,CT,Toronto,0.8527600000000001,5869,2129,2067,4,47872,2.6,24080,5865,1195,20.4,1135,19.4
436,0,5350321.01,CT,Toronto,1.25768,3830,1340,1258,4,64640,2.6,21696,3830,695,18.1,640,16.7
437,10,5350321.02,CT,Toronto,1.2172,4030,1497,1429,3.9,53888,2.5,25248,4000,960,24,895,22.4
438,15,5350322.01,CT,Toronto,0.20805,4737,2371,2242,3.6,46272,2.4,24896,4730,1745,36.9,1535,32.5
439,10,5350322.02,CT,Toronto,1.40695,3500,1262,1185,3.9,50816,2.6,17773,2970,860,29,790,26.6
440,0,5350323.01,CT,Toronto,1.04061,4289,1746,1706,3.9,61568,2.6,37862,4290,895,20.9,745,17.4
441,10,5350323.02,CT,Toronto,1.8599900000000003,5367,1935,1849,4,64576,2.4,40128,4885,655,13.4,540,11.1
442,0,5350324.01,CT,Toronto,1.1954,3498,1214,1143,4,41387,3,18624,3485,785,22.5,660,18.9
443,0,5350324.02,CT,Toronto,1.89369,6123,2256,2133,3.9,36320,2.6,16896,6120,1500,24.5,1370,22.4
444,0,5350324.03,CT,Toronto,2.16991,3862,1762,1701,3.8,71424,2.5,20208,3855,810,21,690,17.9
445,10,5350324.05,CT,Toronto,0.65612,3388,1405,1382,3.8,62080,2.4,17750,3385,875,25.8,710,21
446,0,5350324.06,CT,Toronto,0.65762,3561,1219,1182,3.8,59904,2.6,36480,3560,525,14.7,455,12.8
447,10,5350330.0,CT,Toronto,2.19348,4288,1757,1730,3.8,73920,2.5,42912,4210,315,7.5,285,6.8
448,0,5350331.01,CT,Toronto,1.52013,5629,2287,2261,3.9,73933,2.8,47504,5440,425,7.8,365,6.7
449,0,5350331.03,CT,Toronto,0.51039,6162,1931,1877,4.4,40768,3,20384,6155,2535,41.2,1960,31.8
450,0,5350331.04,CT,Toronto,1.06015,3212,1288,1261,4.1,62080,2.6,43392,3060,375,12.3,290,9.5
451,0,5350332.0,CT,Toronto,1.52621,7350,2914,2785,4.2,37658,2.9,19392,7225,2415,33.4,1975,27.3
452,10,5350333.0,CT,Toronto,2.39935,4695,1710,1644,4,47232,3,39232,4690,685,14.6,580,12.4
453,10,5350334.0,CT,Toronto,2.38519,3500,1358,1274,3.9,75008,2.8,37504,3455,375,10.9,335,9.7
454,15,5350335.0,CT,Toronto,2.2315099999999997,7740,3026,2984,4.1,49856,2.7,23008,7660,1765,23,1350,17.6
455,30,5350336.0,CT,Toronto,1.63381,6772,2553,2393,4.1,61312,2.6,29568,6600,845,12.8,810,12.3
456,0,5350337.01,CT,Toronto,0.20168,721,357,316,3.9,35584,2.5,18848,720,230,31.9,215,29.9
457,10,5350337.02,CT,Toronto,0.61933,2155,888,862,3.9,36992,2.4,25984,1870,480,25.7,385,20.6
458,30,5350338.0,CT,Toronto,1.6501299999999999,5956,2729,2627,3.8,62880,2.5,23952,5815,955,16.4,850,14.6
459,70,5350339.0,CT,Toronto,1.8385099999999999,6687,3110,3000,3.8,73216,2.4,42222,6685,640,9.6,530,7.9
460,15,5350340.0,CT,Toronto,1.27488,6771,2557,2457,4,48256,2.7,24896,6765,1880,27.8,1605,23.7
461,10,5350341.02,CT,Toronto,0.77866,4379,1860,1777,4.2,49792,2.6,22438,4160,1200,28.8,1005,24.2
462,0,5350341.03,CT,Toronto,0.40538,3436,1465,1334,4.2,27472,2.6,11944,3430,2250,65.6,1790,52.2
463,25,5350341.04,CT,Toronto,0.67099,6030,2261,2171,4.3,39373,3.2,18624,6015,2345,39,1965,32.7
464,25,5350342.0,CT,Toronto,1.2329700000000001,7561,2414,2376,4.2,48640,2.7,27891,7430,1475,19.9,1150,15.5
465,0,5350343.0,CT,Toronto,1.09816,4218,1620,1517,4.1,42624,2.7,20672,4155,985,23.7,855,20.6
466,10,5350344.01,CT,Toronto,1.06274,5186,1990,1880,4.3,51264,2.8,21018,5180,1090,21,940,18.1
467,0,5350344.02,CT,Toronto,0.22083000000000003,3365,1850,1829,3.8,36160,2.5,19040,3365,1395,41.5,1165,34.6
468,15,5350345.0,CT,Toronto,0.78754,3938,1328,1258,4.3,59520,2.9,23744,3925,600,15.3,530,13.5
469,20,5350346.01,CT,Toronto,1.5199799999999999,4634,1717,1609,4.2,37760,2.9,24512,4630,1415,30.6,1145,24.7
470,10,5350346.02,CT,Toronto,0.40049,5388,2066,2029,4,43264,2.6,28864,5385,1350,25.1,1000,18.6
471,10,5350347.0,CT,Toronto,1.50409,2833,931,924,4,68352,2.7,44608,2635,255,9.7,210,8
472,40,5350348.0,CT,Toronto,2.31904,5601,2007,1972,4,66048,2.7,42057,5315,540,10.2,430,8.1
473,25,5350349.0,CT,Toronto,0.8761700000000001,5720,2335,2309,4,44736,2.7,27115,5720,1450,25.3,1125,19.7
474,20,5350350.0,CT,Toronto,3.3616599999999996,5419,2063,1986,4.2,55936,2.7,25451,5350,960,17.9,780,14.6
475,10,5350351.01,CT,Toronto,0.9748600000000001,5497,2130,2051,4.2,40000,2.5,24320,5480,1250,22.8,1015,18.5
476,10,5350351.02,CT,Toronto,0.56565,2756,1116,1088,4.2,49536,2.6,28992,2740,575,21,515,18.8
477,15,5350352.0,CT,Toronto,1.1271200000000001,5309,1945,1892,4.2,53376,2.6,28736,5185,1015,19.6,760,14.7
478,0,5350353.02,CT,Toronto,1.21341,5305,1697,1649,4.5,53568,2.9,28096,5295,1010,19.1,815,15.4
479,0,5350353.03,CT,Toronto,0.40919,3107,1100,1075,4.2,58240,2.8,28864,3105,495,15.9,355,11.4
480,10,5350353.04,CT,Toronto,0.62956,4509,1650,1590,4.2,36224,2.8,21440,4510,1475,32.7,1195,26.5
481,25,5350354.0,CT,Toronto,1.33283,5403,1826,1695,4.3,56320,2.8,30336,5200,770,14.8,695,13.4
482,0,5350355.02,CT,Toronto,1.105,5214,1980,1919,4.1,49024,2.8,29525,5210,1035,19.9,825,15.8
483,0,5350355.04,CT,Toronto,0.5770000000000001,5270,1810,1776,4.1,46771,2.7,30272,4935,1245,25.2,1015,20.6
484,0,5350355.05,CT,Toronto,0.31432,3033,1056,993,4.3,41874,2.8,22752,2855,890,31.2,680,23.8
485,0,5350355.06,CT,Toronto,0.1923,1643,603,559,4.4,36864,3,18368,1635,635,38.8,480,29.4
486,15,5350356.0,CT,Toronto,1.55598,4833,1633,1555,4.2,62592,2.8,30528,4630,620,13.4,505,10.9
487,0,5350357.01,CT,Toronto,1.05106,7123,2490,2404,4.8,38997,2.9,18764,7120,2745,38.6,2110,29.6
488,0,5350357.02,CT,Toronto,1.10589,4940,1774,1693,4.5,33600,2.9,16832,4930,2135,43.3,1780,36.1
489,10,5350358.01,CT,Toronto,1.1101299999999998,3397,1180,1129,4.3,52352,3,31424,3395,580,17.1,475,14
490,0,5350358.02,CT,Toronto,0.6179100000000001,4732,2021,1955,4.3,41984,3,19968,4720,1410,29.9,1175,24.9
491,10,5350358.03,CT,Toronto,1.09741,5598,2304,2217,4.2,44885,3,15264,5445,1795,33,1520,27.9
492,0,5350359.0,CT,Toronto,2.23634,7558,2773,2687,4.3,37931,2.8,21158,7405,2320,31.3,1915,25.9
493,10,5350360.0,CT,Toronto,4.55616,6107,2040,1998,4.2,64128,2.9,42240,5990,675,11.3,525,8.8
494,0,5350361.01,CT,Toronto,2.95729,5804,1963,1928,4.1,78080,2.9,43584,5790,430,7.4,350,6
495,0,5350361.02,CT,Toronto,2.46272,7558,2476,2451,4,83712,2.8,43776,7550,400,5.3,355,4.7
496,0,5350362.01,CT,Toronto,2.5287900000000003,6300,2153,2083,4.3,62784,2.9,39520,6260,700,11.2,625,10
497,15,5350362.02,CT,Toronto,1.9434900000000002,5628,1731,1626,4.4,80000,2.9,29120,5615,510,9.1,435,7.7
498,10,5350362.03,CT,Toronto,3.3025800000000003,6866,2176,2074,4.3,71936,3,17360,6855,805,11.7,800,11.7
499,0,5350362.04,CT,Toronto,1.3530799999999998,5019,1796,1756,4.3,68864,2.8,37088,4825,450,9.3,370,7.7
500,0,5350363.02,CT,Toronto,1.19757,3253,1115,1106,4.3,59776,2.7,35264,3250,310,9.5,230,7.1
501,0,5350363.04,CT,Toronto,1.12713,3668,1119,1106,4.4,56000,2.9,23744,3665,550,15,420,11.5
502,0,5350363.05,CT,Toronto,0.50329,4538,1776,1694,4.2,34688,2.7,14080,4530,2100,46.4,1740,38.4
503,0,5350363.06,CT,Toronto,0.82891,7307,3439,3326,3.7,51584,2.4,32704,7300,1995,27.3,1620,22.2
504,0,5350363.07,CT,Toronto,2.2765400000000002,5338,1971,1925,4.2,32576,2.8,14059,5235,2340,44.7,1975,37.7
505,10,5350364.01,CT,Toronto,2.90673,5996,2034,1973,4.2,55168,3,24704,5710,1125,19.7,885,15.5
506,0,5350364.02,CT,Toronto,0.74379,3053,1004,957,4.2,67328,2.8,30912,2925,395,13.5,325,11.1
507,0,5350365.0,CT,Toronto,1.5674,6497,2028,1946,4.4,61696,2.9,21901,6495,1125,17.3,1015,15.6
508,10,5350366.0,CT,Toronto,1.44064,6136,2143,2069,4.2,44704,2.7,24512,6125,1230,20.1,1030,16.8
509,0,5350367.01,CT,Toronto,0.71324,4710,1398,1375,4.2,42240,3,14336,4705,1405,29.9,1150,24.4
510,20,5350367.02,CT,Toronto,1.0306799999999998,3548,1218,1186,4.3,72960,2.7,29760,3550,420,11.8,370,10.4
511,10,5350368.01,CT,Toronto,0.8884700000000001,6843,3786,3582,3.5,51648,2.4,19392,6845,2335,34.1,2035,29.7
512,0,5350368.02,CT,Toronto,1.57328,4315,1464,1399,4.2,71808,2.6,20320,3780,630,16.7,550,14.6
513,10,5350369.0,CT,Toronto,2.4665,8094,2520,2441,4.5,48896,3.1,32576,7975,2070,26,1560,19.6
514,10,5350370.01,CT,Toronto,1.76665,9977,3792,3725,4.1,43008,2.6,28288,9740,2660,27.3,1925,19.8
515,20,5350370.02,CT,Toronto,2.27382,5580,1849,1803,4.2,51776,2.7,27552,5330,1025,19.2,840,15.8
516,10,5350370.03,CT,Toronto,0.8572299999999999,4137,1409,1357,4.3,47445,2.9,30421,4125,740,17.9,625,15.2
517,20,5350371.0,CT,Toronto,3.7152300000000005,7626,2691,2570,4.2,57728,2.8,30144,7340,1335,18.2,1020,13.9
518,0,5350372.0,CT,Toronto,1.33184,4346,1504,1440,4.2,67840,2.7,33408,4335,510,11.8,405,9.3
519,15,5350373.0,CT,Toronto,0.9606899999999999,4806,1869,1801,4.1,50304,2.6,26560,4805,1030,21.4,910,18.9
520,15,5350374.01,CT,Toronto,1.18795,4848,1717,1656,4,57728,2.5,30784,4850,855,17.6,690,14.2
521,10,5350374.02,CT,Toronto,0.80225,3215,1084,1053,4.1,62720,2.8,22976,3210,460,14.3,435,13.6
522,0,5350374.03,CT,Toronto,0.80821,4184,1718,1655,4.1,48512,2.6,17782,4180,1130,27,1000,23.9
523,15,5350375.01,CT,Toronto,0.95309,6324,2817,2733,3.9,38272,2.6,18487,6310,2080,33,1685,26.7
524,0,5350375.02,CT,Toronto,0.61463,1959,702,694,4.1,91136,2.8,34944,1950,170,8.7,140,7.2
525,0,5350375.03,CT,Toronto,0.81361,5318,1917,1866,4.1,42240,2.9,21120,5315,1670,31.4,1315,24.7
526,0,5350375.04,CT,Toronto,0.9242799999999999,5300,1667,1633,4.1,55936,2.9,18432,5295,1005,19,855,16.1
527,10,5350375.05,CT,Toronto,1.13069,7208,2484,2449,4,56875,2.5,29504,6765,1155,17.1,965,14.3
528,10,5350376.01,CT,Toronto,1.04665,5094,1697,1584,4.4,37376,2.9,16928,5080,1495,29.4,1335,26.3
529,15,5350376.02,CT,Toronto,0.8583,5176,1656,1614,4.1,44501,2.9,19888,5170,1380,26.7,1155,22.3
530,0,5350376.04,CT,Toronto,1.1940600000000001,5460,1866,1804,4,54848,2.7,22208,5125,1190,23.2,970,18.9
531,10,5350376.05,CT,Toronto,1.30767,6860,2045,1998,4.3,44800,2.9,17488,6850,1290,18.8,1565,22.8
532,0,5350376.06,CT,Toronto,2.19192,484,229,219,4,0,2,22944,320,130,40.6,85,26.6
533,15,5350376.08,CT,Toronto,0.87879,6157,2176,2123,4.1,54144,2.6,27200,6145,1255,20.4,980,15.9
534,10,5350376.09,CT,Toronto,0.80105,4638,1644,1602,4.1,49600,2.6,20416,4635,1100,23.7,935,20.2
535,10,5350376.11,CT,Toronto,0.47043999999999997,3416,1067,1014,4.2,48960,3.4,19456,3410,1035,30.4,845,24.8
536,10,5350376.12,CT,Toronto,0.91215,5318,1922,1887,4,60288,2.6,31040,5315,815,15.3,660,12.4
537,0,5350376.13,CT,Toronto,0.51098,3902,1386,1362,4,54784,2.6,24192,3895,875,22.5,690,17.7
538,0,5350376.14,CT,Toronto,0.7362,3763,1091,1053,4.2,48000,2.8,14656,3765,650,17.3,665,17.7
539,0,5350376.15,CT,Toronto,0.92289,3696,1574,1518,3.8,62848,2.6,25600,3680,915,24.9,635,17.3
540,10,5350376.16,CT,Toronto,0.27148,4226,1672,1621,4,43392,2.6,27712,3845,1225,31.9,935,24.3
541,25,5350377.01,CT,Toronto,2.06027,8996,3752,3574,3.9,49664,2.5,25664,8985,2290,25.5,1860,20.7
542,10,5350377.02,CT,Toronto,1.9059599999999999,4405,1493,1407,4.1,56448,2.7,20096,4395,870,19.8,710,16.2
543,10,5350377.03,CT,Toronto,0.65012,2815,892,868,4.1,63744,2.8,19648,2815,460,16.3,475,16.9
544,20,5350377.04,CT,Toronto,0.8833200000000001,5939,1746,1682,4.3,51712,2.7,17344,5935,1235,20.8,1060,17.9
545,0,5350377.06,CT,Toronto,0.51169,3809,1001,980,4.3,44608,2.8,11392,3810,740,19.4,1000,26.2
546,20,5350377.07,CT,Toronto,0.76461,4857,1321,1282,4.2,45355,2.9,14976,4530,900,19.9,1025,22.6
547,0,5350378.02,CT,Toronto,1.05954,3257,979,929,4.3,51904,3.1,11232,3255,740,22.7,720,22.1
548,10,5350378.03,CT,Toronto,2.2069099999999997,7363,2503,2434,4.2,59477,2.8,28480,7355,1210,16.5,960,13.1
549,10,5350378.04,CT,Toronto,1.27906,6148,1826,1753,4.7,50944,3,25216,6150,1550,25.2,1165,18.9
550,0,5350378.05,CT,Toronto,0.7275699999999999,3907,1235,1201,4.3,58624,3,24208,3905,675,17.3,515,13.2
551,10,5350378.06,CT,Toronto,1.7906,6063,1754,1671,4.5,54656,3.2,22059,6050,1175,19.4,855,14.1
552,0,5350378.07,CT,Toronto,2.80032,7099,2311,2226,4.2,55808,2.8,22464,6835,1415,20.7,1110,16.2
553,10,5350378.08,CT,Toronto,0.88574,6263,1997,1953,4.2,52416,2.7,18752,6250,1170,18.7,940,15
554,0,5350378.11,CT,Toronto,0.9633700000000001,5693,1748,1713,4.4,52672,2.9,25536,5695,1105,19.4,805,14.1
555,10,5350378.12,CT,Toronto,0.78391,5181,1904,1828,4.3,46635,3,19616,5180,1470,28.4,1115,21.5
556,10,5350378.14,CT,Toronto,0.9291299999999999,3892,1184,1168,4.1,48768,2.9,20544,3890,945,24.3,745,19.2
557,10,5350378.16,CT,Toronto,0.63484,6103,2005,1923,4.3,60032,2.9,29056,6100,1110,18.2,850,13.9
558,10,5350378.17,CT,Toronto,0.47397,3336,961,903,4.5,52864,3.4,25408,3335,640,19.2,490,14.7
559,0,5350378.18,CT,Toronto,0.09093,2765,1114,1100,4,46848,2.6,21952,2765,1040,37.6,675,24.4
560,10,5350378.19,CT,Toronto,4.5159199999999995,5162,1438,1411,4.3,57088,3,18544,5155,870,16.9,780,15.1
561,0,5350378.2,CT,Toronto,0.10951,2093,775,769,3.8,40149,2.4,19040,2090,740,35.4,540,25.8
562,0,5350378.21,CT,Toronto,0.70181,3948,1056,1043,4.4,52224,2.9,13376,3950,750,19,735,18.6
563,10,5350378.22,CT,Toronto,0.53214,3454,891,877,4.4,52992,2.8,14176,3450,590,17.1,685,19.9
564,10,5350378.23,CT,Toronto,1.53025,4095,1334,1302,4.2,55616,2.7,18635,4075,765,18.8,710,17.4
565,10,5350378.24,CT,Toronto,2.52877,6109,2218,2147,4.1,52160,2.5,20224,5855,1570,26.8,1105,18.9
566,10,5350378.25,CT,Toronto,4.76673,7931,1885,1858,4.7,73984,3.2,22464,7925,775,9.8,675,8.5
567,10,5350378.26,CT,Toronto,1.66052,4761,1165,1144,4.7,65920,3.3,26944,4760,395,8.3,300,6.3
568,0,5350378.27,CT,Toronto,20.2249,5806,1556,1530,4.5,66048,3,33760,5795,645,11.1,530,9.1
569,0,5350378.28,CT,Toronto,2.25257,7175,2041,1925,4.5,61824,3.3,26816,7155,880,12.3,665,9.3
570,0,5350802.01,CT,Toronto,2.2159999999999997,3829,1290,1267,4,88832,2.7,49792,3830,300,7.8,220,5.7
571,0,5350802.02,CT,Toronto,2.4403099999999998,5675,1844,1826,4,92928,2.6,53184,5510,250,4.5,205,3.7
