,City,GeoUID,Hour,PopulationCT,BicycleT,Area(sqKm),SumThBikes,BikesThDensity,BikesDensity,PopulationDensity,%Theft/sqKm,%PopulationBike
1561,Toronto,5350066.0,0.0,7608,325,0.32848,5,15.221626887481735,989.4057476863127,23161.227471992206,0.015384615384615385,0.04271819137749737
1562,Toronto,5350066.0,1.0,7608,325,0.32848,1,3.044325377496347,989.4057476863127,23161.227471992206,0.003076923076923077,0.04271819137749737
1563,Toronto,5350066.0,4.0,7608,325,0.32848,3,9.132976132489041,989.4057476863127,23161.227471992206,0.009230769230769232,0.04271819137749737
1564,Toronto,5350066.0,7.0,7608,325,0.32848,1,3.044325377496347,989.4057476863127,23161.227471992206,0.003076923076923077,0.04271819137749737
1565,Toronto,5350066.0,8.0,7608,325,0.32848,1,3.044325377496347,989.4057476863127,23161.227471992206,0.003076923076923077,0.04271819137749737
1566,Toronto,5350066.0,9.0,7608,325,0.32848,1,3.044325377496347,989.4057476863127,23161.227471992206,0.003076923076923077,0.04271819137749737
1567,Toronto,5350066.0,10.0,7608,325,0.32848,2,6.088650754992694,989.4057476863127,23161.227471992206,0.006153846153846154,0.04271819137749737
1568,Toronto,5350066.0,12.0,7608,325,0.32848,2,6.088650754992694,989.4057476863127,23161.227471992206,0.006153846153846154,0.04271819137749737
1569,Toronto,5350066.0,13.0,7608,325,0.32848,1,3.044325377496347,989.4057476863127,23161.227471992206,0.003076923076923077,0.04271819137749737
1570,Toronto,5350066.0,14.0,7608,325,0.32848,1,3.044325377496347,989.4057476863127,23161.227471992206,0.003076923076923077,0.04271819137749737
1571,Toronto,5350066.0,15.0,7608,325,0.32848,1,3.044325377496347,989.4057476863127,23161.227471992206,0.003076923076923077,0.04271819137749737
1572,Toronto,5350066.0,16.0,7608,325,0.32848,1,3.044325377496347,989.4057476863127,23161.227471992206,0.003076923076923077,0.04271819137749737
1573,Toronto,5350066.0,17.0,7608,325,0.32848,5,15.221626887481735,989.4057476863127,23161.227471992206,0.015384615384615385,0.04271819137749737
1574,Toronto,5350066.0,18.0,7608,325,0.32848,2,6.088650754992694,989.4057476863127,23161.227471992206,0.006153846153846154,0.04271819137749737
1575,Toronto,5350066.0,19.0,7608,325,0.32848,1,3.044325377496347,989.4057476863127,23161.227471992206,0.003076923076923077,0.04271819137749737
1576,Toronto,5350066.0,20.0,7608,325,0.32848,2,6.088650754992694,989.4057476863127,23161.227471992206,0.006153846153846154,0.04271819137749737
1577,Toronto,5350066.0,21.0,7608,325,0.32848,2,6.088650754992694,989.4057476863127,23161.227471992206,0.006153846153846154,0.04271819137749737
