,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2447: Median total income of economic families in 2015 ($),v_CA16_2449: Average family size of economic families,v_CA16_2451: Median total income of couple economic families without children or other relatives in 2015 ($),v_CA16_2453: Average family size of couple economic families without children or other relatives,v_CA16_2455: Median total income of couple economic families with children in 2015 ($)
142,70,5350117.0,CT,Toronto,0.39107,2211,1165,1106,50,50,45,55,45,158720,2.7,147712,2,247296
143,100,5350118.0,CT,Toronto,0.69384,4127,2183,1990,85,95,110,95,110,144384,2.7,132403,2,229888
144,45,5350119.0,CT,Toronto,0.8519,4630,2485,2310,145,140,130,90,105,154453,2.8,148685,2,255488
145,30,5350120.0,CT,Toronto,0.25722,1381,697,654,30,25,25,10,15,200192,2.7,185856,2,280235
146,10,5350121.0,CT,Toronto,0.29736,2659,1629,1448,85,90,75,60,65,174208,2.5,153856,2,311296
147,90,5350122.0,CT,Toronto,0.53381,6220,3655,3443,250,190,200,165,165,140698,2.6,137472,2,222208
148,25,5350123.0,CT,Toronto,0.07501000000000001,2268,1494,1467,140,140,115,105,80,71936,2.3,76339,2,85888
149,75,5350124.0,CT,Toronto,0.55675,5416,3470,3278,240,245,215,190,175,118208,2.4,123221,2,124928
150,50,5350125.0,CT,Toronto,1.12047,4442,1618,1543,40,40,30,35,45,303488,3.2,213760,2,392448
151,60,5350126.0,CT,Toronto,1.44927,4248,1746,1693,75,80,70,75,70,167253,3.1,132352,2,209408
152,65,5350127.0,CT,Toronto,0.74046,5450,2325,2236,125,130,120,95,80,167360,3.1,127232,2,218880
153,70,5350128.02,CT,Toronto,0.51869,8705,5052,4766,385,365,295,280,260,102363,2.5,108288,2,128640
154,30,5350128.04,CT,Toronto,0.16199000000000002,4698,2994,2927,225,200,200,190,195,99328,2.4,115840,2,97664
155,20,5350128.05,CT,Toronto,0.18162999999999999,945,366,304,20,20,15,20,5,144896,2.8,144896,2,186880
156,45,5350128.06,CT,Toronto,0.08584,4199,2601,2523,230,195,200,160,120,74411,2.5,74496,2,83456
157,75,5350129.0,CT,Toronto,0.9274100000000001,5770,2787,2622,155,145,145,130,130,146816,2.9,121173,2,238080
158,35,5350130.0,CT,Toronto,1.27901,3543,1365,1279,65,45,35,35,40,266240,3.1,200192,2,413184
159,85,5350131.0,CT,Toronto,1.04439,5310,2505,2360,125,120,105,95,95,201472,2.9,164736,2,332800
160,45,5350132.0,CT,Toronto,0.92464,5467,2155,2038,130,120,100,100,80,138496,3.2,136576,2,218624
161,50,5350133.0,CT,Toronto,0.66745,7339,3629,3408,260,225,210,180,165,87637,2.9,89984,2,116685
162,45,5350134.0,CT,Toronto,0.41703999999999997,2959,1076,1033,50,35,30,30,25,197888,3.2,145749,2,251520
163,70,5350135.0,CT,Toronto,0.71622,6047,3316,3054,215,230,180,145,115,120960,2.8,99584,2,189440
164,50,5350136.01,CT,Toronto,0.19196,6128,4023,3779,355,330,280,225,185,72064,2.4,78848,2,86016
165,35,5350136.02,CT,Toronto,0.21013,4983,3459,3198,255,210,195,210,145,80576,2.4,92928,2,81152
166,90,5350137.0,CT,Toronto,0.9142100000000001,7077,3644,3509,245,215,180,145,140,128000,2.8,110720,2,189824
167,15,5350138.0,CT,Toronto,0.96546,3103,1250,1181,35,35,40,30,30,288768,3.2,178432,2,461141
168,30,5350139.01,CT,Toronto,0.7736,4167,1904,1824,105,85,85,90,70,164608,3.1,121600,2,263509
169,20,5350139.02,CT,Toronto,0.50952,2542,961,920,30,40,30,25,30,234752,3.3,154795,2,325120
170,25,5350140.0,CT,Toronto,0.57204,2408,826,791,20,20,20,15,20,340309,3.3,233813,2,431445
171,30,5350141.01,CT,Toronto,0.5504100000000001,4320,1685,1620,75,70,65,60,60,179328,3.1,136499,2,231936
172,35,5350141.02,CT,Toronto,0.6875899999999999,4477,1624,1561,55,35,60,65,60,193024,3.3,127488,2,243712
173,20,5350142.0,CT,Toronto,1.0439200000000002,5810,2313,2237,65,85,80,90,90,195925,3.2,139008,2,252757
174,65,5350150.0,CT,Toronto,1.10899,4201,1640,1586,60,45,60,60,60,185446,3.1,139520,2,238336
175,60,5350151.0,CT,Toronto,0.65559,3784,1577,1535,110,80,70,55,50,64640,3.1,68864,2,113237
176,135,5350152.0,CT,Toronto,0.8546299999999999,4545,1846,1764,80,95,115,100,80,120525,3,100096,2,152320
177,55,5350153.0,CT,Toronto,0.92761,4462,1783,1685,115,120,110,125,95,83584,3.2,74496,2,99840
178,10,5350154.0,CT,Toronto,2.15888,6157,2899,2818,270,240,205,155,165,78665,2.9,68672,2,97792
179,0,5350155.0,CT,Toronto,0.81296,3128,1316,1206,65,70,70,45,50,70848,3.4,57600,2,102656
180,20,5350156.01,CT,Toronto,0.60545,5688,2365,2273,180,145,105,90,95,52608,3.2,46592,2,74650
181,0,5350156.02,CT,Toronto,0.59201,2811,1124,1073,75,70,70,60,55,76117,3.2,55104,2,99891
182,15,5350157.0,CT,Toronto,0.48528000000000004,2635,1107,1016,110,75,65,60,60,61909,3.1,56320,2,79360
183,15,5350158.0,CT,Toronto,0.63989,2848,1346,1250,90,80,80,65,50,60160,3.1,44544,2,80384
184,10,5350159.01,CT,Toronto,0.49246999999999996,3487,1386,1223,105,95,80,60,70,73280,3.3,61120,2,91307
185,25,5350159.02,CT,Toronto,0.5753199999999999,4723,1843,1709,135,115,115,100,105,79040,3.2,54229,2,99584
186,15,5350160.0,CT,Toronto,0.73445,3116,1246,1143,80,75,75,65,80,85184,3.1,74368,2,103509
187,55,5350161.0,CT,Toronto,0.81126,6839,2689,2537,215,180,175,145,155,77680,3.2,62528,2,95078
188,50,5350162.0,CT,Toronto,0.57575,5119,2059,1952,145,130,150,110,110,74325,3.1,54848,2,93733
189,125,5350163.0,CT,Toronto,0.45421999999999996,4358,1882,1762,115,125,110,95,70,84992,3,69632,2,111104
190,195,5350164.0,CT,Toronto,0.6282300000000001,6258,2629,2515,185,175,130,110,115,84139,3,69803,2,116378
191,135,5350165.0,CT,Toronto,0.48493,4370,2031,1943,135,105,100,85,65,105643,2.9,82944,2,164864
192,35,5350166.0,CT,Toronto,0.78603,4180,1691,1625,95,85,70,50,40,174933,3.2,129280,2,251563
193,30,5350167.01,CT,Toronto,0.13410999999999998,1879,1483,1312,125,90,80,80,55,92288,2.2,95232,2,97920
194,110,5350167.02,CT,Toronto,0.60145,5815,3143,2998,280,240,190,140,135,72988,2.7,69461,2,104533
195,60,5350168.0,CT,Toronto,0.56552,5475,2665,2458,170,150,130,115,90,70855,3,62144,2,97382
196,10,5350169.01,CT,Toronto,0.3781,3472,1457,1334,120,80,110,80,65,73216,3.1,54357,2,90752
197,40,5350169.02,CT,Toronto,0.43778,7464,3318,3202,250,255,235,200,170,74354,3,67584,2,89710
198,10,5350170.0,CT,Toronto,1.01423,3321,1305,1201,100,95,70,90,80,78592,3.2,55680,2,97024
199,10,5350171.0,CT,Toronto,0.6081,4055,1613,1522,105,115,85,55,60,58112,3.2,50048,2,90304
200,10,5350172.0,CT,Toronto,1.21015,2522,1183,1128,100,85,75,55,45,62182,3,63360,2,79936
201,0,5350173.0,CT,Toronto,0.60145,3694,1528,1438,90,100,80,90,70,59008,3.2,60544,2,85824
202,10,5350174.0,CT,Toronto,1.06328,7264,2751,2723,290,250,170,170,145,61355,3.1,57088,2,79317
203,0,5350175.01,CT,Toronto,0.8012600000000001,6036,2551,2406,200,165,150,100,90,59648,3.2,59968,2,83285
204,10,5350175.02,CT,Toronto,0.74248,7679,3813,3585,300,240,175,130,120,51051,3,52416,2,67442
205,20,5350176.0,CT,Toronto,1.00471,4277,1697,1609,115,105,100,80,85,96768,3.1,85760,2,116800
206,35,5350180.0,CT,Toronto,0.6138,6556,2875,2765,255,205,165,140,120,61376,3,69568,2,75520
207,105,5350181.01,CT,Toronto,0.57055,4313,1940,1858,145,110,105,110,115,106923,2.8,109568,2,121856
208,70,5350181.02,CT,Toronto,0.60182,3552,1664,1591,100,95,95,75,80,90176,2.9,90368,2,110912
209,110,5350182.0,CT,Toronto,0.7605,5531,2297,2186,130,130,135,120,130,113344,3,104448,2,135168
210,65,5350183.01,CT,Toronto,0.52409,2603,1048,1007,80,55,50,55,65,105984,3.1,87296,2,132480
211,130,5350183.02,CT,Toronto,0.42813,3938,1584,1522,70,80,70,70,80,120320,3.1,103936,2,137984
212,95,5350184.01,CT,Toronto,0.47406000000000004,5108,2346,2307,165,120,90,85,100,84864,2.9,80640,2,119467
213,50,5350184.02,CT,Toronto,0.56201,3768,1694,1642,110,115,110,85,75,83904,2.9,77824,2,111104
214,205,5350185.01,CT,Toronto,0.49918999999999997,6810,3507,3394,345,235,190,160,125,66532,2.8,67840,2,86080
215,90,5350185.02,CT,Toronto,1.2288700000000001,4689,2305,2269,195,165,130,120,100,82483,2.8,78272,2,103040
216,30,5350186.0,CT,Toronto,1.9107599999999998,2416,949,913,40,40,40,45,25,215552,3.2,162304,2,285696
217,55,5350187.0,CT,Toronto,1.21045,3448,1424,1351,95,85,70,75,55,114176,3.1,98219,2,152064
218,40,5350188.0,CT,Toronto,0.55199,2017,842,797,40,55,35,45,40,119936,3.1,105984,2,144725
219,25,5350189.0,CT,Toronto,1.2395100000000001,5462,2226,2180,190,175,145,125,120,73429,3,76992,2,94763
220,20,5350190.01,CT,Toronto,0.40226999999999996,9127,3577,3507,365,290,245,170,120,50432,3.2,45440,2,54272
221,20,5350190.02,CT,Toronto,0.5813,4765,2102,2026,160,125,105,100,75,57472,3,57088,2,78208
222,40,5350191.0,CT,Toronto,0.8230299999999999,4229,1853,1779,145,120,90,95,85,92467,3,83840,2,119552
223,0,5350192.0,CT,Toronto,0.92037,905,462,440,35,20,15,20,10,74240,3,71680,2,103168
224,10,5350193.0,CT,Toronto,1.41592,3314,1070,1043,65,45,55,45,55,107840,3.6,101632,2,134400
225,25,5350194.01,CT,Toronto,0.2315,5498,1482,1463,155,125,65,60,45,43162,4.2,34752,2,43959
226,10,5350194.02,CT,Toronto,0.34635,6240,1934,1923,210,140,105,115,75,47659,3.8,51029,2,48640
