,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle,v_CA16_5807: Bicycle.1,v_CA16_388: 15 to 64 years,v_CA16_418: Private households by household size,v_CA16_406: Population density per square kilometre,v_CA16_424: Number of persons in private households,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_485: Total couple families,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
150,5050160.03,CT,Ottawa,11.35105,8562,2756,2719,400,8415,8415,3610,8420,4455,6375,6375,4295,30,30,65.7,2720,754.3,8560,2485,2265,2265,635,370,2715,6485,6485,6490,4845,2720,35,20,20,95,105,115,125,150,58496,8555,615,350,4.1
151,5050160.04,CT,Ottawa,2.06135,6239,2421,2389,730,6120,6115,1340,6115,3500,5085,5080,3235,45,45,68.5,2385,3026.9,6170,1840,1510,1510,860,595,2390,5095,5095,5095,3790,2390,25,10,30,175,175,155,160,165,45440,6170,575,375,6.1
152,5050160.05,CT,Ottawa,1.128,3176,1264,1248,355,3230,3230,550,3230,1860,2740,2745,1770,10,10,69.9,1250,2817.6,3180,970,850,845,400,295,1250,2730,2730,2730,2045,1250,5,5,10,85,95,65,80,60,44928,3175,150,95,3.0
153,5050160.06,CT,Ottawa,2.49782,5355,2497,2143,885,4880,4880,1300,4880,2530,4180,4175,2300,25,25,56.8,2145,2143.7,4820,1400,1175,1180,935,775,2145,4100,4105,4105,2705,2140,30,15,20,160,170,185,165,150,55872,4820,405,205,4.3
154,5050160.07,CT,Ottawa,3.41629,6762,2411,2397,430,6895,6900,2100,6900,3595,5800,5800,3585,25,25,67.6,2400,2032.2,6755,2065,1855,1855,515,385,2400,5690,5685,5685,3960,2395,15,10,10,75,95,95,125,105,63189,6760,375,220,3.3
155,5050160.09,CT,Ottawa,102.44904,3578,1194,1166,215,3685,3685,640,3685,1845,2930,2930,1750,15,15,66.9,1165,40.5,3570,1050,970,970,215,140,1165,2860,2860,2860,2095,1165,20,0,10,55,40,55,60,45,47573,3570,155,90,2.5
156,5050160.1,CT,Ottawa,4.4223300000000005,9825,2990,2970,565,9955,9955,3510,9955,5340,7315,7320,5180,45,45,67.4,2970,2223.4,9825,2670,2375,2375,715,405,2970,7235,7235,7235,5620,2970,25,15,15,105,125,155,175,205,60928,9825,580,350,3.6
157,5050160.11,CT,Ottawa,5.6636,5915,1955,1947,350,5725,5730,1810,5730,3180,4285,4280,2975,20,20,65.6,1950,1045.2,5855,1690,1430,1435,485,315,1950,4365,4365,4365,3380,1945,15,10,10,100,95,135,130,130,60800,5855,315,170,2.9
158,5050161.03,CT,Ottawa,1.21846,4960,1729,1723,265,4970,4970,1030,4970,2725,4080,4080,2555,20,20,69.4,1725,4070.6,4960,1495,1320,1320,390,265,1720,4095,4095,4100,3020,1725,10,10,25,80,95,95,105,95,46891,4960,335,175,3.5
159,5050161.04,CT,Ottawa,1.6713099999999999,5320,1800,1793,360,5155,5155,1085,5155,2595,4270,4265,2640,55,55,64.2,1795,3182.8,5165,1525,1390,1395,400,300,1790,4250,4245,4250,3065,1790,0,5,0,75,105,95,105,120,63616,5165,145,80,1.5
160,5050161.05,CT,Ottawa,1.56782,6778,2232,2224,315,6665,6665,1580,6665,3725,5185,5185,3720,15,15,69.2,2225,4323.3,6775,1965,1735,1730,480,305,2225,5270,5270,5270,4130,2225,10,5,0,95,90,125,155,165,62464,6775,240,120,1.8
161,5050161.06,CT,Ottawa,1.9453599999999998,7342,2617,2559,630,7450,7450,1980,7450,4400,5715,5715,4280,25,25,71.3,2560,3773.6,7340,2140,1835,1835,690,485,2560,5630,5630,5635,4625,2560,15,5,10,120,155,180,175,215,62080,7340,435,255,3.5
162,5050162.01,CT,Ottawa,4.20801,7511,2892,2829,765,7465,7465,1635,7465,4230,6045,6045,4165,20,20,67.7,2830,1785.3,7505,2300,1990,1990,860,580,2830,6050,6050,6050,4605,2830,20,10,20,170,230,235,220,240,52992,7505,450,275,3.7
163,5050162.02,CT,Ottawa,2.23139,4325,1584,1576,355,4285,4285,725,4280,2585,3485,3485,2275,15,15,70.5,1575,1938.3,4240,1295,1045,1045,485,315,1575,3480,3475,3475,2655,1575,10,5,15,115,125,125,150,125,44608,4240,290,180,4.2
164,5050170.01,CT,Ottawa,2.7309400000000004,4206,1708,1661,455,4050,4055,635,4055,2350,3430,3435,2120,10,10,68.1,1660,1590.8,4100,1300,1075,1070,540,395,1665,3455,3455,3455,2525,1660,10,5,5,130,130,130,150,150,53888,4100,220,175,4.3
165,5050170.03,CT,Ottawa,1.37425,3943,1412,1401,250,3840,3840,550,3840,2130,3265,3265,2045,0,0,66.2,1400,2869.5,3880,1230,1085,1080,340,210,1400,3285,3285,3285,2310,1400,10,0,5,70,85,95,95,105,55808,3880,125,110,2.8
166,5050170.04,CT,Ottawa,1.34269,3582,1409,1405,285,3450,3450,315,3455,1845,3065,3065,1755,25,25,66.8,1405,2667.8,3560,1170,1010,1005,380,255,1405,3100,3100,3100,2150,1405,5,0,5,80,110,100,110,125,50688,3560,130,110,3.1
167,5050170.05,CT,Ottawa,0.99279,3506,1330,1325,305,3645,3645,345,3640,2130,3085,3085,2055,20,20,71.9,1325,3531.8,3495,1120,950,950,335,230,1325,3025,3030,3030,2235,1325,5,10,0,65,105,90,110,115,53675,3495,115,100,2.9
168,5050170.08,CT,Ottawa,0.73461,2653,866,864,95,2625,2625,340,2630,1530,2220,2215,1595,0,0,74.0,865,3611.0,2650,825,720,720,125,65,860,2210,2210,2210,1695,865,5,0,0,20,40,40,45,55,59136,2650,60,55,2.1
169,5050170.09,CT,Ottawa,1.27007,4793,1783,1776,405,4805,4800,860,4800,2675,3995,3995,2550,10,10,69.5,1775,3773.7,4780,1450,1205,1205,520,360,1775,4005,4005,4000,2980,1775,0,5,5,115,135,115,140,105,50176,4780,210,185,3.9
170,5050170.1,CT,Ottawa,1.8118900000000002,4197,1731,1693,535,4250,4250,610,4245,2400,3640,3635,2270,10,10,69.4,1695,2316.6,4195,1265,1075,1075,565,450,1695,3590,3590,3590,2510,1690,10,10,25,115,110,100,115,100,45312,4190,280,190,4.5
171,5050170.11,CT,Ottawa,1.3270600000000001,3242,1077,1076,135,3185,3185,580,3180,1730,2650,2650,1700,0,0,71.6,1075,2443.1,3240,980,845,845,230,125,1075,2700,2695,2700,2020,1075,5,0,10,35,50,55,55,70,45120,3240,145,135,4.2
172,5050170.12,CT,Ottawa,1.0826200000000001,4819,1596,1589,310,4745,4740,870,4740,2695,3720,3720,2675,30,30,70.1,1590,4449.7,4700,1380,1140,1140,400,250,1585,3685,3685,3685,2995,1590,10,5,0,70,85,110,115,140,62592,4695,180,150,3.2
173,5050170.13,CT,Ottawa,1.2374399999999999,5174,1757,1736,300,5205,5205,1015,5200,2905,4230,4225,3110,10,10,72.9,1735,4181.7,5165,1520,1235,1230,400,250,1735,4180,4180,4180,3345,1735,0,0,5,80,100,140,135,120,60416,5165,170,145,2.8
174,5050171.03,CT,Ottawa,154.13028,5620,2049,2006,385,5425,5430,410,5425,3120,4610,4615,3020,10,10,69.0,2005,36.5,5485,1730,1560,1555,520,330,2010,4605,4610,4610,3410,2005,15,15,20,110,100,95,135,115,39083,5490,325,150,2.7
175,5050171.05,CT,Ottawa,7.0409,5604,1891,1871,375,5605,5610,1100,5605,3000,4320,4320,3080,20,20,67.4,1870,1525.7,5605,1590,1370,1370,500,320,1875,4320,4315,4315,3375,1875,15,5,5,75,85,120,105,130,57632,5605,220,215,3.8
176,5050171.06,CT,Ottawa,139.95103999999998,6259,2300,2226,510,6170,6170,570,6170,3370,5110,5110,3315,10,10,67.4,2225,46.8,6080,1885,1735,1735,590,405,2230,5095,5090,5095,3695,2225,15,15,35,105,120,100,130,135,42283,6080,365,185,3.0
177,5050171.07,CT,Ottawa,1.71081,4742,1551,1550,305,4650,4650,975,4650,2490,3700,3700,2550,20,20,69.6,1550,2771.5,4730,1345,1160,1165,405,250,1550,3775,3775,3775,2940,1550,5,5,5,55,90,85,105,110,64128,4730,175,145,3.1
178,5050171.09,CT,Ottawa,6.99255,9933,3345,3326,630,9975,9975,2925,9970,5685,7450,7450,5425,15,15,68.5,3325,1420.6,9925,2785,2315,2315,950,645,3325,7385,7390,7390,5865,3330,25,20,30,190,235,265,250,255,61728,9925,705,540,5.4
179,5050171.1,CT,Ottawa,4.24571,8784,2974,2964,655,8735,8730,1945,8735,4865,6490,6490,4735,15,15,68.3,2965,2068.9,8785,2465,2070,2065,820,555,2965,6555,6555,6560,5400,2965,15,5,15,165,180,155,220,215,61056,8780,410,310,3.5
180,5050190.02,CT,Ottawa,49.54465,7145,2506,2467,460,7150,7150,860,7155,3960,5700,5700,3920,20,20,68.0,2465,145.3,7130,2155,1970,1970,540,370,2465,5715,5720,5715,4380,2465,15,15,10,125,135,115,100,130,47104,7130,370,125,1.8
181,5050191.01,CT,Ottawa,39.22898,4824,1633,1572,170,4640,4635,710,4635,2585,3845,3840,2485,0,0,66.9,1570,124.6,4655,1445,1355,1355,275,170,1570,3825,3825,3825,2845,1570,15,5,15,50,50,50,65,75,41728,4660,185,105,2.3
182,5050191.02,CT,Ottawa,103.26971999999999,4822,1783,1738,330,4905,4905,295,4900,2695,3935,3935,2760,0,0,69.2,1740,47.2,4820,1475,1320,1320,445,300,1740,3970,3970,3975,3110,1735,5,10,10,90,105,95,90,100,44501,4820,275,95,2.0
183,5050200.02,CT,Ottawa,144.97507,6485,2506,2420,420,6365,6360,675,6365,3405,5250,5250,3435,0,0,64.8,2420,45.8,6475,2040,1875,1880,555,420,2420,5340,5345,5345,3975,2420,20,10,25,130,145,125,135,145,48000,6475,430,195,3.0
184,5050201.0,CT,Ottawa,7.320639999999999,4486,1678,1631,275,4390,4390,685,4390,2175,3705,3705,2115,10,10,61.7,1630,669.4,4390,1385,1280,1280,320,265,1630,3705,3700,3705,2570,1630,5,5,15,70,70,75,95,85,54400,4390,195,145,3.3
185,5050300.0,CT,Ottawa,261.1029,10160,3771,3725,720,10030,10035,1240,10035,5765,8120,8125,5695,25,25,67.9,3725,39.0,10145,3125,2830,2830,920,675,3725,8195,8195,8195,6360,3725,25,15,20,185,205,220,225,200,53581,10145,480,190,1.9
186,5050301.0,CT,Ottawa,272.06702,4413,1823,1710,400,4495,4495,350,4495,2495,3790,3795,2585,15,15,67.0,1710,17.1,4400,1405,1265,1265,435,335,1710,3710,3705,3705,2830,1710,20,10,20,120,120,105,120,110,43093,4405,275,105,2.4
187,5050302.0,CT,Ottawa,129.56089,6974,3002,2687,580,6880,6880,675,6880,3955,5830,5830,3775,15,15,70.4,2690,62.1,6970,2190,1980,1980,745,540,2690,5915,5915,5915,4390,2690,25,20,25,175,165,180,155,170,46763,6970,440,190,2.7
188,5350001.0,CT,Toronto,6.62211,595,274,247,120,575,575,175,580,455,505,505,380,30,30,78.2,245,97.6,595,175,150,150,115,75,245,510,510,510,415,245,5,10,5,10,15,10,15,5,37760,595,80,90,15.1
189,5350002.0,CT,Toronto,3.2947,620,279,270,100,655,650,150,655,340,600,600,370,75,75,62.1,270,195.4,590,185,150,150,115,85,270,530,530,530,380,270,5,5,5,15,20,25,10,20,39040,585,70,55,9.4
190,5350003.0,CT,Toronto,0.94253,749,267,258,150,455,455,180,455,345,420,425,315,20,20,68.0,260,820.5,465,130,110,110,150,130,260,425,430,430,335,260,15,0,5,15,15,25,20,20,61952,465,65,60,12.9
191,5350004.0,CT,Toronto,0.34347,6686,3609,3455,2565,6350,6350,2860,6350,4360,5705,5705,3535,385,385,78.8,3455,19453.0,6340,1325,1010,1015,2770,2160,3455,5705,5700,5700,4010,3455,140,125,300,290,205,140,135,85,22176,6335,2210,1965,31.0
192,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,2380,6105,6105,2390,6105,4200,5530,5530,3650,320,320,78.7,3420,17076.0,6100,1355,980,980,2640,2090,3425,5530,5530,5525,4090,3425,85,130,265,250,235,205,170,145,25984,6100,1745,1615,26.5
193,5350006.0,CT,Toronto,0.01288,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
194,5350007.01,CT,Toronto,0.19931,3237,1827,1747,1275,3160,3160,1390,3160,2280,2840,2840,1980,185,185,79.9,1750,16233.7,3160,685,535,540,1340,1070,1750,2820,2820,2820,2180,1750,55,55,115,160,120,80,75,55,28078,3160,820,735,23.3
195,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,1665,4590,4590,2105,4590,3075,4090,4090,2540,235,235,79.5,2505,10891.4,4590,1000,725,720,1905,1520,2505,4115,4110,4110,2935,2505,90,95,175,210,185,150,95,85,24992,4585,1450,1230,26.8
196,5350008.01,CT,Toronto,0.29723,7503,5192,4954,3525,7635,7635,1950,7635,6655,7335,7335,6605,325,325,94.6,4955,25262.6,7500,1710,1625,1625,3760,3245,4955,7200,7205,7205,6750,4955,115,80,80,380,410,425,405,365,63696,7500,735,725,9.7
197,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,4240,9880,9885,3475,9880,7875,9235,9235,7395,400,400,88.9,6060,5345.7,9880,2285,1955,1955,4525,3805,6060,9235,9235,9235,8035,6060,205,140,180,470,535,460,430,340,53504,9885,1665,1575,15.9
198,5350009.0,CT,Toronto,0.10317,567,169,166,165,280,275,95,275,190,260,265,135,10,10,83.3,165,5499.5,290,60,35,35,135,105,170,260,260,260,165,170,0,0,30,15,10,5,10,5,19264,295,115,90,30.5
199,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,2020,5245,5245,1315,5240,4115,4730,4730,3925,225,225,85.6,3150,20670.2,5365,1350,1135,1135,2160,1810,3150,4865,4860,4865,4285,3150,65,40,75,190,195,230,215,210,63659,5365,635,610,11.4
200,5350010.02,CT,Toronto,0.54735,7740,4628,4447,3165,7400,7400,2165,7395,5795,6830,6830,5425,370,370,84.8,4450,14144.7,7400,1710,1480,1480,3300,2770,4450,6830,6830,6830,5810,4450,130,75,170,295,265,275,265,275,53200,7400,1035,1040,14.1
201,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,9545,17415,17415,5235,17420,14175,16940,16935,14350,450,450,94.2,11890,17903.5,17420,3395,3185,3185,9935,8515,11890,16935,16940,16935,15035,11890,555,295,290,705,855,845,760,710,62924,17415,2560,2520,14.5
202,5350012.01,CT,Toronto,0.41877,11658,7449,6881,5395,11630,11630,4340,11630,8600,10840,10840,8455,380,380,89.8,6880,27843.3,11630,2415,2060,2060,5830,4495,6880,10840,10840,10840,9050,6880,430,180,220,560,600,545,505,390,46814,11630,2520,2490,21.4
203,5350012.03,CT,Toronto,0.46643,8865,5997,5311,4030,8750,8745,3335,8745,6795,8275,8275,6785,140,140,91.6,5310,19003.2,8860,1920,1750,1750,4405,3420,5310,8405,8405,8405,7245,5310,225,95,115,325,370,405,390,380,57937,8865,1235,1320,14.9
204,5350012.04,CT,Toronto,0.233,4899,3258,2956,2135,4920,4920,2065,4925,3755,4670,4670,3660,90,90,85.7,2955,21272.3,4875,1155,1040,1040,2240,1810,2955,4610,4615,4615,3865,2955,110,55,60,215,220,215,190,190,56811,4875,665,700,14.4
205,5350013.01,CT,Toronto,0.34314,6290,4499,4059,2910,6330,6330,2250,6325,4700,5985,5985,4655,40,40,85.1,4060,18332.8,6265,1400,1245,1245,3095,2665,4060,5980,5980,5980,4920,4060,150,65,120,235,255,255,200,225,57237,6270,965,910,14.5
206,5350013.02,CT,Toronto,0.41796000000000005,8126,5270,4725,2960,8050,8050,3665,8045,5785,7535,7535,5400,65,65,79.4,4725,19449.5,8105,2080,1900,1900,3125,2670,4725,7540,7540,7540,5925,4725,190,80,115,285,285,290,265,240,64293,8110,1135,1045,12.9
207,5350014.0,CT,Toronto,0.47266,1242,975,691,375,1185,1185,430,1185,880,1115,1115,825,10,10,83.9,690,2628.0,1195,310,270,275,445,385,690,1120,1115,1115,825,690,55,10,15,25,25,20,30,20,70400,1195,210,185,15.5
208,5350015.0,CT,Toronto,0.28599,3663,2451,2226,1470,3650,3650,1240,3650,2635,3490,3490,2475,25,25,79.7,2225,12807.7,3595,890,775,775,1545,1345,2225,3400,3400,3400,2745,2230,65,40,60,135,125,140,140,140,67243,3595,485,465,12.9
209,5350016.0,CT,Toronto,0.65971,10101,6527,6180,4225,9715,9715,2970,9720,7680,9120,9120,7330,350,350,87.1,6180,15430.8,9715,2270,2035,2030,4440,3920,6180,9120,9120,9120,7805,6180,210,110,200,395,440,450,385,380,61440,9715,1515,1400,14.4
210,5350017.0,CT,Toronto,1.37531,7906,5250,4663,3105,7875,7875,2765,7875,5445,7145,7145,4790,330,330,77.3,4660,5889.5,7875,1865,1395,1390,3250,2815,4665,7145,7140,7140,5470,4660,130,105,250,350,340,315,265,250,45084,7875,1670,1470,18.7
211,5350018.0,CT,Toronto,0.35178000000000004,2456,1319,1248,715,2390,2390,570,2390,1745,2080,2080,1510,135,135,79.3,1245,7081.9,2335,590,505,505,815,665,1245,2055,2055,2055,1670,1250,35,40,60,70,80,65,60,55,46464,2335,325,355,15.2
212,5350019.0,CT,Toronto,0.24894000000000002,3258,1410,1365,730,3080,3080,930,3075,2030,2670,2670,1670,120,120,70.0,1365,13089.6,3035,810,595,595,770,575,1365,2575,2580,2575,1805,1365,25,75,125,60,85,60,60,55,19264,3035,755,670,22.1
213,5350020.0,CT,Toronto,0.7386199999999999,2390,1028,1014,340,2420,2415,665,2420,1390,2005,2005,1275,35,35,64.2,1015,3236.3,2385,700,615,615,375,325,1010,1935,1935,1935,1415,1015,10,5,10,35,40,40,45,50,67968,2390,135,110,4.6
214,5350021.0,CT,Toronto,0.8680700000000001,5199,2830,2661,1460,5165,5165,1140,5165,3200,4425,4425,3005,180,180,70.7,2660,5977.9,5195,1350,1125,1125,1520,1330,2660,4490,4490,4490,3390,2660,75,55,130,175,145,145,130,120,39616,5195,700,615,11.8
215,5350022.0,CT,Toronto,0.55462,3883,1577,1504,415,4020,4015,590,4020,2220,3150,3150,2145,85,85,68.6,1505,6998.9,3865,1090,935,930,520,420,1505,3075,3075,3075,2380,1505,25,25,25,75,60,65,60,50,43200,3865,280,265,6.9
216,5350023.0,CT,Toronto,0.68635,3208,1355,1286,430,3045,3050,590,3045,1725,2565,2560,1670,55,55,67.8,1285,4673.7,3200,905,790,785,460,395,1290,2630,2635,2635,1980,1285,30,20,20,55,65,50,60,55,48896,3200,220,180,5.6
217,5350024.0,CT,Toronto,0.70927,6887,3136,2963,1235,6795,6790,1235,6795,4075,5480,5480,3880,215,215,68.9,2965,9713.7,6790,1890,1575,1575,1335,1095,2965,5485,5485,5480,4370,2965,55,45,75,170,145,145,135,130,39040,6790,675,580,8.5
218,5350025.0,CT,Toronto,0.5284300000000001,3456,1659,1610,755,3380,3375,640,3375,2195,2800,2800,1890,105,105,74.0,1610,6540.5,3405,940,755,760,835,680,1610,2845,2850,2845,2155,1610,20,45,95,105,95,70,60,70,30528,3405,565,510,15.0
219,5350026.0,CT,Toronto,0.7771899999999999,6486,2894,2695,1255,6470,6470,1840,6470,4170,5330,5325,3525,250,250,73.2,2695,8344.3,6470,1765,1390,1390,1400,995,2695,5325,5330,5325,3850,2695,80,70,135,170,135,155,150,130,27904,6470,1280,1160,17.9
220,5350027.0,CT,Toronto,0.48531,4390,1818,1724,715,4330,4330,1215,4330,2750,3635,3630,2290,165,165,70.3,1725,9046.0,4305,1170,925,925,930,615,1725,3600,3605,3600,2555,1725,40,30,60,115,95,95,70,80,27712,4305,825,750,17.4
221,5350028.01,CT,Toronto,0.20715999999999998,1387,728,684,315,1375,1370,300,1375,1005,1150,1150,950,50,50,79.8,680,6690.8,1350,375,325,325,375,315,685,1165,1165,1160,1010,685,15,5,15,35,40,45,40,40,57045,1355,120,105,7.7
222,5350028.02,CT,Toronto,0.46335,6198,3007,2836,1510,5900,5905,1665,5905,4040,5060,5060,3645,240,240,73.5,2835,13383.7,5965,1585,1350,1350,1715,1300,2835,5130,5130,5130,3985,2835,60,65,90,155,185,150,155,155,43072,5965,930,940,15.8
223,5350029.0,CT,Toronto,0.6866899999999999,6987,3099,2962,1625,6770,6765,2415,6770,4250,5790,5790,3670,325,325,74.2,2965,10354.2,6870,1820,1445,1445,1770,1230,2965,5890,5890,5890,4205,2960,55,65,135,195,175,145,165,120,24896,6870,1545,1385,20.2
224,5350030.0,CT,Toronto,0.38708000000000004,4529,2319,2195,1520,4445,4440,1660,4440,2845,3830,3830,2460,190,190,81.5,2195,11893.4,4405,1030,770,775,1525,1180,2195,3850,3855,3850,2865,2195,105,95,85,175,185,130,115,110,33760,4410,1380,1180,26.8
225,5350031.0,CT,Toronto,0.26375,6274,2864,2765,1465,6235,6235,3350,6235,3710,5215,5215,2660,110,110,75.7,2765,24270.8,6265,1430,970,970,1685,1370,2765,5190,5190,5190,3105,2765,75,205,275,220,175,125,105,65,17984,6265,3135,2585,41.3
226,5350032.0,CT,Toronto,0.4197,5363,2976,2641,2280,4240,4245,1660,4245,2890,3985,3980,2260,225,225,79.3,2640,12781.2,4185,750,560,560,2275,1900,2640,3870,3875,3870,2435,2645,145,305,340,115,95,60,65,55,17317,4185,1935,1825,43.6
227,5350033.0,CT,Toronto,0.31956999999999997,5042,3010,2733,2045,4495,4495,1840,4495,2855,3925,3925,1890,115,115,79.8,2735,15780.9,4550,845,545,545,2310,1905,2735,4035,4035,4035,2370,2735,130,310,510,135,100,70,70,65,15115,4555,2445,2265,49.7
228,5350034.01,CT,Toronto,0.12455,4554,2884,2268,1915,4125,4125,1740,4125,2665,3910,3915,2595,70,70,87.3,2265,36578.3,3980,770,675,670,2145,1505,2270,3785,3785,3790,2865,2270,220,105,90,140,130,125,90,115,26848,3975,1125,1185,29.8
229,5350034.02,CT,Toronto,0.39824,5147,3409,3055,2440,4875,4880,1775,4880,3425,4560,4555,3030,95,95,86.8,3055,12922.4,4935,975,785,785,2595,2085,3055,4645,4645,4645,3595,3055,165,125,205,190,190,190,155,135,31664,4935,1465,1445,29.3
230,5350035.0,CT,Toronto,0.66273,9876,6772,5707,4700,9845,9845,4165,9845,5970,9145,9145,5390,120,120,87.5,5705,14900.4,9835,1870,1530,1525,5135,3855,5710,9145,9145,9145,5895,5705,900,295,340,305,345,345,300,230,21280,9835,3780,3685,37.5
231,5350036.0,CT,Toronto,0.38343,5487,3641,3272,2615,5515,5510,2340,5510,3550,5185,5180,3300,210,210,81.3,3275,14311.4,5460,1055,880,880,2925,2245,3275,5160,5160,5160,3630,3270,235,135,185,230,220,180,165,140,27936,5460,1675,1605,29.4
232,5350037.0,CT,Toronto,0.45102,4494,2463,2116,2375,4250,4250,1600,4250,2300,4005,4005,2295,290,290,78.8,2115,9957.9,4305,705,540,540,2435,1440,2115,4030,4025,4025,2600,2115,170,140,145,155,115,115,80,65,17075,4300,1490,1725,40.1
233,5350038.0,CT,Toronto,0.36616,3772,1820,1638,1695,3555,3550,1510,3555,2110,3285,3285,1925,275,275,76.8,1640,10303.2,3605,690,535,535,1805,1005,1640,3355,3355,3355,2190,1640,60,65,120,100,95,75,60,55,17757,3605,1150,1395,38.7
234,5350039.0,CT,Toronto,0.31773,4192,1821,1709,1230,4145,4145,2170,4145,2375,3680,3675,1765,165,165,72.1,1710,13186.5,4090,930,565,565,1385,855,1710,3605,3610,3605,2110,1705,50,60,100,135,75,75,80,65,17790,4090,1485,1375,33.6
235,5350040.0,CT,Toronto,0.36873,4568,1961,1788,1250,4545,4545,1820,4545,2900,4015,4010,2410,305,305,76.6,1790,12396.2,4545,1130,905,910,1500,745,1790,4060,4060,4060,2875,1785,55,25,60,120,105,105,105,70,21824,4545,840,1030,22.7
236,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,1065,3430,3430,1300,3430,2280,3090,3090,2095,310,310,75.7,1455,10889.3,3425,830,680,680,1170,660,1450,3050,3045,3050,2260,1455,35,15,35,105,80,70,100,90,27904,3425,510,605,17.7
237,5350042.0,CT,Toronto,0.48994,4570,2150,1965,1430,4455,4455,1370,4450,2935,4015,4015,2695,450,450,74.4,1965,9328.4,4490,1105,915,915,1550,925,1965,4025,4025,4025,3025,1965,45,40,60,150,125,115,90,95,30062,4490,545,655,14.6
238,5350043.0,CT,Toronto,0.55392,3965,1863,1704,1130,3805,3800,1315,3805,2530,3365,3365,2240,315,315,74.2,1705,7158.3,3765,980,840,840,1185,770,1705,3355,3355,3355,2540,1705,45,25,60,135,125,80,95,85,34528,3765,490,570,15.1
239,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,3645,8400,8400,2295,8400,6280,7785,7785,6170,740,740,83.0,4630,17988.2,8540,1845,1615,1610,3905,2830,4630,7905,7905,7905,6690,4630,130,100,160,390,360,345,315,295,40499,8540,1230,1370,16.0
240,5350045.0,CT,Toronto,0.29514,3453,1567,1468,865,3210,3215,1160,3210,2260,2895,2895,1965,290,290,75.2,1465,11693.2,3235,820,660,655,1085,690,1470,2915,2910,2910,2220,1470,45,20,40,110,100,110,80,70,29376,3235,465,485,15.0
241,5350046.0,CT,Toronto,0.42036,3281,1404,1330,790,3445,3445,1385,3445,2055,2975,2975,1825,230,230,72.6,1330,7808.2,3275,895,670,670,810,480,1330,2840,2840,2840,1955,1330,25,30,50,105,90,85,75,60,22315,3280,655,660,20.1
242,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,1395,3710,3705,1665,3705,2290,3245,3245,1800,215,215,70.8,1945,13209.1,3775,820,640,640,1480,1150,1950,3285,3285,3285,2020,1945,60,75,170,110,115,70,75,60,19034,3780,1465,1325,35.1
243,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,205,795,800,160,800,585,675,675,505,85,85,80.9,360,5952.6,700,175,150,150,245,195,360,620,620,620,515,360,10,5,10,25,20,25,20,30,50944,705,75,90,12.8
