GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5807: Bicycle,v_CA16_61: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_418: Private households by household size,v_CA16_406: Population density per square kilometre,v_CA16_424: Number of persons in private households,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_485: Total couple families,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_509: Non-census-family households,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999",v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
5350034.01,CT,Toronto,0.12455,4554,2884,2268,70,3975,87.3,2265,36578.3,3980,770,675,670,2145,1505,2270,3785,3785,3790,2865,2270,220,105,90,140,130,125,90,115,26848,3975,1125,1185,29.8
5350034.02,CT,Toronto,0.39824,5147,3409,3055,95,4465,86.8,3055,12922.4,4935,975,785,785,2595,2085,3055,4645,4645,4645,3595,3055,165,125,205,190,190,190,155,135,31664,4935,1465,1445,29.3
5350035.00,CT,Toronto,0.66273,9876,6772,5707,120,8640,87.5,5705,14900.4,9835,1870,1530,1525,5135,3855,5710,9145,9145,9145,5895,5705,900,295,340,305,345,345,300,230,21280,9835,3780,3685,37.5
5350036.00,CT,Toronto,0.38343,5487,3641,3272,210,4460,81.3,3275,14311.4,5460,1055,880,880,2925,2245,3275,5160,5160,5160,3630,3270,235,135,185,230,220,180,165,140,27936,5460,1675,1605,29.4
5350037.00,CT,Toronto,0.45102,4494,2463,2116,290,3540,78.8,2115,9957.9,4305,705,540,540,2435,1440,2115,4030,4025,4025,2600,2115,170,140,145,155,115,115,80,65,17075,4300,1490,1725,40.1
5350038.00,CT,Toronto,0.36616,3772,1820,1638,275,2900,76.8,1640,10303.2,3605,690,535,535,1805,1005,1640,3355,3355,3355,2190,1640,60,65,120,100,95,75,60,55,17757,3605,1150,1395,38.7
5350039.00,CT,Toronto,0.31773,4192,1821,1709,165,3020,72.1,1710,13186.5,4090,930,565,565,1385,855,1710,3605,3610,3605,2110,1705,50,60,100,135,75,75,80,65,17790,4090,1485,1375,33.6
5350040.00,CT,Toronto,0.36873,4568,1961,1788,305,3500,76.6,1790,12396.2,4545,1130,905,910,1500,745,1790,4060,4060,4060,2875,1785,55,25,60,120,105,105,105,70,21824,4545,840,1030,22.7
5350041.00,CT,Toronto,0.31712,3453,1588,1453,310,2615,75.7,1455,10889.3,3425,830,680,680,1170,660,1450,3050,3045,3050,2260,1455,35,15,35,105,80,70,100,90,27904,3425,510,605,17.7
5350042.00,CT,Toronto,0.48994,4570,2150,1965,450,3400,74.4,1965,9328.4,4490,1105,915,915,1550,925,1965,4025,4025,4025,3025,1965,45,40,60,150,125,115,90,95,30062,4490,545,655,14.6
5350043.00,CT,Toronto,0.55392,3965,1863,1704,315,2940,74.2,1705,7158.3,3765,980,840,840,1185,770,1705,3355,3355,3355,2540,1705,45,25,60,135,125,80,95,85,34528,3765,490,570,15.1
5350044.00,CT,Toronto,0.49064,8825,5124,4629,740,7325,83.0,4630,17988.2,8540,1845,1615,1610,3905,2830,4630,7905,7905,7905,6690,4630,130,100,160,390,360,345,315,295,40499,8540,1230,1370,16.0
5350045.00,CT,Toronto,0.29514,3453,1567,1468,290,2595,75.2,1465,11693.2,3235,820,660,655,1085,690,1470,2915,2910,2910,2220,1470,45,20,40,110,100,110,80,70,29376,3235,465,485,15.0
5350046.00,CT,Toronto,0.42036,3281,1404,1330,230,2390,72.6,1330,7808.2,3275,895,670,670,810,480,1330,2840,2840,2840,1955,1330,25,30,50,105,90,85,75,60,22315,3280,655,660,20.1
5350047.02,CT,Toronto,0.28694,3791,2083,1947,215,2685,70.8,1945,13209.1,3775,820,640,640,1480,1150,1950,3285,3285,3285,2020,1945,60,75,170,110,115,70,75,60,19034,3780,1465,1325,35.1
5350047.03,CT,Toronto,0.11809,703,376,361,85,570,80.9,360,5952.6,700,175,150,150,245,195,360,620,620,620,515,360,10,5,10,25,20,25,20,30,50944,705,75,90,12.8
5350047.04,CT,Toronto,0.27379,2846,1253,1180,215,2070,72.9,1180,10394.4,2825,735,615,620,705,460,1180,2335,2335,2335,1785,1180,30,30,55,80,75,65,65,55,25563,2825,340,405,14.3
5350048.00,CT,Toronto,0.3349,3557,1660,1560,265,2655,74.7,1560,10617.9,3505,890,770,770,950,675,1560,2935,2935,2940,2300,1560,55,30,60,105,95,85,80,75,29696,3505,570,560,16.0
5350049.00,CT,Toronto,0.46479,3663,1506,1426,230,2410,65.6,1425,7879.1,3190,835,710,710,810,605,1425,2685,2690,2690,2140,1425,35,25,50,85,85,80,85,60,33920,3190,350,365,11.4
5350050.01,CT,Toronto,1.46504,8746,4553,4336,140,6085,69.5,4340,6816.8,8740,2425,2110,2110,2215,1935,4340,7575,7575,7575,5835,4335,100,50,70,300,310,290,270,250,55509,8740,885,735,8.4
5350050.03,CT,Toronto,1.92412,1109,606,590,10,830,75.1,590,653.2,1110,310,280,275,330,280,590,990,985,985,790,590,5,5,20,30,40,40,40,45,66560,1110,105,105,9.5
5350050.04,CT,Toronto,0.77861,5008,2291,2212,105,3400,67.9,2210,6589.5,5005,1340,1035,1035,1040,895,2215,4070,4070,4070,3030,2210,55,45,35,160,125,110,95,95,36992,5005,765,675,13.5
5350051.00,CT,Toronto,0.69119,5399,2570,2313,325,3855,71.4,2315,7807.7,5305,1370,1190,1190,1365,975,2310,4490,4490,4490,3585,2315,65,30,55,155,155,110,100,110,35328,5305,495,545,10.3
5350052.00,CT,Toronto,0.50129,4077,1933,1839,295,3010,73.7,1840,8134.5,4060,1065,900,900,1055,790,1835,3390,3395,3395,2665,1840,35,35,60,140,120,105,105,80,35200,4060,515,490,12.1
5350053.00,CT,Toronto,0.68317,5982,2840,2712,355,4560,76.3,2710,8755.9,5975,1550,1300,1300,1845,1235,2710,5320,5325,5325,4025,2715,50,50,95,195,215,190,145,135,29712,5975,1010,1025,17.2
5350054.00,CT,Toronto,0.70239,5803,2975,2724,420,4430,76.3,2725,8261.7,5735,1385,1145,1145,2015,1380,2725,5110,5105,5105,3835,2720,75,45,95,220,195,165,140,110,30491,5735,1095,1090,19.0
5350055.00,CT,Toronto,0.27636,2763,1403,1320,320,2150,77.9,1320,10000.0,2760,635,540,540,1075,700,1320,2480,2480,2480,1960,1320,35,25,50,100,75,80,75,60,30144,2760,400,480,17.4
5350056.00,CT,Toronto,0.50948,4772,2170,2018,495,3635,76.1,2020,9367.9,4765,1145,950,950,1695,935,2015,4295,4295,4295,3245,2020,45,45,60,135,135,140,95,80,27968,4765,570,795,16.7
5350057.00,CT,Toronto,0.26644,2311,1226,1108,210,1800,77.9,1105,8674.9,2290,510,430,430,960,615,1105,2105,2100,2100,1650,1110,30,30,40,80,90,70,55,45,31680,2285,290,395,17.3
5350058.00,CT,Toronto,0.38414,3980,2063,1888,445,3010,75.6,1885,10351.1,3950,915,795,795,1585,1005,1885,3615,3620,3620,2705,1890,35,30,75,125,105,110,85,85,26253,3945,635,770,19.5
5350059.00,CT,Toronto,0.36663,3837,1621,1447,390,2690,70.2,1450,10466.4,3225,710,595,595,1370,755,1450,2945,2945,2945,2230,1445,40,30,55,100,95,80,70,50,22848,3230,560,755,23.4
5350060.00,CT,Toronto,0.27159,2685,1669,1471,150,2205,82.1,1470,9885.9,2685,560,480,480,1310,925,1470,2515,2515,2515,1890,1470,150,70,55,80,85,85,60,50,21824,2685,640,725,27.0
5350061.00,CT,Toronto,0.76722,1085,536,475,15,830,76.5,475,1414.2,765,135,115,115,415,340,475,710,710,710,415,475,40,45,55,30,20,15,20,10,17699,765,295,285,37.3
5350062.01,CT,Toronto,0.10685,5595,3852,3302,90,4320,77.2,3305,52387.6,5585,1265,1120,1120,2495,2040,3300,5085,5085,5085,3255,3305,460,135,130,250,200,230,145,125,29344,5585,2020,1805,32.3
5350062.02,CT,Toronto,0.58534,9084,6837,5374,105,7685,84.6,5375,15520.2,8990,1655,1385,1390,5045,3735,5375,8595,8595,8595,5210,5375,1095,295,255,270,270,220,230,195,15928,8990,3655,3560,39.6
5350063.03,CT,Toronto,0.09338,5104,3640,3405,135,4505,88.2,3405,54646.7,5085,1015,900,905,2820,2395,3405,4920,4925,4920,3935,3405,230,140,135,275,250,230,180,160,42048,5085,1220,1155,22.7
5350063.04,CT,Toronto,0.14093,3370,2409,2264,115,2920,86.6,2260,23917.7,3265,575,495,500,1970,1685,2265,3160,3165,3160,2360,2265,110,95,225,155,130,125,105,85,27674,3265,1030,1005,30.8
5350063.05,CT,Toronto,0.12992,4331,3429,2943,120,3950,91.2,2940,33315.4,4325,815,715,720,2535,2135,2940,4215,4215,4215,3200,2945,345,135,105,215,205,220,150,140,35570,4325,1305,1270,29.4
5350063.06,CT,Toronto,0.19221,5171,3761,3519,130,4345,84.0,3520,26890.3,5135,875,795,795,3175,2655,3515,4960,4965,4965,3740,3520,175,115,250,335,280,225,185,150,35040,5135,1250,1295,25.2
5350064.00,CT,Toronto,0.19472,4311,2898,2683,175,3700,85.8,2685,22130.4,4125,845,765,760,2225,1840,2685,3970,3975,3975,3155,2685,130,85,145,190,175,155,125,140,37943,4125,925,915,22.2
5350065.01,CT,Toronto,0.08613,2483,1496,1394,70,2100,84.7,1390,28872.1,2420,460,400,400,1245,940,1390,2220,2215,2220,1730,1395,85,40,80,155,125,90,90,50,27664,2420,630,670,27.7
5350065.02,CT,Toronto,0.14341,11821,5715,5481,230,8785,74.3,5485,82433.8,11815,2650,1850,1855,3980,2890,5480,9885,9885,9885,6360,5480,225,325,540,470,300,280,185,150,17874,11815,5140,4485,38.0
5350066.00,CT,Toronto,0.32848,7608,4597,4425,325,5825,76.6,4425,23166.9,6960,1430,1215,1210,3600,3010,4425,6610,6610,6610,4945,4425,130,120,265,335,315,270,215,205,32896,6960,1745,1715,24.6
5350067.00,CT,Toronto,0.66344,1694,868,814,125,1155,68.1,810,2600.6,1695,495,450,450,420,320,815,1485,1490,1485,1155,815,25,10,15,35,40,35,35,25,49856,1695,130,140,8.3
5350068.00,CT,Toronto,0.43058,2367,1296,1203,260,1635,69.2,1200,5655.9,2335,665,550,555,695,545,1205,2100,2100,2100,1560,1205,20,30,50,55,65,45,45,40,33024,2335,415,370,15.8
