,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2348: Without employment income,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2400: Median total income of one-person households in 2015 ($),v_CA16_2401: Median after-tax income of one-person households in 2015 ($),v_CA16_2403: Median total income of two-or-more-person households in 2015 ($),v_CA16_2404: Median after-tax income of two-or-more-person households in 2015 ($)
55,85,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,360,620,620,620,105,515,360,62752,52672,114176,96427
56,215,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,1180,2335,2335,2335,550,1785,1180,34048,29888,101120,86699
57,265,5350048.0,CT,Toronto,0.3349,3557,1660,1560,1560,2935,2935,2940,640,2300,1560,35264,31712,97536,85120
58,230,5350049.0,CT,Toronto,0.46479,3663,1506,1426,1425,2685,2690,2690,550,2140,1425,38656,34731,115541,97109
59,140,5350050.01,CT,Toronto,1.46504,8746,4553,4336,4340,7575,7575,7575,1740,5835,4335,58624,49778,118016,98560
60,10,5350050.03,CT,Toronto,1.92412,1109,606,590,590,990,985,985,200,790,590,70451,57856,122368,99840
61,105,5350050.04,CT,Toronto,0.77861,5008,2291,2212,2215,4070,4070,4070,1040,3030,2210,39040,34987,111616,93888
62,325,5350051.0,CT,Toronto,0.69119,5399,2570,2313,2310,4490,4490,4490,905,3585,2315,40009,35520,126848,106272
63,295,5350052.0,CT,Toronto,0.50129,4077,1933,1839,1835,3390,3395,3395,730,2665,1840,46592,40000,108587,92928
64,355,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,2710,5320,5325,5325,1295,4025,2715,34240,31712,81766,72320
