,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2348: Without employment income,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2400: Median total income of one-person households in 2015 ($),v_CA16_2401: Median after-tax income of one-person households in 2015 ($),v_CA16_2403: Median total income of two-or-more-person households in 2015 ($),v_CA16_2404: Median after-tax income of two-or-more-person households in 2015 ($)
377,0,5350301.01,CT,Toronto,0.90166,2915,1087,1071,1070,2390,2390,2390,715,1675,1070,45440,38997,97408,85614
378,10,5350301.03,CT,Toronto,0.2736,6949,2944,2789,2790,5765,5760,5760,1940,3820,2790,39450,35237,56512,52224
379,10,5350301.04,CT,Toronto,1.42622,5859,2615,2502,2500,5055,5055,5055,1590,3465,2505,39616,35712,63872,58091
380,20,5350302.01,CT,Toronto,1.2292100000000001,6253,2406,2358,2360,5515,5515,5515,2030,3485,2355,42112,37824,92646,82030
381,15,5350302.02,CT,Toronto,1.08389,6140,2092,2037,2035,5260,5260,5255,2010,3245,2035,30624,29248,72308,66720
382,0,5350302.03,CT,Toronto,0.69385,3425,1205,1124,1125,2985,2985,2990,1065,1920,1125,28400,27157,71488,67123
383,0,5350303.0,CT,Toronto,1.0632700000000002,5355,1893,1819,1820,4455,4455,4455,1555,2905,1820,25728,24832,58951,54656
384,0,5350304.01,CT,Toronto,0.24931,4541,1633,1610,1610,3665,3660,3660,1265,2395,1610,33536,30528,57685,54016
385,0,5350304.02,CT,Toronto,1.21224,4777,1885,1832,1835,3995,3995,3995,1290,2700,1835,57472,47936,111104,93989
386,0,5350304.03,CT,Toronto,0.9954700000000001,2898,994,968,965,2455,2450,2455,860,1595,970,45952,39936,94080,81920
387,10,5350304.04,CT,Toronto,0.23444,3724,1415,1404,1405,3065,3065,3065,1000,2065,1405,34432,31168,61120,55936
388,10,5350304.05,CT,Toronto,0.703,2847,1112,1096,1095,2540,2540,2540,1130,1410,1095,53888,46720,91762,79872
389,0,5350304.06,CT,Toronto,0.74893,5807,2258,2207,2205,5040,5045,5045,1780,3270,2210,38443,34773,77824,69632
390,10,5350305.01,CT,Toronto,2.44425,4451,1626,1564,1560,3930,3930,3930,1430,2495,1565,65195,54272,133399,114176
391,10,5350305.03,CT,Toronto,0.71145,4914,2338,2178,2180,4295,4295,4295,1535,2765,2175,50432,43947,77824,68352
392,10,5350305.04,CT,Toronto,1.00966,9133,5153,4822,4820,8050,8050,8055,2390,5665,4820,48154,42229,65520,59157
393,0,5350306.01,CT,Toronto,1.17222,4574,1586,1478,1480,3900,3900,3900,1595,2305,1475,35669,32704,85431,75947
394,10,5350306.02,CT,Toronto,1.1185200000000002,4793,1831,1714,1710,4125,4125,4125,1510,2615,1715,49152,42325,106667,92800
395,0,5350307.03,CT,Toronto,0.11010999999999999,5039,2359,2238,2240,4425,4430,4430,1995,2435,2235,46720,40224,50901,47776
396,10,5350307.04,CT,Toronto,0.15295,7035,3530,3360,3360,6335,6335,6330,2495,3840,3360,48384,42155,67015,60757
397,10,5350307.05,CT,Toronto,0.10463,3581,2038,1926,1925,3300,3300,3300,1105,2190,1925,47680,41941,52864,47893
398,0,5350307.06,CT,Toronto,0.10419,5424,2374,2266,2265,4600,4600,4600,1930,2670,2265,44288,39339,58496,54118
399,10,5350307.07,CT,Toronto,1.22458,6321,2651,2366,2365,5485,5485,5485,2175,3305,2365,44373,39104,77751,69760
400,40,5350308.02,CT,Toronto,1.42465,4310,1688,1588,1585,3680,3680,3680,1220,2460,1590,30699,28768,119616,101504
401,0,5350308.03,CT,Toronto,0.39669,1147,425,385,385,965,965,965,330,635,385,41600,36224,127744,106688
402,15,5350308.04,CT,Toronto,1.08521,11479,5941,5576,5580,10290,10290,10285,4060,6230,5575,31821,29440,67258,61044
403,10,5350309.0,CT,Toronto,0.74182,6383,2354,2308,2305,5290,5290,5290,1570,3715,2305,24896,23872,61257,56747
404,0,5350310.01,CT,Toronto,1.42763,3512,1271,1204,1205,2855,2850,2850,835,2015,1205,43776,40576,112811,96939
405,0,5350310.02,CT,Toronto,2.23548,5048,2028,1858,1860,4230,4230,4230,1240,2985,1860,29568,27776,79974,72320
406,25,5350311.02,CT,Toronto,0.89054,5823,2308,2141,2140,4955,4955,4955,1860,3095,2140,21600,21312,69888,63659
407,10,5350311.03,CT,Toronto,0.79713,2651,923,863,865,2270,2270,2270,870,1400,865,31040,28672,81856,73408
408,25,5350311.04,CT,Toronto,0.95755,6552,2436,2247,2245,5520,5520,5515,1925,3595,2250,26325,25216,66918,62080
409,35,5350311.05,CT,Toronto,0.34549,6823,2681,2593,2595,5720,5715,5715,1660,4060,2595,33024,29995,56333,52608
410,20,5350311.06,CT,Toronto,10.24442,5744,2703,2326,2325,5065,5060,5065,1420,3640,2325,37504,33408,59563,54938
411,10,5350312.02,CT,Toronto,0.524,3448,1185,1077,1075,2765,2765,2765,975,1785,1075,25152,23808,63360,59072
412,10,5350312.03,CT,Toronto,1.48726,6420,2219,2164,2165,5190,5190,5195,1950,3240,2160,26208,25024,65520,60178
413,15,5350312.04,CT,Toronto,0.72554,5763,1820,1718,1720,4290,4290,4290,1780,2505,1720,23872,23168,52544,49518
414,10,5350312.05,CT,Toronto,0.34586999999999996,3836,1348,1295,1295,2845,2845,2840,1190,1650,1295,19648,19488,45056,42880
415,10,5350312.06,CT,Toronto,0.45843999999999996,3444,1086,1058,1060,2795,2795,2795,1145,1650,1060,24704,23616,62592,59008
416,0,5350312.07,CT,Toronto,0.6247,3076,1312,1221,1220,2710,2710,2710,1335,1375,1225,18464,18459,71680,66901
417,10,5350313.0,CT,Toronto,2.89834,5554,1945,1808,1805,4580,4585,4580,1560,3020,1805,30912,28416,76727,69632
418,0,5350314.01,CT,Toronto,0.4281,5036,1741,1676,1675,3885,3885,3885,1370,2515,1675,27136,25536,54112,50987
419,10,5350314.02,CT,Toronto,1.12467,4955,1704,1568,1570,4120,4115,4120,1560,2555,1570,28864,26987,70229,64064
420,10,5350315.01,CT,Toronto,1.51758,3368,1223,1122,1120,2910,2910,2910,1145,1760,1120,32064,29408,86989,78421
421,0,5350315.02,CT,Toronto,0.42796000000000006,3543,1170,1076,1080,2870,2870,2875,1235,1635,1075,27712,26496,60331,56832
422,0,5350315.03,CT,Toronto,6.01015,5505,1895,1699,1700,4475,4480,4475,1785,2695,1700,27200,26016,69035,63360
423,25,5350316.01,CT,Toronto,1.7746,3910,1301,1224,1220,3210,3205,3210,1245,1965,1225,27840,26496,77824,70246
424,20,5350316.03,CT,Toronto,0.40066,5888,2039,1948,1950,4580,4580,4580,1825,2755,1950,28224,26048,52896,49877
425,10,5350316.04,CT,Toronto,0.46506000000000003,4275,1760,1679,1680,3325,3325,3325,1545,1785,1675,17820,17806,48115,46656
426,15,5350316.05,CT,Toronto,0.40614,3992,1373,1309,1310,3085,3085,3085,1275,1810,1310,22336,21344,52160,49766
427,15,5350316.06,CT,Toronto,0.40499,3672,1198,1164,1165,2765,2765,2765,1085,1680,1160,18784,18624,50624,48805
428,25,5350317.02,CT,Toronto,0.43231,7347,3408,3336,3335,6525,6525,6525,2560,3965,3335,19435,19232,55979,51858
429,10,5350317.03,CT,Toronto,1.19309,3688,1264,1245,1245,3230,3235,3230,960,2275,1245,42496,39296,93133,82336
430,15,5350317.04,CT,Toronto,0.72206,6627,2594,2534,2535,5600,5605,5605,1815,3790,2535,32096,30112,63168,57899
431,0,5350317.05,CT,Toronto,0.54133,2229,834,811,810,1995,1995,1995,635,1360,810,26048,24256,89259,80018
432,15,5350318.0,CT,Toronto,1.9063700000000001,8574,3568,3330,3330,7630,7630,7630,2835,4800,3330,30112,27883,65869,60403
433,10,5350319.0,CT,Toronto,1.20157,4191,1616,1527,1525,3685,3685,3685,1360,2330,1525,32704,30432,75264,67789
434,20,5350320.01,CT,Toronto,0.73678,5197,2103,2036,2040,4355,4360,4360,1565,2795,2035,20501,20224,58931,54912
435,10,5350320.02,CT,Toronto,0.8527600000000001,5869,2129,2067,2065,5150,5150,5150,1765,3390,2065,28704,27584,70656,63795
436,0,5350321.01,CT,Toronto,1.25768,3830,1340,1258,1260,3365,3365,3365,1225,2145,1260,32256,29440,98816,87296
437,10,5350321.02,CT,Toronto,1.2172,4030,1497,1429,1430,3555,3555,3555,1340,2215,1430,40576,36736,80896,72192
438,15,5350322.01,CT,Toronto,0.20805,4737,2371,2242,2240,4320,4320,4320,1650,2670,2245,38912,35584,56448,51814
439,10,5350322.02,CT,Toronto,1.40695,3500,1262,1185,1185,2710,2710,2710,1195,1515,1185,17786,17785,85760,76544
440,0,5350323.01,CT,Toronto,1.04061,4289,1746,1706,1705,3735,3735,3735,1460,2275,1705,45824,39765,83763,74325
441,10,5350323.02,CT,Toronto,1.8599900000000003,5367,1935,1849,1850,4400,4400,4400,1760,2640,1850,49280,42240,107648,93838
442,0,5350324.01,CT,Toronto,1.1954,3498,1214,1143,1140,3015,3015,3015,1155,1860,1145,31936,30528,83328,75981
443,0,5350324.02,CT,Toronto,1.89369,6123,2256,2133,2135,5340,5335,5335,2140,3195,2135,30464,28288,79898,71083
444,0,5350324.03,CT,Toronto,2.16991,3862,1762,1701,1700,3535,3540,3535,1780,1755,1700,28032,25984,88960,79397
445,10,5350324.05,CT,Toronto,0.65612,3388,1405,1382,1380,2980,2985,2980,1290,1695,1385,17757,17755,88384,78656
446,0,5350324.06,CT,Toronto,0.65762,3561,1219,1182,1185,2945,2945,2945,925,2020,1180,45184,39872,88934,78251
447,10,5350330.0,CT,Toronto,2.19348,4288,1757,1730,1730,3675,3675,3675,1250,2425,1730,47275,41216,112469,94976
448,0,5350331.01,CT,Toronto,1.52013,5629,2287,2261,2260,4685,4685,4685,1560,3130,2265,49792,43520,106016,90470
449,0,5350331.03,CT,Toronto,0.51039,6162,1931,1877,1880,4530,4525,4525,1795,2735,1880,25664,24128,48691,46848
450,0,5350331.04,CT,Toronto,1.06015,3212,1288,1261,1265,2655,2655,2655,840,1810,1260,48192,41568,88747,77107
451,0,5350332.0,CT,Toronto,1.52621,7350,2914,2785,2785,5895,5895,5895,2400,3500,2785,19072,18944,57323,54214
452,10,5350333.0,CT,Toronto,2.39935,4695,1710,1644,1640,3940,3935,3935,1220,2710,1645,44288,39083,103083,89003
453,10,5350334.0,CT,Toronto,2.38519,3500,1358,1274,1275,2880,2880,2880,830,2045,1270,42176,38560,121984,102208
454,15,5350335.0,CT,Toronto,2.2315099999999997,7740,3026,2984,2985,6435,6435,6435,2375,4065,2985,23456,23115,77147,68480
455,30,5350336.0,CT,Toronto,1.63381,6772,2553,2393,2395,5625,5630,5625,1685,3940,2395,34688,31040,92245,80512
456,0,5350337.01,CT,Toronto,0.20168,721,357,316,315,595,595,595,205,390,315,18880,18304,53632,48768
457,10,5350337.02,CT,Toronto,0.61933,2155,888,862,865,1570,1570,1570,525,1040,865,29440,27456,68096,60800
458,30,5350338.0,CT,Toronto,1.6501299999999999,5956,2729,2627,2625,4945,4950,4945,1455,3495,2625,24496,22933,107648,90368
459,70,5350339.0,CT,Toronto,1.8385099999999999,6687,3110,3000,3000,5610,5610,5610,1560,4050,3000,44544,39616,117476,98475
460,15,5350340.0,CT,Toronto,1.27488,6771,2557,2457,2460,5495,5500,5495,1830,3665,2455,32192,29824,67456,61419
461,10,5350341.02,CT,Toronto,0.77866,4379,1860,1777,1775,3560,3560,3560,1385,2175,1775,25920,24512,63744,58778
462,0,5350341.03,CT,Toronto,0.40538,3436,1465,1334,1335,2480,2480,2480,1205,1275,1335,11952,11952,35157,34918
463,25,5350341.04,CT,Toronto,0.67099,6030,2261,2171,2170,4710,4710,4710,1900,2810,2170,20160,19968,53461,50731
464,25,5350342.0,CT,Toronto,1.2329700000000001,7561,2414,2376,2380,6010,6010,6010,1800,4205,2375,35840,31915,78080,69705
465,0,5350343.0,CT,Toronto,1.09816,4218,1620,1517,1515,3515,3515,3515,1310,2200,1520,23264,22507,70315,63552
466,10,5350344.01,CT,Toronto,1.06274,5186,1990,1880,1880,4435,4435,4435,1655,2780,1880,25792,24448,72021,66091
467,0,5350344.02,CT,Toronto,0.22083000000000003,3365,1850,1829,1830,2890,2895,2890,1270,1625,1830,19200,19029,49632,47424
468,15,5350345.0,CT,Toronto,0.78754,3938,1328,1258,1260,3340,3340,3340,1135,2205,1260,30720,28160,81067,72875
469,20,5350346.01,CT,Toronto,1.5199799999999999,4634,1717,1609,1610,3660,3660,3655,1280,2380,1610,28640,26272,58240,54976
470,10,5350346.02,CT,Toronto,0.40049,5388,2066,2029,2025,4365,4365,4365,1410,2955,2030,33408,30160,62208,57088
471,10,5350347.0,CT,Toronto,1.50409,2833,931,924,925,2205,2205,2205,530,1670,920,59264,49664,95488,82688
472,40,5350348.0,CT,Toronto,2.31904,5601,2007,1972,1970,4515,4515,4515,1335,3180,1975,48128,41728,90931,80043
473,25,5350349.0,CT,Toronto,0.8761700000000001,5720,2335,2309,2305,4780,4780,4785,1550,3230,2310,30016,27504,63232,57643
474,20,5350350.0,CT,Toronto,3.3616599999999996,5419,2063,1986,1985,4510,4510,4510,1590,2925,1985,26816,25344,81579,72558
475,10,5350351.01,CT,Toronto,0.9748600000000001,5497,2130,2051,2050,4595,4595,4600,1705,2895,2050,26464,24864,67781,61586
476,10,5350351.02,CT,Toronto,0.56565,2756,1116,1088,1085,2340,2335,2335,830,1510,1090,35072,31296,63232,58197
477,15,5350352.0,CT,Toronto,1.1271200000000001,5309,1945,1892,1895,4355,4360,4355,1480,2875,1890,32336,29664,69419,63189
478,0,5350353.02,CT,Toronto,1.21341,5305,1697,1649,1650,4340,4340,4340,1540,2800,1650,35200,32341,74795,68206
479,0,5350353.03,CT,Toronto,0.40919,3107,1100,1075,1075,2605,2605,2605,860,1745,1075,31488,29355,72448,66475
480,10,5350353.04,CT,Toronto,0.62956,4509,1650,1590,1590,3595,3595,3595,1425,2170,1590,24555,23787,56800,53525
481,25,5350354.0,CT,Toronto,1.33283,5403,1826,1695,1695,4415,4415,4415,1405,3010,1695,39808,35200,83858,75552
482,0,5350355.02,CT,Toronto,1.105,5214,1980,1919,1920,4415,4420,4415,1610,2805,1920,34112,31083,67812,61586
483,0,5350355.04,CT,Toronto,0.5770000000000001,5270,1810,1776,1775,3990,3990,3990,1285,2705,1775,35136,32576,62251,57216
484,0,5350355.05,CT,Toronto,0.31432,3033,1056,993,995,2230,2230,2230,840,1385,995,27285,25408,54374,51354
485,0,5350355.06,CT,Toronto,0.1923,1643,603,559,560,1240,1245,1240,490,750,560,18624,18496,48672,46464
486,15,5350356.0,CT,Toronto,1.55598,4833,1633,1555,1555,3875,3875,3880,1310,2565,1555,38848,34944,87893,77881
487,0,5350357.01,CT,Toronto,1.05106,7123,2490,2404,2405,5500,5500,5500,2620,2880,2405,18816,18816,52160,50176
488,0,5350357.02,CT,Toronto,1.10589,4940,1774,1693,1690,3725,3720,3725,1645,2075,1690,17774,17774,45568,44544
489,10,5350358.01,CT,Toronto,1.1101299999999998,3397,1180,1129,1125,2865,2860,2865,995,1865,1130,37248,34176,87125,78272
490,0,5350358.02,CT,Toronto,0.6179100000000001,4732,2021,1955,1955,3930,3930,3930,1605,2325,1955,20442,20288,64341,59008
491,10,5350358.03,CT,Toronto,1.09741,5598,2304,2217,2215,4540,4540,4540,1855,2690,2220,15136,15072,67529,61920
492,0,5350359.0,CT,Toronto,2.23634,7558,2773,2687,2685,6025,6025,6025,2450,3575,2690,22869,21965,58533,55205
493,10,5350360.0,CT,Toronto,4.55616,6107,2040,1998,1995,5035,5035,5035,1530,3510,1995,49280,43072,91831,80789
494,0,5350361.01,CT,Toronto,2.95729,5804,1963,1928,1930,4960,4960,4960,1520,3445,1930,53824,45952,129997,108873
495,0,5350361.02,CT,Toronto,2.46272,7558,2476,2451,2450,6235,6235,6230,1690,4540,2450,54912,45995,119168,100655
496,0,5350362.01,CT,Toronto,2.5287900000000003,6300,2153,2083,2085,5250,5250,5250,1640,3610,2080,44160,38656,90208,79846
497,15,5350362.02,CT,Toronto,1.9434900000000002,5628,1731,1626,1630,4875,4870,4870,1560,3315,1625,39552,34944,115243,100608
498,10,5350362.03,CT,Toronto,3.3025800000000003,6866,2176,2074,2075,6060,6055,6060,1970,4085,2075,37056,33408,107546,93895
499,0,5350362.04,CT,Toronto,1.3530799999999998,5019,1796,1756,1755,4190,4190,4190,1345,2840,1760,41216,36301,88883,78541
500,0,5350363.02,CT,Toronto,1.19757,3253,1115,1106,1105,2800,2800,2800,880,1920,1105,43093,37717,90112,78950
501,0,5350363.04,CT,Toronto,1.12713,3668,1119,1106,1110,3100,3100,3100,965,2140,1105,32064,30272,86080,78251
502,0,5350363.05,CT,Toronto,0.50329,4538,1776,1694,1695,3565,3565,3565,1365,2200,1690,18187,17984,44267,42965
503,0,5350363.06,CT,Toronto,0.82891,7307,3439,3326,3325,6290,6290,6290,2080,4210,3325,42496,37632,61030,56206
504,0,5350363.07,CT,Toronto,2.2765400000000002,5338,1971,1925,1925,4240,4235,4240,1910,2325,1925,17579,17536,48228,46528
505,10,5350364.01,CT,Toronto,2.90673,5996,2034,1973,1975,4810,4810,4810,1710,3100,1975,29483,27712,77670,70496
506,0,5350364.02,CT,Toronto,0.74379,3053,1004,957,955,2460,2460,2460,790,1665,955,43648,38784,88747,78592
507,0,5350365.0,CT,Toronto,1.5674,6497,2028,1946,1945,5435,5435,5435,1930,3505,1945,29728,27808,79851,71643
508,10,5350366.0,CT,Toronto,1.44064,6136,2143,2069,2070,5105,5105,5105,1845,3260,2065,27328,25600,72512,65696
509,0,5350367.01,CT,Toronto,0.71324,4710,1398,1375,1375,3755,3755,3760,1315,2440,1375,32576,31296,60032,56448
510,20,5350367.02,CT,Toronto,1.0306799999999998,3548,1218,1186,1185,3025,3020,3025,1080,1945,1190,41408,37664,92864,82304
511,10,5350368.01,CT,Toronto,0.8884700000000001,6843,3786,3582,3580,6270,6270,6270,2335,3940,3580,36651,33323,55540,51537
512,0,5350368.02,CT,Toronto,1.57328,4315,1464,1399,1400,3285,3285,3285,1265,2020,1400,21568,21227,86357,76390
513,10,5350369.0,CT,Toronto,2.4665,8094,2520,2441,2440,6300,6300,6300,2405,3900,2440,39808,35200,70286,64550
514,10,5350370.01,CT,Toronto,1.76665,9977,3792,3725,3725,7945,7940,7945,2755,5185,3725,32896,29632,60757,56160
515,20,5350370.02,CT,Toronto,2.27382,5580,1849,1803,1800,4420,4415,4420,1430,2985,1805,34368,31334,72525,66202
516,10,5350370.03,CT,Toronto,0.8572299999999999,4137,1409,1357,1355,3410,3415,3410,1120,2290,1355,34624,31680,77440,69632
517,20,5350371.0,CT,Toronto,3.7152300000000005,7626,2691,2570,2570,6240,6240,6240,2105,4140,2570,34048,30784,83264,73664
518,0,5350372.0,CT,Toronto,1.33184,4346,1504,1440,1440,3730,3735,3730,1200,2535,1440,40448,36011,92365,81522
519,15,5350373.0,CT,Toronto,0.9606899999999999,4806,1869,1801,1800,4070,4070,4070,1375,2695,1800,33472,29856,72128,65152
520,15,5350374.01,CT,Toronto,1.18795,4848,1717,1656,1655,4155,4155,4155,1360,2795,1655,38528,35029,79616,71245
521,10,5350374.02,CT,Toronto,0.80225,3215,1084,1053,1055,2820,2820,2820,1040,1780,1050,30336,28800,81225,73024
522,0,5350374.03,CT,Toronto,0.80821,4184,1718,1655,1655,3670,3670,3670,1525,2140,1655,17787,17787,66304,60224
523,15,5350375.01,CT,Toronto,0.95309,6324,2817,2733,2735,5525,5525,5525,2595,2930,2735,18896,18848,55526,52210
524,0,5350375.02,CT,Toronto,0.61463,1959,702,694,695,1670,1675,1670,570,1100,690,42368,38016,119552,100506
525,0,5350375.03,CT,Toronto,0.81361,5318,1917,1866,1865,4380,4375,4380,1695,2685,1870,26752,25216,59802,55296
526,0,5350375.04,CT,Toronto,0.9242799999999999,5300,1667,1633,1630,4545,4540,4540,1580,2965,1635,37120,33195,78182,71392
527,10,5350375.05,CT,Toronto,1.13069,7208,2484,2449,2445,5815,5815,5815,2030,3780,2450,35776,32320,81967,73273
528,10,5350376.01,CT,Toronto,1.04665,5094,1697,1584,1580,4290,4290,4290,1690,2600,1585,25152,23872,65312,61632
529,15,5350376.02,CT,Toronto,0.8583,5176,1656,1614,1615,4295,4295,4295,1580,2710,1615,27264,25472,58880,55347
530,0,5350376.04,CT,Toronto,1.1940600000000001,5460,1866,1804,1805,4415,4415,4415,1835,2585,1805,27392,25088,75520,67328
531,10,5350376.05,CT,Toronto,1.30767,6860,2045,1998,2000,5955,5955,5955,2380,3575,1995,23360,22944,77428,71072
532,0,5350376.06,CT,Toronto,2.19192,484,229,219,220,315,315,315,270,45,220,23136,22976,39680,38656
533,15,5350376.08,CT,Toronto,0.87879,6157,2176,2123,2120,5380,5380,5375,2070,3305,2120,38816,35200,69851,64171
534,10,5350376.09,CT,Toronto,0.80105,4638,1644,1602,1600,4110,4110,4110,1695,2415,1605,25696,24896,67738,62827
535,10,5350376.11,CT,Toronto,0.47043999999999997,3416,1067,1014,1015,2810,2810,2810,1100,1715,1015,29312,26432,59904,56832
536,10,5350376.12,CT,Toronto,0.91215,5318,1922,1887,1890,4725,4725,4725,1875,2850,1885,39424,35072,77275,69841
537,0,5350376.13,CT,Toronto,0.51098,3902,1386,1362,1360,3435,3440,3435,1530,1910,1365,27232,25920,70272,65203
538,0,5350376.14,CT,Toronto,0.7362,3763,1091,1053,1055,3205,3205,3205,1150,2050,1050,29504,26176,84864,77005
539,0,5350376.15,CT,Toronto,0.92289,3696,1574,1518,1515,3385,3390,3390,1615,1775,1515,33664,31040,69120,62720
540,10,5350376.16,CT,Toronto,0.27148,4226,1672,1621,1625,3060,3065,3060,1305,1760,1625,29824,28160,56858,53376
541,25,5350377.01,CT,Toronto,2.06027,8996,3752,3574,3575,7845,7840,7845,2680,5165,3575,40277,36352,67226,61789
542,10,5350377.02,CT,Toronto,1.9059599999999999,4405,1493,1407,1405,3905,3905,3905,1545,2360,1405,36672,33408,76032,69213
543,10,5350377.03,CT,Toronto,0.65012,2815,892,868,870,2460,2455,2455,935,1525,865,42368,37312,86208,77952
544,20,5350377.04,CT,Toronto,0.8833200000000001,5939,1746,1682,1685,5090,5085,5085,1825,3270,1685,26400,25920,70955,65849
545,0,5350377.06,CT,Toronto,0.51169,3809,1001,980,980,3320,3320,3320,1240,2075,980,26304,24448,74459,69427
546,20,5350377.07,CT,Toronto,0.76461,4857,1321,1282,1280,3910,3910,3910,1435,2480,1285,27200,25152,77056,71450
547,0,5350378.02,CT,Toronto,1.05954,3257,979,929,925,2790,2790,2785,1070,1715,925,25408,24128,65792,62400
548,10,5350378.03,CT,Toronto,2.2069099999999997,7363,2503,2434,2430,6270,6275,6275,1960,4315,2435,42368,37120,76686,69234
549,10,5350378.04,CT,Toronto,1.27906,6148,1826,1753,1750,4860,4860,4865,1775,3090,1755,36779,32640,66330,61773
550,0,5350378.05,CT,Toronto,0.7275699999999999,3907,1235,1201,1200,3170,3170,3170,1025,2140,1200,28000,26272,77568,70827
551,10,5350378.06,CT,Toronto,1.7906,6063,1754,1671,1670,4910,4910,4910,1640,3265,1670,22592,21696,72128,66432
552,0,5350378.07,CT,Toronto,2.80032,7099,2311,2226,2230,5860,5865,5860,2060,3805,2225,35584,31424,69325,63936
553,10,5350378.08,CT,Toronto,0.88574,6263,1997,1953,1955,5425,5425,5425,1945,3480,1955,23904,22720,72704,67269
554,0,5350378.11,CT,Toronto,0.9633700000000001,5693,1748,1713,1710,4680,4680,4680,1520,3160,1715,36992,32896,70693,64533
555,10,5350378.12,CT,Toronto,0.78391,5181,1904,1828,1825,4195,4195,4195,1710,2485,1830,19616,19541,59648,55245
556,10,5350378.14,CT,Toronto,0.9291299999999999,3892,1184,1168,1165,3215,3215,3215,1210,2005,1170,35200,33088,67897,63200
557,10,5350378.16,CT,Toronto,0.63484,6103,2005,1923,1925,5110,5115,5115,1770,3345,1925,36096,33920,71424,64896
558,10,5350378.17,CT,Toronto,0.47397,3336,961,903,905,2670,2670,2670,855,1810,900,47936,40576,76224,70784
559,0,5350378.18,CT,Toronto,0.09093,2765,1114,1100,1100,2345,2345,2345,1005,1335,1100,25024,24192,47565,45397
560,10,5350378.19,CT,Toronto,4.5159199999999995,5162,1438,1411,1410,4395,4400,4395,1460,2940,1415,32896,30400,79770,73856
561,0,5350378.2,CT,Toronto,0.10951,2093,775,769,765,1800,1795,1795,825,975,770,21760,21760,49216,48000
562,0,5350378.21,CT,Toronto,0.70181,3948,1056,1043,1045,3305,3305,3305,1170,2135,1040,29632,26944,80494,73984
563,10,5350378.22,CT,Toronto,0.53214,3454,891,877,875,2990,2985,2985,1135,1855,880,24640,24512,80725,74496
564,10,5350378.23,CT,Toronto,1.53025,4095,1334,1302,1305,3650,3650,3650,1500,2150,1300,28192,27200,79718,74197
565,10,5350378.24,CT,Toronto,2.52877,6109,2218,2147,2150,5165,5160,5165,2255,2915,2145,22016,21728,62443,58752
566,10,5350378.25,CT,Toronto,4.76673,7931,1885,1858,1860,6285,6280,6280,1830,4450,1860,44032,38400,96110,86357
567,10,5350378.26,CT,Toronto,1.66052,4761,1165,1144,1145,3915,3915,3915,1115,2795,1145,68608,54656,103834,91429
568,0,5350378.27,CT,Toronto,20.2249,5806,1556,1530,1530,4620,4625,4620,1255,3365,1530,47104,40960,91392,81536
569,0,5350378.28,CT,Toronto,2.25257,7175,2041,1925,1925,6020,6020,6020,1975,4045,1925,33920,30912,92757,84787
570,0,5350802.01,CT,Toronto,2.2159999999999997,3829,1290,1267,1265,3205,3210,3210,835,2375,1270,54912,46400,116907,99840
571,0,5350802.02,CT,Toronto,2.4403099999999998,5675,1844,1826,1825,4640,4635,4640,1185,3455,1825,64576,51584,134724,111424
