,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_394: 85 years and over,v_CA16_396: 85 years and over,v_CA16_407: Land area in square kilometres,v_CA16_406: Population density per square kilometre,"v_CA16_401: Population, 2016",v_CA16_418: Private households by household size,v_CA16_424: Number of persons in private households,v_CA16_425: Average household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_483: Average size of census families,v_CA16_485: Total couple families
303,0,5350249.01,CT,Toronto,0.82975,4650,1428,1341,1.4,1.3,0.83,5603.8,4650,1340,4650,3.5,1355,3,1115
304,0,5350249.03,CT,Toronto,2.96801,5696,1704,1592,1,0.9,2.96,1922.3,5696,1590,5695,3.6,1570,3.2,1165
305,15,5350249.04,CT,Toronto,0.6863199999999999,3344,999,952,1.8,1.5,0.69,4872.5,3344,955,3340,3.5,885,3.3,720
306,0,5350249.05,CT,Toronto,0.64364,5476,1584,1534,0.6,0.7,0.64,8507.1,5476,1535,5430,3.5,1465,3.3,1130
307,0,5350250.01,CT,Toronto,1.40913,5432,1618,1545,3.8,5.1,1.38,3940.2,5432,1545,5210,3.4,1420,3.2,1100
308,15,5350250.02,CT,Toronto,1.99197,4928,1854,1735,2.9,3.7,1.93,2559.7,4928,1735,4910,2.8,1385,3,1015
309,10,5350250.04,CT,Toronto,0.50556,6206,2057,1994,0.5,0.5,0.48,12840.9,6206,1995,6200,3.1,1630,3.2,1030
310,10,5350250.05,CT,Toronto,0.70576,7607,2288,2270,0.6,0.6,0.67,11273.0,7607,2270,7605,3.4,1965,3.4,1405
311,10,5350260.01,CT,Toronto,0.7288,6748,2431,2398,1.8,1.7,0.72,9423.3,6748,2395,6740,2.8,1750,3.2,1440
312,10,5350260.04,CT,Toronto,0.1881,4147,1498,1480,1.2,1.4,0.19,22046.8,4147,1480,4145,2.8,1035,3.3,815
313,10,5350260.05,CT,Toronto,0.2543,4020,1369,1332,0.5,0.5,0.25,15808.1,4020,1335,4020,3,1030,3.4,665
314,0,5350260.06,CT,Toronto,0.95204,3348,1132,1116,0.3,0.6,0.93,3603.9,3348,1115,3345,3,875,3.2,605
315,20,5350260.07,CT,Toronto,0.35736999999999997,3670,1534,1504,2.3,3,0.34,10693.5,3670,1505,3665,2.4,1030,2.9,835
316,0,5350261.0,CT,Toronto,1.92395,5501,2284,2194,5.6,7.5,1.91,2881.0,5501,2195,5180,2.4,1365,3,885
317,0,5350262.01,CT,Toronto,0.67091,5736,2752,2728,2.2,2.6,0.67,8549.7,5736,2725,5730,2.1,1570,2.7,1155
318,20,5350262.02,CT,Toronto,2.16555,6273,2526,2490,2.2,2.5,2.14,2931.9,6273,2490,6270,2.5,1700,3,1290
319,15,5350263.02,CT,Toronto,2.00598,3471,1680,1629,6.3,7.7,2.01,1730.1,3471,1630,3330,2,925,2.7,760
320,15,5350263.03,CT,Toronto,1.56059,4906,2106,2060,7.5,9.6,1.56,3143.3,4906,2060,4575,2.2,1270,2.8,990
321,0,5350263.04,CT,Toronto,0.69962,6531,3616,3536,7,8.9,0.67,9694.2,6531,3535,6395,1.8,1770,2.5,1435
322,0,5350264.0,CT,Toronto,3.4653400000000003,1301,482,435,4.6,5,3.47,375.4,1301,435,1300,3,375,3.1,320
323,25,5350265.0,CT,Toronto,2.6864,4756,1855,1742,2.1,2.4,2.68,1773.2,4756,1740,4680,2.7,1340,3.1,1205
324,10,5350266.0,CT,Toronto,2.7633799999999997,3209,1141,1064,2.6,2.4,2.76,1163.8,3209,1065,3205,3,930,3.2,825
325,10,5350267.0,CT,Toronto,2.71113,6368,2133,2062,2.4,2.5,2.71,2350.9,6368,2065,6365,3.1,1835,3.2,1650
326,25,5350268.0,CT,Toronto,3.0571,6419,2938,2837,6.9,8.5,3.03,2120.7,6419,2835,6335,2.2,1800,2.8,1515
327,0,5350269.01,CT,Toronto,0.75312,5056,2354,2081,1.3,1.5,0.74,6811.3,5056,2085,5055,2.4,1345,2.9,890
328,10,5350269.02,CT,Toronto,1.76908,2569,951,923,2.9,3,1.74,1477.8,2569,925,2565,2.8,775,3,665
329,0,5350270.01,CT,Toronto,1.1240700000000001,4980,2117,1953,2,2.5,1.12,4431.0,4980,1950,4975,2.5,1355,3,995
330,0,5350270.02,CT,Toronto,0.75775,4264,1636,1611,2.2,2.3,0.76,5639.5,4264,1610,4255,2.6,1200,3,875
331,15,5350271.01,CT,Toronto,0.8935,2429,899,893,3.5,3.5,0.89,2718.5,2429,895,2425,2.7,720,3,590
332,10,5350271.02,CT,Toronto,0.7092,4815,1765,1749,2.5,2.8,0.71,6791.3,4815,1750,4805,2.8,1345,3.1,1010
333,0,5350272.01,CT,Toronto,0.4552,5987,2408,2342,1.3,1.4,0.46,13152.5,5987,2340,5985,2.6,1600,3,1065
334,10,5350272.02,CT,Toronto,0.99884,4705,1791,1763,3.4,4.2,1.0,4711.1,4705,1765,4655,2.6,1315,3,1030
335,10,5350273.01,CT,Toronto,3.2065799999999998,4014,1311,1231,2,2,3.19,1258.9,4014,1230,3905,3.2,1130,3.2,975
336,10,5350273.02,CT,Toronto,1.28882,4160,1530,1477,2.6,3.2,1.29,3228.1,4160,1475,4135,2.8,1240,3,1020
337,0,5350274.01,CT,Toronto,1.52481,4900,1788,1756,2.3,2.6,1.52,3213.3,4900,1755,4900,2.8,1385,3.1,1115
338,0,5350274.02,CT,Toronto,1.3313700000000002,4738,2056,1964,2.2,2.2,1.33,3558.7,4738,1965,4735,2.4,1375,2.9,1145
339,30,5350275.0,CT,Toronto,1.9755900000000002,5836,2451,2347,4.2,5,1.98,2953.6,5836,2345,5785,2.5,1610,3,1420
340,10,5350276.01,CT,Toronto,1.22609,6446,2764,2642,4,5.3,1.23,5257.3,6446,2645,6380,2.4,1615,3.2,1355
341,30,5350276.02,CT,Toronto,1.28263,6870,2514,2398,1.5,1.9,1.28,5354.6,6870,2400,6865,2.9,1885,3.2,1645
342,20,5350277.0,CT,Toronto,1.02778,4084,1323,1220,1.5,1.7,1.03,3973.1,4084,1220,4085,3.3,975,3.8,870
343,20,5350278.0,CT,Toronto,1.3337,7734,2944,2679,3.4,4.1,1.33,5798.0,7734,2680,7720,2.9,1845,3.5,1550
344,20,5350279.01,CT,Toronto,1.21444,4028,1665,1523,4.1,4.7,1.21,3317.1,4028,1525,4015,2.6,1160,2.9,930
345,0,5350279.02,CT,Toronto,1.57835,6503,2195,2117,7.5,10.1,1.58,4120.5,6503,2115,5810,2.7,1630,3,1225
346,15,5350280.0,CT,Toronto,2.1417200000000003,7333,2993,2920,2.4,2.4,2.14,3424.1,7333,2920,7285,2.5,2030,2.9,1420
347,10,5350281.01,CT,Toronto,0.96206,6484,2324,2256,1,1.1,0.96,6740.8,6484,2255,6485,2.9,1820,3,1175
348,0,5350281.02,CT,Toronto,0.41638000000000003,3940,1350,1306,1.1,1.2,0.42,9462.1,3940,1310,3935,3,1055,3.2,585
349,0,5350282.0,CT,Toronto,2.22534,4480,1663,1607,2.2,2.8,2.22,2021.4,4480,1605,4475,2.8,1270,3,1040
350,0,5350283.01,CT,Toronto,0.9285,5399,1965,1938,3.7,4.4,0.93,5814.8,5399,1935,5220,2.7,1465,3,855
351,0,5350283.02,CT,Toronto,1.1671200000000002,4542,1761,1712,3.6,3.1,1.17,3892.0,4542,1715,4530,2.7,1275,3,735
352,10,5350284.0,CT,Toronto,1.41266,6840,2427,2349,3.7,4.1,1.41,4841.8,6840,2350,6595,2.8,1880,3,1450
353,0,5350285.0,CT,Toronto,1.1118,3271,1269,1207,3.8,4.4,1.11,2942.6,3271,1205,3260,2.7,920,2.9,710
354,10,5350286.0,CT,Toronto,3.24625,4273,1987,1704,2.8,3.3,3.25,1316.1,4273,1705,4205,2.5,1150,2.9,780
355,40,5350287.02,CT,Toronto,1.0580399999999999,6732,2401,2246,6.7,8.5,1.06,6364.8,6732,2250,6270,2.8,1595,3.2,1125
356,10,5350287.03,CT,Toronto,0.48415,3432,1444,1305,0.9,0.8,0.48,7088.0,3432,1305,3425,2.6,810,3.4,365
357,15,5350287.04,CT,Toronto,0.5939399999999999,4474,2069,2017,4.7,5.9,0.59,7530.7,4474,2015,4465,2.2,1005,3.2,775
358,65,5350288.0,CT,Toronto,2.6307099999999997,9970,4165,4002,1.9,2.2,2.63,3790.9,9970,4000,9930,2.5,2615,3,2060
359,0,5350289.0,CT,Toronto,1.3028,4713,1779,1725,3,3.7,1.3,3618.7,4713,1725,4690,2.7,1330,2.9,1030
360,0,5350290.01,CT,Toronto,0.94404,3620,1515,1475,1.7,1.9,0.94,3834.3,3620,1475,3620,2.5,995,2.8,655
361,0,5350290.02,CT,Toronto,0.34585,1534,782,717,1,1.9,0.35,4434.8,1534,715,1535,2.1,405,2.8,300
