,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2409: $15,000 to $19,999","v_CA16_2410: $20,000 to $24,999","v_CA16_2411: $25,000 to $29,999","v_CA16_2412: $30,000 to $34,999","v_CA16_2413: $35,000 to $39,999","v_CA16_2414: $40,000 to $44,999","v_CA16_2415: $45,000 to $49,999"
27,85,5350022.0,CT,Toronto,0.55462,3883,1577,1504,25,25,25,35,30,35,25,30,30,50
28,55,5350023.0,CT,Toronto,0.68635,3208,1355,1286,30,20,20,20,20,25,20,35,40,25
29,215,5350024.0,CT,Toronto,0.70927,6887,3136,2963,55,45,75,95,100,85,90,90,85,90
30,105,5350025.0,CT,Toronto,0.5284300000000001,3456,1659,1610,20,45,95,75,80,60,75,45,60,60
31,250,5350026.0,CT,Toronto,0.7771899999999999,6486,2894,2695,80,70,135,130,100,95,105,80,85,85
32,165,5350027.0,CT,Toronto,0.48531,4390,1818,1724,40,30,60,80,90,60,75,80,55,70
33,50,5350028.01,CT,Toronto,0.20715999999999998,1387,728,684,15,5,15,15,20,5,25,20,20,15
34,240,5350028.02,CT,Toronto,0.46335,6198,3007,2836,60,65,90,135,80,90,85,95,85,75
35,325,5350029.0,CT,Toronto,0.6866899999999999,6987,3099,2962,55,65,135,220,130,125,115,100,105,75
36,190,5350030.0,CT,Toronto,0.38708000000000004,4529,2319,2195,105,95,85,120,100,105,105,95,75,85
37,110,5350031.0,CT,Toronto,0.26375,6274,2864,2765,75,205,275,270,205,190,160,170,160,125
38,225,5350032.0,CT,Toronto,0.4197,5363,2976,2641,145,305,340,340,165,170,125,115,85,80
39,115,5350033.0,CT,Toronto,0.31956999999999997,5042,3010,2733,130,310,510,335,170,155,110,95,115,80
40,70,5350034.01,CT,Toronto,0.12455,4554,2884,2268,220,105,90,90,80,100,95,70,85,75
41,95,5350034.02,CT,Toronto,0.39824,5147,3409,3055,165,125,205,215,150,120,140,130,115,100
42,120,5350035.0,CT,Toronto,0.66273,9876,6772,5707,900,295,340,280,205,215,175,205,165,140
43,210,5350036.0,CT,Toronto,0.38343,5487,3641,3272,235,135,185,315,140,150,125,125,125,105
44,290,5350037.0,CT,Toronto,0.45102,4494,2463,2116,170,140,145,155,120,125,95,105,75,85
45,275,5350038.0,CT,Toronto,0.36616,3772,1820,1638,60,65,120,205,100,105,65,70,70,65
46,165,5350039.0,CT,Toronto,0.31773,4192,1821,1709,50,60,100,270,110,100,85,90,70,70
47,305,5350040.0,CT,Toronto,0.36873,4568,1961,1788,55,25,60,85,85,80,75,75,75,60
48,310,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,35,15,35,40,80,50,65,50,50,55
49,450,5350042.0,CT,Toronto,0.48994,4570,2150,1965,45,40,60,60,75,70,95,95,80,85
50,315,5350043.0,CT,Toronto,0.55392,3965,1863,1704,45,25,60,60,75,45,65,75,55,55
51,740,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,130,100,160,175,150,165,170,170,200,185
52,290,5350045.0,CT,Toronto,0.29514,3453,1567,1468,45,20,40,50,60,85,75,70,75,70
53,230,5350046.0,CT,Toronto,0.42036,3281,1404,1330,25,30,50,80,75,55,65,75,50,50
54,215,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,60,75,170,330,155,115,105,90,70,95
55,85,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,10,5,10,5,5,15,10,10,15,5
56,215,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,30,30,55,40,35,35,40,45,35,35
57,265,5350048.0,CT,Toronto,0.3349,3557,1660,1560,55,30,60,60,75,60,70,60,65,55
58,230,5350049.0,CT,Toronto,0.46479,3663,1506,1426,35,25,50,55,60,45,45,45,50,50
59,140,5350050.01,CT,Toronto,1.46504,8746,4553,4336,100,50,70,90,140,110,140,115,145,140
60,10,5350050.03,CT,Toronto,1.92412,1109,606,590,5,5,20,15,15,15,10,15,15,15
61,105,5350050.04,CT,Toronto,0.77861,5008,2291,2212,55,45,35,90,115,105,85,95,95,75
62,325,5350051.0,CT,Toronto,0.69119,5399,2570,2313,65,30,55,80,100,75,60,75,90,75
63,295,5350052.0,CT,Toronto,0.50129,4077,1933,1839,35,35,60,70,80,50,60,50,55,70
64,355,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,50,50,95,150,115,105,140,140,125,110
65,420,5350054.0,CT,Toronto,0.70239,5803,2975,2724,75,45,95,160,145,135,165,150,140,135
