,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5: 0 to 14 years,v_CA16_4: 0 to 14 years,v_CA16_6: 0 to 14 years,v_CA16_62: 15 to 64 years,v_CA16_61: 15 to 64 years,v_CA16_63: 15 to 64 years,v_CA16_245: 65 years and over,v_CA16_244: 65 years and over,v_CA16_246: 65 years and over,v_CA16_380: Average age,v_CA16_379: Average age,v_CA16_381: Average age,v_CA16_386: 0 to 14 years,v_CA16_385: 0 to 14 years,v_CA16_387: 0 to 14 years,v_CA16_389: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_390: 15 to 64 years,v_CA16_392: 65 years and over,v_CA16_391: 65 years and over,v_CA16_393: 65 years and over,v_CA16_395: 85 years and over
247,40,5350211.0,CT,Toronto,3.27116,6350,2512,2447,415,850,435,2210,4360,2145,495,1135,640,42.3,43.2,44,13.3,13.4,13.5,70.8,68.7,66.5,15.9,17.9,19.8,1.8
248,25,5350212.0,CT,Toronto,1.7065400000000002,5704,2220,2169,445,910,470,1950,3915,1965,375,880,505,40.9,41.7,42.5,16.1,16,16,70.5,68.6,66.8,13.6,15.4,17.3,1.8
249,15,5350213.01,CT,Toronto,0.94226,2666,1021,990,190,395,205,915,1740,830,235,530,295,42.8,43.9,45.1,14.2,14.8,15.5,67.9,65.2,62.3,17.5,19.9,22.3,3
250,0,5350213.02,CT,Toronto,7.044739999999999,6045,3246,3134,255,530,275,2300,4665,2365,360,855,495,40.2,41.1,42,8.8,8.8,8.8,79,77,75.3,12.4,14.1,15.8,1.4
251,15,5350214.0,CT,Toronto,2.8237799999999997,5069,2466,2389,315,620,300,1845,3715,1865,305,745,435,40.1,41.4,42.6,12.8,12.1,11.5,74.8,73.2,71.6,12.4,14.6,16.7,1.6
252,55,5350215.0,CT,Toronto,2.60049,6748,2991,2789,515,1010,495,2265,4615,2355,475,1120,650,40.9,42.3,43.7,15.8,15,14.1,69.5,68.4,67.3,14.6,16.6,18.6,2.2
253,50,5350216.0,CT,Toronto,1.9993,5532,2238,2163,495,915,425,1730,3540,1810,490,1070,580,42.1,43.6,45,18.2,16.5,15.1,63.7,64,64.2,18,19.3,20.6,2.8
254,50,5350217.0,CT,Toronto,1.33055,5692,2917,2756,460,850,390,2085,4185,2105,310,655,345,39.3,39.8,40.3,16.1,14.9,13.7,73,73.5,74.1,10.9,11.5,12.1,0.9
255,30,5350218.0,CT,Toronto,0.6829999999999999,2652,1060,1025,290,520,235,810,1655,845,215,475,260,39.9,42.1,44.2,21.7,19.6,17.6,61.6,62.3,63.3,16.3,17.9,19.5,1.9
256,50,5350219.0,CT,Toronto,1.36063,4427,1690,1644,385,770,385,1390,2810,1420,350,845,495,41.8,43.2,44.5,18.1,17.3,16.7,65.6,63.5,61.7,16.7,19.1,21.3,3.3
257,20,5350220.0,CT,Toronto,1.32212,4177,1597,1584,315,590,270,1355,2725,1375,365,860,495,42.8,44.6,46.4,15.5,14,12.8,66.6,65.3,64.1,17.9,20.6,23.1,3.2
258,20,5350221.01,CT,Toronto,1.64542,6377,2751,2725,390,755,365,1745,3775,2030,750,1840,1085,47,49,50.6,13.5,11.8,10.5,60.5,59.2,58.2,26.2,28.9,31.2,4.3
259,50,5350221.02,CT,Toronto,0.80501,5202,2167,2064,410,755,340,1845,3750,1900,270,700,430,37.7,39.7,41.6,16.2,14.5,12.9,73.1,72,71,10.7,13.4,16.1,2
260,0,5350222.01,CT,Toronto,1.28483,6699,2626,2557,565,1040,475,2210,4575,2365,470,1080,615,39.2,40.7,42,17.6,15.6,13.7,68.2,68.3,68.5,14.4,16.1,17.8,1.7
261,15,5350222.02,CT,Toronto,1.2002,5141,1830,1782,525,1015,490,1540,3230,1690,395,895,500,39.3,40.7,41.9,21.3,19.7,18.3,62.5,62.8,63.2,16,17.3,18.5,3.7
262,10,5350223.01,CT,Toronto,0.8724200000000001,1522,536,530,130,245,115,480,965,485,140,315,175,43,44,44.9,16.7,16.1,14.8,64,63.5,62.6,18.7,20.7,22.6,3.3
263,0,5350223.02,CT,Toronto,0.8724700000000001,2136,793,771,160,310,150,705,1440,735,185,380,200,42.3,43.3,44.2,15.7,14.5,13.8,67.1,67.3,67.7,17.6,18,18.4,2.4
264,0,5350224.0,CT,Toronto,1.04417,1696,578,573,150,295,145,560,1160,595,115,240,125,41.1,41.7,42.2,18.1,17.1,16.2,68.1,68.4,68.8,13.9,14.5,14.5,1.8
265,10,5350225.01,CT,Toronto,0.93466,4981,2387,2316,260,520,260,1515,3190,1675,505,1270,765,44.8,46.8,48.5,11.4,10.4,9.6,66.2,64,62,22.1,25.5,28.3,3.5
266,25,5350225.02,CT,Toronto,0.3048,9706,5006,4859,565,1145,580,3450,7225,3775,430,1335,905,37.2,39.6,41.6,12.7,11.8,11,77.5,74.4,71.8,9.7,13.8,17.2,1.7
267,0,5350226.0,CT,Toronto,0.9533299999999999,3167,1262,1212,285,560,275,945,1980,1035,275,625,350,42.1,43.3,44.3,18.9,17.7,16.6,62.5,62.6,62.3,18.6,19.7,21.1,3
268,0,5350227.0,CT,Toronto,0.49183999999999994,1750,637,626,145,310,165,545,1145,595,140,300,155,41.2,41.3,41.4,17.4,17.7,17.9,65.9,65.1,64.7,16.8,17.1,16.8,1.2
269,30,5350228.0,CT,Toronto,0.883,3131,1418,1362,225,455,230,855,1845,990,340,830,485,44.6,46.1,47.4,15.8,14.5,13.5,60.4,58.9,58.1,24.2,26.5,28.4,2.5
270,0,5350229.0,CT,Toronto,0.32031,1223,393,384,135,250,125,345,725,380,95,245,150,41.2,43.2,45,23.5,20.8,19.4,60,59.2,58.9,16.5,19.6,23.3,5.2
271,10,5350230.01,CT,Toronto,1.50655,2537,1109,1082,150,285,135,750,1600,850,280,650,375,46.2,48.1,49.8,12.3,11.2,9.9,64.3,63.1,62.3,23.4,25.8,27.8,5.1
272,10,5350230.02,CT,Toronto,0.9858399999999999,6537,2775,2606,440,880,440,2000,4205,2205,545,1450,910,42.5,45,47.2,14.8,13.5,12.4,67.1,64.3,61.9,18.1,22.2,25.6,3.5
273,20,5350231.0,CT,Toronto,3.02848,6461,2722,2566,485,950,465,2100,4320,2225,575,1190,615,42.3,43,43.6,15.4,14.8,14,66.5,66.8,67.2,18.1,18.3,18.6,2.1
274,0,5350232.0,CT,Toronto,2.04605,3825,1348,1306,310,585,275,1205,2485,1280,355,755,400,42.7,43.7,44.6,16.4,15.4,14.3,64.3,64.8,65.3,19,19.7,20.4,1.9
275,0,5350233.0,CT,Toronto,2.0806,5530,2032,1982,475,895,415,1785,3610,1830,470,1025,555,41.5,42.7,44,17.6,16.1,14.8,65.3,65.3,65.3,17.2,18.5,19.9,2.9
276,0,5350234.0,CT,Toronto,2.11718,4524,1645,1600,390,770,380,1395,2930,1535,370,820,445,40.7,41.8,42.8,18.2,17.1,15.9,64.7,64.9,65,17.1,18,18.9,2.8
277,10,5350235.01,CT,Toronto,1.40707,2841,1009,997,195,395,205,970,1895,925,240,545,305,42.7,43.6,44.5,13.9,14.1,14.3,69,66.7,64.5,17.1,19.2,21.3,2.5
278,15,5350235.02,CT,Toronto,1.07805,5277,2039,2010,370,695,325,1695,3475,1780,480,1110,630,42.6,44.4,46,14.6,13.2,11.9,66.7,65.9,64.9,18.7,20.9,23,2
279,15,5350236.01,CT,Toronto,0.98685,6646,2560,2519,485,940,455,2075,4345,2270,540,1360,820,41.6,43.9,45.9,15.6,14.1,13,66.9,65.3,64,17.3,20.5,23.1,2.7
280,10,5350236.02,CT,Toronto,4.07421,5946,2284,2256,375,765,395,1880,3880,2005,555,1300,745,43.3,45,46.5,13.4,12.9,12.4,66.8,65.3,63.7,19.6,21.9,23.9,2.3
281,0,5350237.01,CT,Toronto,1.1853200000000002,6816,2468,2410,760,1445,690,2020,4280,2265,485,1090,610,36.8,38.2,39.5,23.3,21.2,19.3,62,62.9,63.6,14.9,16,17,1.2
282,0,5350237.02,CT,Toronto,0.9550299999999999,2986,1077,1061,260,515,255,975,1870,900,265,600,340,41.4,42.6,43.8,17.4,17.3,17.1,65.2,62.6,60.1,17.4,20.1,22.8,3.3
283,10,5350237.03,CT,Toronto,1.0689799999999998,5638,2626,2544,355,700,345,1655,3375,1725,595,1560,965,44.8,47.4,49.6,13.6,12.3,11.4,63.5,59.8,56.8,22.8,27.7,31.8,4.8
284,0,5350238.01,CT,Toronto,1.03807,3350,1259,1231,255,445,190,1065,2150,1085,340,750,415,43.1,45.2,47.2,15.4,13.1,11,64.2,64.2,64.4,20.5,22.5,24.6,3.3
285,10,5350238.02,CT,Toronto,0.98177,5244,2070,1953,510,950,445,1630,3400,1770,405,890,490,39.7,40.7,41.6,19.9,18.1,16.5,64.2,64.8,65.6,15.7,17,18.1,2.2
286,25,5350239.0,CT,Toronto,2.55782,6481,2511,2383,620,1235,615,1985,4305,2320,405,940,535,37.6,38.7,39.7,20.6,19.1,17.7,65.9,66.4,66.9,13.6,14.5,15.3,1.5
287,10,5350240.01,CT,Toronto,1.2726899999999999,3366,1291,1263,235,465,230,980,2005,1025,395,895,495,45.3,46.7,47.9,14.6,13.7,12.9,60.7,59.7,58.6,24.8,26.6,28.3,4
288,0,5350240.02,CT,Toronto,1.04495,6043,2621,2558,320,670,345,1620,3455,1830,690,1925,1235,47.4,50.6,53.1,12.1,11,10.2,61.7,57.2,53.6,26.2,31.8,36.2,5.9
289,10,5350241.0,CT,Toronto,1.0982,3231,1030,1003,225,415,185,940,1885,945,335,935,600,44.6,48.8,52.4,15.1,12.8,11,62.9,58.2,54.5,22.1,28.9,34.6,6.4
290,0,5350242.0,CT,Toronto,0.67084,1674,610,575,190,370,175,480,1110,630,90,190,105,34.5,35.8,36.9,24.8,22.2,19.2,63.4,66.5,69.2,11.8,11.4,11.5,0.7
291,10,5350243.01,CT,Toronto,0.31518,6658,2236,2142,795,1535,745,2005,4070,2060,460,1055,595,35.9,37.1,38.3,24.4,23.1,21.8,61.7,61.1,60.6,14.1,15.9,17.5,2.3
292,0,5350243.02,CT,Toronto,1.2154,3617,1342,1304,270,510,240,1185,2405,1220,310,695,390,40.6,42.3,43.9,15.3,14.1,13,67.4,66.4,65.7,17.3,19.3,21.1,2.8
293,10,5350244.01,CT,Toronto,1.45046,5677,2009,1945,520,965,450,1905,3880,1975,370,835,465,38.4,39.8,41.2,18.5,17,15.6,68.1,68.2,68.5,13.3,14.7,16.1,1.1
294,10,5350244.02,CT,Toronto,1.46584,3779,1335,1274,385,840,460,1145,2495,1350,200,445,240,35.7,36.2,36.7,22.3,22.2,22.2,66.2,66,65.9,11.6,11.6,12,1.4
295,25,5350245.0,CT,Toronto,1.42111,6934,2672,2567,580,1140,555,2360,4820,2460,435,980,535,38.7,39.7,40.7,17.2,16.4,15.6,69.9,69.5,69.3,12.9,14.1,15.2,1.5
296,0,5350246.0,CT,Toronto,1.0727,3595,1317,1279,255,500,240,1175,2345,1170,320,755,435,42.9,44.6,46.1,14.8,13.9,13,66.7,65.2,63.6,18.5,21,23.6,3.1
297,10,5350247.01,CT,Toronto,17.35024,8727,2931,2748,720,1365,640,3100,6310,3210,515,1055,540,36.9,37.7,38.5,16.6,15.6,14.6,71.5,72.4,73.1,11.9,12.1,12.2,0.9
298,20,5350247.02,CT,Toronto,3.22582,7167,2537,2385,560,1110,550,2470,4810,2340,585,1245,660,40.1,41,41.9,15.5,15.5,15.5,68.2,67.1,65.9,16.2,17.4,18.6,2.3
299,0,5350248.02,CT,Toronto,1.23696,5671,1864,1784,690,1330,640,1690,3765,2075,255,575,320,33,34.2,35.2,26.2,23.5,21.2,64.1,66.4,68.3,9.7,10.1,10.5,0.9
300,0,5350248.03,CT,Toronto,3.7960800000000003,2619,789,754,205,390,190,950,1875,925,170,355,180,38.1,38.8,39.6,15.7,15.1,14.8,71.5,71.6,72,12.7,13.4,13.6,0.7
301,30,5350248.04,CT,Toronto,1.51177,4771,1671,1496,360,675,315,1635,3315,1680,355,785,430,37.7,39.5,41.2,15.1,14.1,13,69.7,69.5,69.3,14.9,16.4,17.7,1.9
302,0,5350248.05,CT,Toronto,1.15519,4332,1413,1310,275,545,270,1530,2945,1410,365,845,475,40.5,41.9,43.3,12.6,12.6,12.5,70.4,67.9,65.4,17,19.4,22,2.1
303,0,5350249.01,CT,Toronto,0.82975,4650,1428,1341,345,655,310,1505,3070,1565,455,925,465,41.4,42.2,43,15,14.1,13.2,65.3,66.1,66.7,19.7,19.9,19.8,1.3
304,0,5350249.03,CT,Toronto,2.96801,5696,1704,1592,535,970,435,1945,4020,2080,330,705,375,37,38,39.1,19,17,15.3,69.2,70.6,72.1,11.9,12.4,13,1.1
305,15,5350249.04,CT,Toronto,0.6863199999999999,3344,999,952,320,630,315,1135,2235,1100,220,480,260,37.4,37.9,38.5,18.9,18.8,18.8,68,66.7,65.4,13.2,14.3,15.5,1.8
306,0,5350249.05,CT,Toronto,0.64364,5476,1584,1534,625,1205,580,1880,3810,1935,225,460,240,33.2,34.1,35,23.1,21.9,20.9,68.7,69.6,70.4,8.2,8.4,8.7,0.7
307,0,5350250.01,CT,Toronto,1.40913,5432,1618,1545,475,920,445,1770,3580,1810,420,930,515,39.2,40.3,41.3,17.9,17,16.1,66.5,65.9,65.5,15.8,17.2,18.6,2.4
308,15,5350250.02,CT,Toronto,1.99197,4928,1854,1735,415,805,390,1570,3175,1605,410,945,530,40.5,41.8,43.1,17.3,16.3,15.6,65.6,64.5,63.5,17.1,19.2,21.1,1.9
309,10,5350250.04,CT,Toronto,0.50556,6206,2057,1994,810,1615,810,2015,4175,2165,205,415,205,32.7,32.5,32.3,26.8,26.1,25.5,66.6,67.4,67.9,6.8,6.7,6.4,0.5
310,10,5350250.05,CT,Toronto,0.70576,7607,2288,2270,835,1655,820,2560,5245,2685,310,705,395,34.2,34.9,35.6,22.5,21.7,21,69.1,68.9,68.8,8.2,9.3,10.1,0.7
311,10,5350260.01,CT,Toronto,0.7288,6748,2431,2398,530,1050,520,2225,4580,2355,500,1120,615,39.6,40.6,41.5,16.3,15.6,14.9,68.4,67.9,67.3,15.4,16.6,17.6,1.7
312,10,5350260.04,CT,Toronto,0.1881,4147,1498,1480,480,935,455,1335,2695,1360,205,515,310,34.1,35.4,36.7,23.8,22.6,21.4,66.1,65,64,10.4,12.4,14.6,1.2
313,10,5350260.05,CT,Toronto,0.2543,4020,1369,1332,595,1170,575,1255,2620,1370,105,225,125,28.7,29.6,30.4,30.5,29.2,27.8,64.1,65.2,66.3,5.4,5.6,5.8,0.8
314,0,5350260.06,CT,Toronto,0.95204,3348,1132,1116,395,730,335,1110,2390,1280,110,225,120,32.6,33.8,35,24.8,21.8,19.3,68.7,71.5,73.8,6.5,6.7,6.9,0.3
315,20,5350260.07,CT,Toronto,0.35736999999999997,3670,1534,1504,240,495,255,1085,2285,1195,365,895,525,43.9,45.5,46.8,13.9,13.5,12.9,64,62.1,60.7,21.8,24.4,26.6,1.8
316,0,5350261.0,CT,Toronto,1.92395,5501,2284,2194,360,715,350,1545,3315,1770,510,1470,960,43.2,46.5,49,14.9,13,11.3,64,60.3,57.4,20.9,26.7,31.1,3.1
317,0,5350262.01,CT,Toronto,0.67091,5736,2752,2728,460,845,380,1840,3935,2095,370,965,590,39.4,41.4,43.1,17.2,14.6,12.4,68.9,68.5,68.4,13.9,16.7,19.2,1.7
318,20,5350262.02,CT,Toronto,2.16555,6273,2526,2490,540,1075,535,2045,4225,2185,440,975,535,39.4,40.3,41.2,17.9,17.1,16.3,67.5,67.4,67.1,14.4,15.6,16.6,1.8
319,15,5350263.02,CT,Toronto,2.00598,3471,1680,1629,225,410,190,1000,2120,1120,355,945,585,45.3,48.1,50.4,13.9,11.7,9.8,63.3,61.1,59.4,22.5,27.1,30.9,4.7
320,15,5350263.03,CT,Toronto,1.56059,4906,2106,2060,335,640,305,1540,3290,1750,365,975,610,41.7,44.2,46.3,15,13,11.4,68.8,67.1,65.7,16.3,19.9,22.7,5.1
321,0,5350263.04,CT,Toronto,0.69962,6531,3616,3536,325,625,300,1835,3880,2040,765,2030,1265,47.1,49.8,52,11.1,9.6,8.3,62.9,59.4,56.6,26,31.1,35.1,4.4
322,0,5350264.0,CT,Toronto,3.4653400000000003,1301,482,435,70,155,80,380,845,465,145,300,155,45.6,45.4,45.2,11.7,11.9,12.1,63.3,65,65.2,25,23.5,22.7,5
323,25,5350265.0,CT,Toronto,2.6864,4756,1855,1742,455,855,405,1405,2990,1580,430,915,485,41,42.3,43.6,19.7,17.9,16.4,61.5,62.8,64,18.8,19.2,19.6,2
324,10,5350266.0,CT,Toronto,2.7633799999999997,3209,1141,1064,230,435,205,1060,2205,1150,280,565,285,42.4,43,43.6,14.6,13.4,12.5,67.6,68.8,70,18.1,17.6,17.4,2.5
325,10,5350267.0,CT,Toronto,2.71113,6368,2133,2062,595,1095,500,1980,4040,2060,595,1230,640,41.2,42.1,43,18.6,17.2,15.6,62.5,63.5,64.4,18.6,19.3,20,2.5
326,25,5350268.0,CT,Toronto,3.0571,6419,2938,2837,435,845,405,1790,3770,1985,680,1800,1120,45.3,48,50.3,14.9,13.1,11.5,61.5,58.8,56.6,23.4,28.1,31.9,4.6
327,0,5350269.01,CT,Toronto,0.75312,5056,2354,2081,400,765,370,1730,3695,1960,240,595,355,36,37.6,39.1,16.8,15.1,13.6,72.8,73.1,73,10.1,11.8,13.2,0.8
328,10,5350269.02,CT,Toronto,1.76908,2569,951,923,200,385,180,810,1685,875,235,495,265,42.2,43.3,44.3,16.5,15,13.5,65.1,65.6,65.8,18.5,19.3,19.9,2.8
329,0,5350270.01,CT,Toronto,1.1240700000000001,4980,2117,1953,420,820,400,1645,3445,1805,290,710,415,38.1,39.7,41.1,18,16.6,15.3,69.7,69.3,68.9,12.5,14.3,15.8,1.7
330,0,5350270.02,CT,Toronto,0.75775,4264,1636,1611,455,845,385,1335,2810,1475,275,615,335,37.3,38.8,40.3,22.3,19.7,17.5,64.6,65.8,67.2,13.3,14.3,15.3,2.2
331,15,5350271.01,CT,Toronto,0.8935,2429,899,893,200,370,175,755,1565,810,205,490,285,42.2,43.6,45,16.9,15.3,13.7,64.9,64.5,63.9,17.7,20.2,22.4,3
332,10,5350271.02,CT,Toronto,0.7092,4815,1765,1749,490,920,425,1515,3165,1650,315,725,410,38,39.4,40.7,21.1,19.1,17.1,65.2,65.8,66.3,13.8,15.2,16.5,1.9
333,0,5350272.01,CT,Toronto,0.4552,5987,2408,2342,550,1085,535,1930,4245,2315,260,655,390,35.8,37.5,38.9,20.2,18.2,16.5,70.3,70.9,71.5,9.5,10.9,12,0.9
334,10,5350272.02,CT,Toronto,0.99884,4705,1791,1763,340,645,305,1460,3090,1630,385,970,585,41.8,43.9,45.8,15.6,13.7,12.1,66.8,65.7,64.8,17.8,20.6,23.3,2.3
335,10,5350273.01,CT,Toronto,3.2065799999999998,4014,1311,1231,330,640,315,1255,2610,1350,380,770,385,41.6,42.1,42.6,16.5,15.9,15.1,63.9,65,65.9,19.3,19.1,18.8,2
336,10,5350273.02,CT,Toronto,1.28882,4160,1530,1477,310,600,290,1260,2675,1415,385,880,500,42,43.7,45.2,15.9,14.4,12.9,64.5,64.3,64.2,19.7,21.3,22.9,1.8
337,0,5350274.01,CT,Toronto,1.52481,4900,1788,1756,445,805,365,1630,3390,1765,315,705,385,38.8,40.1,41.4,18.4,16.4,14.5,68,69.2,70.1,13.2,14.3,15.3,2.1
338,0,5350274.02,CT,Toronto,1.3313700000000002,4738,2056,1964,285,595,305,1520,3260,1740,410,885,475,43.2,43.8,44.4,13.1,12.7,12.3,68.6,68.8,68.9,18.5,18.7,18.8,2.3
339,30,5350275.0,CT,Toronto,1.9755900000000002,5836,2451,2347,450,890,440,1705,3580,1875,565,1365,800,42.8,44.5,46,16.5,15.3,14.1,62.7,61.4,60.3,20.8,23.4,25.7,3.3
340,10,5350276.01,CT,Toronto,1.22609,6446,2764,2642,625,1230,610,1800,4025,2220,445,1190,750,39.6,41.9,43.7,21.8,19.1,17,62.5,62.5,62,15.5,18.5,20.9,2.3
341,30,5350276.02,CT,Toronto,1.28263,6870,2514,2398,765,1455,685,2060,4465,2410,435,955,515,37.6,38.6,39.6,23.3,21.1,19,63,65,66.8,13.5,13.9,14.3,1.1
342,20,5350277.0,CT,Toronto,1.02778,4084,1323,1220,515,980,465,1250,2630,1380,230,475,240,34.2,35.4,36.5,25.8,24.1,22.2,62.7,64.4,66,11.5,11.5,11.5,1.3
343,20,5350278.0,CT,Toronto,1.3337,7734,2944,2679,890,1795,905,2210,4705,2490,505,1240,735,35.5,37.4,39.1,24.7,23.1,21.9,61.4,60.8,60.2,14,16,17.8,2.6
344,20,5350279.01,CT,Toronto,1.21444,4028,1665,1523,300,560,265,1210,2585,1375,380,880,495,43.1,44.6,45.9,15.8,13.9,12.2,64.1,64.3,64.4,20.1,21.7,23.2,3.4
345,0,5350279.02,CT,Toronto,1.57835,6503,2195,2117,435,860,425,1895,3930,2035,645,1715,1065,43.5,46.5,49.1,14.6,13.2,12,63.5,60.5,57.8,21.7,26.3,30.2,4.4
346,15,5350280.0,CT,Toronto,2.1417200000000003,7333,2993,2920,635,1260,625,2325,4985,2660,465,1090,620,38.8,39.8,40.6,18.5,17.2,16,67.7,68,68,13.6,14.9,15.9,2.2
347,10,5350281.01,CT,Toronto,0.96206,6484,2324,2256,595,1230,630,2065,4590,2525,290,670,375,36.7,37.3,37.9,20.1,18.9,17.7,70.1,70.9,71.5,9.8,10.3,10.6,1
348,0,5350281.02,CT,Toronto,0.41638000000000003,3940,1350,1306,465,875,410,1220,2690,1470,160,375,210,33.6,35.1,36.4,25.2,22.2,19.6,66.1,68.3,70.2,8.7,9.4,10.3,1.1
349,0,5350282.0,CT,Toronto,2.22534,4480,1663,1607,315,645,330,1560,3140,1580,315,695,380,40.8,41.6,42.4,14.2,14.4,14.3,71.4,70.1,68.7,14.4,15.6,16.5,1.8
350,0,5350283.01,CT,Toronto,0.9285,5399,1965,1938,525,1025,500,1560,3470,1915,370,900,530,37.5,39.8,41.7,21.4,19.1,17,63.5,64.3,65,14.9,16.7,18,2.9
351,0,5350283.02,CT,Toronto,1.1671200000000002,4542,1761,1712,440,905,470,1165,2670,1505,390,960,580,39.2,40.9,42.2,22.1,20,18.3,58.4,58.8,58.9,19.5,21.3,22.6,3.8
352,10,5350284.0,CT,Toronto,1.41266,6840,2427,2349,545,1060,515,2165,4450,2290,570,1330,760,40.9,42.4,43.8,16.5,15.5,14.6,66,65.1,64.2,17.4,19.4,21.5,3.2
353,0,5350285.0,CT,Toronto,1.1118,3271,1269,1207,230,435,210,1050,2135,1085,300,695,400,42.5,44,45.3,14.6,13.5,12.4,66.3,65.3,64,19,21.4,23.6,3.2
354,10,5350286.0,CT,Toronto,3.24625,4273,1987,1704,280,550,265,1420,3015,1590,295,705,415,38.8,40.6,42.2,14,12.7,11.6,71.4,70.5,70,14.5,16.6,18.4,2.3
355,40,5350287.02,CT,Toronto,1.0580399999999999,6732,2401,2246,615,1335,720,1755,4090,2340,485,1305,820,38.6,41.1,43,21.7,19.8,18.6,61.5,60.8,60.4,17,19.4,21.2,4.6
356,10,5350287.03,CT,Toronto,0.48415,3432,1444,1305,395,825,430,925,2280,1355,135,325,195,32.3,34,35.3,27.1,24,21.5,63.4,66.4,68.6,9.2,9.6,9.6,1
357,15,5350287.04,CT,Toronto,0.5939399999999999,4474,2069,2017,440,855,410,1210,2770,1565,285,850,560,37.5,41.2,44,23,19.1,16.3,62.5,62.1,61.6,15,19,22,2.8
358,65,5350288.0,CT,Toronto,2.6307099999999997,9970,4165,4002,895,1710,810,3270,7115,3845,500,1145,645,37,38.2,39.3,19.2,17.2,15.4,70.1,71.4,72.5,10.7,11.4,12.2,1.4
359,0,5350289.0,CT,Toronto,1.3028,4713,1779,1725,340,675,335,1560,3170,1610,380,875,490,41.3,42.5,43.6,14.9,14.2,13.8,68.3,67.3,66.1,16.6,18.5,20.1,2.2
360,0,5350290.01,CT,Toronto,0.94404,3620,1515,1475,315,595,280,1190,2535,1345,230,495,260,39.2,39.8,40.3,18.2,16.4,14.9,68.5,69.9,71.4,13.3,13.7,14.1,1.2
361,0,5350290.02,CT,Toronto,0.34585,1534,782,717,115,220,100,550,1160,605,65,155,95,36.4,37.6,38.6,15.6,14.3,13,74.8,75.6,75.2,8.2,10.1,11.2,0.7
362,0,5350291.02,CT,Toronto,1.1464299999999998,4947,2010,1927,375,780,415,1485,3135,1650,435,1030,600,42.6,43.2,43.8,16.2,15.8,15.4,65,63.2,62,18.8,20.8,22.6,3.3
363,0,5350291.03,CT,Toronto,0.41741000000000006,2302,945,903,150,320,175,745,1535,785,205,450,245,42.7,43.2,43.8,13.6,13.9,14.2,68.2,66.5,65.4,18.6,19.6,20.4,3.2
364,0,5350291.04,CT,Toronto,0.51571,1585,680,654,135,235,105,515,1080,570,125,270,140,40.5,41.6,42.7,16.8,14.8,12.3,66.5,68.1,70.4,16.8,17,17.3,2.6
365,10,5350292.0,CT,Toronto,3.7421800000000003,6721,2893,2247,635,1270,635,2305,4695,2390,340,755,410,37.3,37.7,38.1,19.3,18.9,18.5,70.2,69.9,69.6,10.4,11.3,12.1,1.5
366,10,5350293.0,CT,Toronto,2.0619,6242,2197,2103,525,1100,575,2040,4250,2215,415,885,475,39.1,39.5,39.9,17.6,17.6,17.5,68.5,68.2,67.8,13.9,14.3,14.4,1.7
367,0,5350294.01,CT,Toronto,0.8592299999999999,4386,1586,1547,420,825,400,1325,2880,1555,320,685,360,38.8,39.5,40.1,20.5,18.7,17.3,63.9,65.7,67.2,15.7,15.6,15.6,2.4
368,0,5350294.02,CT,Toronto,1.02545,4504,1453,1384,355,665,310,1465,3025,1560,370,810,445,40.4,42,43.5,16.2,14.8,13.4,66.8,67.1,67.5,16.7,18.1,19.2,2.5
369,0,5350295.0,CT,Toronto,1.0824,5180,2035,1907,425,805,380,1740,3565,1825,370,810,440,39.9,40.9,41.9,16.8,15.5,14.6,68.6,68.8,68.8,14.6,15.6,16.4,2
370,0,5350296.0,CT,Toronto,4.6433,64,19,19,0,5,5,15,45,20,5,10,5,43.7,43.7,43.7,0,16.7,14.3,66.7,66.7,71.4,16.7,16.7,14.3,0
371,15,5350297.01,CT,Toronto,1.13952,7313,3119,3027,510,980,465,2245,4885,2635,530,1450,920,40.7,43.3,45.5,15.5,13.4,11.7,68.1,66.7,65.5,16.1,19.8,22.9,2.7
372,15,5350297.02,CT,Toronto,1.50956,6502,2716,2552,585,1055,475,2025,4205,2185,535,1240,700,39.7,41.8,43.7,18.6,16.2,14.1,64.4,64.8,65,17,19,20.8,2.7
373,10,5350298.0,CT,Toronto,2.27223,4661,1605,1566,475,940,465,1475,3215,1740,250,505,255,36.9,37.6,38.1,21.6,20.3,19.1,67,69,70.5,11.4,10.7,10.4,1.4
374,20,5350299.01,CT,Toronto,2.8929099999999996,6256,2319,2207,535,1055,520,2090,4350,2255,380,850,470,39.1,39.9,40.6,17.9,16.9,15.8,69.4,69.5,69.4,12.6,13.7,14.6,1.8
375,0,5350299.02,CT,Toronto,0.1593,5247,3019,2815,205,415,210,1915,4025,2115,345,805,460,39.8,40.7,41.5,8.5,7.9,7.4,77.5,76.8,75.9,14,15.3,16.5,2.2
376,10,5350300.0,CT,Toronto,1.03364,13667,7532,6956,790,1490,700,5245,11065,5825,500,1110,610,35.8,36.5,37.2,12.2,10.9,9.7,80.2,81,81.7,7.7,8.1,8.6,0.5
377,0,5350301.01,CT,Toronto,0.90166,2915,1087,1071,265,520,250,890,1900,1010,215,500,280,39.4,40.7,41.8,19.6,17.7,16.5,64.7,65.2,65.4,15.6,17.2,18.1,1.8
