,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5: 0 to 14 years,v_CA16_4: 0 to 14 years,v_CA16_6: 0 to 14 years,v_CA16_62: 15 to 64 years,v_CA16_61: 15 to 64 years,v_CA16_63: 15 to 64 years,v_CA16_245: 65 years and over,v_CA16_244: 65 years and over,v_CA16_246: 65 years and over,v_CA16_380: Average age,v_CA16_379: Average age,v_CA16_381: Average age,v_CA16_386: 0 to 14 years,v_CA16_385: 0 to 14 years,v_CA16_387: 0 to 14 years,v_CA16_389: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_390: 15 to 64 years,v_CA16_392: 65 years and over,v_CA16_391: 65 years and over,v_CA16_393: 65 years and over,v_CA16_395: 85 years and over
43,210,5350036.0,CT,Toronto,0.38343,5487,3641,3272,155,305,150,2195,4460,2265,285,725,440,38.5,39.5,40.4,5.9,5.5,5.3,83.3,81.3,79.3,10.8,13.3,15.6,1.9
44,290,5350037.0,CT,Toronto,0.45102,4494,2463,2116,140,280,140,1800,3540,1740,280,675,395,37.8,39.1,40.3,6.3,6.2,6.4,81.4,78.8,76.3,12.7,15,17.3,2.5
45,275,5350038.0,CT,Toronto,0.36616,3772,1820,1638,130,250,125,1495,2900,1405,260,620,365,40.4,41.9,43.3,7.2,6.6,6.3,79.3,76.8,74.3,13.8,16.4,19,2.1
46,165,5350039.0,CT,Toronto,0.31773,4192,1821,1709,280,490,205,1470,3020,1550,280,680,405,37.8,40.1,42.2,13.8,11.6,9.5,72.4,72.1,71.8,13.5,16.2,18.5,2.5
47,305,5350040.0,CT,Toronto,0.36873,4568,1961,1788,235,490,250,1755,3500,1745,245,585,335,39,39.7,40.3,10.5,10.7,10.7,78.3,76.6,74.9,11.2,12.8,14.3,1.1
48,310,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,200,380,180,1350,2615,1265,200,460,255,39.1,39.7,40.4,11.1,11,10.6,77.4,75.7,74.2,11.4,13.2,15,1.4
49,450,5350042.0,CT,Toronto,0.48994,4570,2150,1965,255,465,210,1635,3400,1760,310,700,385,39.4,40.3,41.1,11.8,10.2,8.9,74.1,74.4,74.6,14.3,15.3,16.5,1.4
50,315,5350043.0,CT,Toronto,0.55392,3965,1863,1704,230,410,180,1485,2940,1460,280,610,330,41.1,41.4,41.7,11.5,10.4,9.4,74.4,74.2,74.3,14,15.4,16.5,1.5
51,740,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,325,635,310,3545,7325,3780,370,865,490,36.7,37,37.2,7.7,7.3,6.9,83.5,83,82.5,8.7,9.8,10.8,1.3
52,290,5350045.0,CT,Toronto,0.29514,3453,1567,1468,175,325,150,1335,2595,1255,255,535,285,41.2,41.8,42.5,9.9,9.4,9.2,75.6,75.2,74.6,14.4,15.5,16.6,2
