,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households
93,115,5350076.0,CT,Toronto,0.45743999999999996,4415,1993,1937,260,955,260,395,965,570,1150,30,760
94,160,5350077.0,CT,Toronto,0.6104,4670,1968,1907,235,1040,240,405,830,420,1230,25,650
95,135,5350078.0,CT,Toronto,0.77495,6016,2980,2854,335,1275,335,750,1450,700,1585,10,1255
96,135,5350079.0,CT,Toronto,1.01839,7327,2986,2887,360,1670,360,435,1050,615,1980,25,885
97,45,5350080.01,CT,Toronto,0.47192,3352,1496,1428,190,740,190,310,720,410,880,25,520
98,50,5350080.02,CT,Toronto,0.39054,4686,2073,2011,335,800,335,665,1265,595,1035,45,930
99,75,5350081.0,CT,Toronto,0.36798000000000003,2848,1140,1076,140,640,135,240,495,250,725,25,325
100,95,5350082.0,CT,Toronto,0.3084,2766,1060,1027,115,635,115,245,495,250,700,25,305
101,125,5350083.0,CT,Toronto,0.44642,4052,1908,1822,155,885,150,535,1040,510,970,30,820
102,120,5350084.0,CT,Toronto,0.40903,3810,1613,1498,130,850,130,295,725,425,940,20,535
103,135,5350085.0,CT,Toronto,0.49901,3994,2154,2078,140,815,140,655,1365,705,925,15,1140
104,25,5350086.0,CT,Toronto,1.1385,2661,965,921,85,655,85,105,280,170,730,5,185
105,135,5350087.0,CT,Toronto,1.60971,5155,2652,2491,130,1290,125,435,1260,825,1375,20,1090
106,40,5350088.0,CT,Toronto,0.22973000000000002,3249,1997,1821,105,695,100,540,1215,675,800,0,1020
107,35,5350089.0,CT,Toronto,0.32969,3896,2995,2345,105,815,105,655,1540,885,890,10,1440
108,55,5350090.0,CT,Toronto,0.39427,4144,2584,2347,120,865,120,575,1500,925,975,5,1365
109,245,5350091.01,CT,Toronto,0.51145,6031,3639,3224,140,1095,140,1070,2405,1335,1215,10,2000
110,230,5350091.02,CT,Toronto,0.32714,3525,2288,2009,125,550,120,795,1665,870,655,10,1345
111,560,5350092.0,CT,Toronto,0.62885,7278,4113,3718,170,1370,175,1495,3090,1595,1495,20,2205
