,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households
477,15,5350352.0,CT,Toronto,1.1271200000000001,5309,1945,1892,310,1095,310,430,915,485,1220,95,580
478,0,5350353.02,CT,Toronto,1.21341,5305,1697,1649,330,1115,330,300,665,365,1185,125,340
479,0,5350353.03,CT,Toronto,0.40919,3107,1100,1075,200,660,200,195,470,280,730,65,285
480,10,5350353.04,CT,Toronto,0.62956,4509,1650,1590,370,845,365,305,680,380,1085,60,445
481,25,5350354.0,CT,Toronto,1.33283,5403,1826,1695,300,1155,300,360,760,405,1175,130,390
482,0,5350355.02,CT,Toronto,1.105,5214,1980,1919,430,1045,430,325,845,520,1290,90,540
483,0,5350355.04,CT,Toronto,0.5770000000000001,5270,1810,1776,415,930,420,325,780,450,1240,55,485
484,0,5350355.05,CT,Toronto,0.31432,3033,1056,993,290,475,290,255,490,235,680,45,275
485,0,5350355.06,CT,Toronto,0.1923,1643,603,559,225,230,220,100,210,110,400,25,130
486,15,5350356.0,CT,Toronto,1.55598,4833,1633,1555,235,1035,235,335,680,345,1075,90,390
487,0,5350357.01,CT,Toronto,1.05106,7123,2490,2404,415,1395,410,460,1145,685,1415,175,805
488,0,5350357.02,CT,Toronto,1.10589,4940,1774,1693,610,765,610,340,680,340,1190,90,415
489,10,5350358.01,CT,Toronto,1.1101299999999998,3397,1180,1129,255,730,255,205,450,245,825,75,230
490,0,5350358.02,CT,Toronto,0.6179100000000001,4732,2021,1955,445,760,450,450,1070,620,1060,70,830
491,10,5350358.03,CT,Toronto,1.09741,5598,2304,2217,485,875,485,650,1235,590,1210,70,935
492,0,5350359.0,CT,Toronto,2.23634,7558,2773,2687,785,1225,785,575,1230,660,1785,110,790
493,10,5350360.0,CT,Toronto,4.55616,6107,2040,1998,375,1365,375,335,680,345,1540,100,355
494,0,5350361.01,CT,Toronto,2.95729,5804,1963,1928,240,1505,240,185,460,275,1590,75,265
495,0,5350361.02,CT,Toronto,2.46272,7558,2476,2451,350,1920,350,225,570,340,2030,115,300
496,0,5350362.01,CT,Toronto,2.5287900000000003,6300,2153,2083,470,1315,470,325,780,450,1510,130,445
497,15,5350362.02,CT,Toronto,1.9434900000000002,5628,1731,1626,220,1345,220,285,625,340,1220,165,235
498,10,5350362.03,CT,Toronto,3.3025800000000003,6866,2176,2074,295,1655,295,415,870,460,1570,175,325
499,0,5350362.04,CT,Toronto,1.3530799999999998,5019,1796,1756,355,985,355,330,805,475,1115,105,535
500,0,5350363.02,CT,Toronto,1.19757,3253,1115,1106,190,745,190,175,420,240,790,65,245
501,0,5350363.04,CT,Toronto,1.12713,3668,1119,1106,215,800,215,200,435,230,835,85,190
502,0,5350363.05,CT,Toronto,0.50329,4538,1776,1694,455,695,455,540,955,415,1065,40,585
503,0,5350363.06,CT,Toronto,0.82891,7307,3439,3326,495,1585,500,825,1805,980,1945,70,1315
504,0,5350363.07,CT,Toronto,2.2765400000000002,5338,1971,1925,330,970,330,610,1085,475,1160,65,700
505,10,5350364.01,CT,Toronto,2.90673,5996,2034,1973,340,1235,340,415,860,440,1375,100,500
506,0,5350364.02,CT,Toronto,0.74379,3053,1004,957,150,675,150,180,405,225,695,60,205
507,0,5350365.0,CT,Toronto,1.5674,6497,2028,1946,335,1415,340,445,915,475,1410,160,375
508,10,5350366.0,CT,Toronto,1.44064,6136,2143,2069,455,1290,455,360,855,495,1465,135,470
509,0,5350367.01,CT,Toronto,0.71324,4710,1398,1375,230,1010,230,370,625,250,1060,90,230
510,20,5350367.02,CT,Toronto,1.0306799999999998,3548,1218,1186,200,820,200,245,510,265,840,85,255
511,10,5350368.01,CT,Toronto,0.8884700000000001,6843,3786,3582,350,1415,350,1045,2495,1450,1695,35,1850
512,0,5350368.02,CT,Toronto,1.57328,4315,1464,1399,190,880,190,300,655,360,905,80,415
513,10,5350369.0,CT,Toronto,2.4665,8094,2520,2441,460,1680,460,405,885,480,1825,145,465
514,10,5350370.01,CT,Toronto,1.76665,9977,3792,3725,700,2000,705,675,1650,975,2435,135,1155
515,20,5350370.02,CT,Toronto,2.27382,5580,1849,1803,325,1155,325,360,800,440,1260,110,435
516,10,5350370.03,CT,Toronto,0.8572299999999999,4137,1409,1357,285,850,285,265,565,305,960,85,315
517,20,5350371.0,CT,Toronto,3.7152300000000005,7626,2691,2570,420,1640,420,560,1130,570,1760,140,675
518,0,5350372.0,CT,Toronto,1.33184,4346,1504,1440,220,1000,220,245,605,355,1055,80,300
519,15,5350373.0,CT,Toronto,0.9606899999999999,4806,1869,1801,335,980,335,515,935,420,1155,80,570
520,15,5350374.01,CT,Toronto,1.18795,4848,1717,1656,290,1125,290,260,650,385,1225,90,345
521,10,5350374.02,CT,Toronto,0.80225,3215,1084,1053,180,770,185,145,420,270,765,90,200
522,0,5350374.03,CT,Toronto,0.80821,4184,1718,1655,270,865,275,395,955,555,970,80,600
523,15,5350375.01,CT,Toronto,0.95309,6324,2817,2733,480,1300,480,465,1370,910,1605,85,1045
524,0,5350375.02,CT,Toronto,0.61463,1959,702,694,90,480,85,80,230,150,500,30,160
525,0,5350375.03,CT,Toronto,0.81361,5318,1917,1866,395,1085,395,365,835,475,1305,85,470
526,0,5350375.04,CT,Toronto,0.9242799999999999,5300,1667,1633,340,1160,340,320,750,430,1255,120,260
527,10,5350375.05,CT,Toronto,1.13069,7208,2484,2449,390,1570,385,355,935,580,1745,100,600
528,10,5350376.01,CT,Toronto,1.04665,5094,1697,1584,415,995,415,345,775,435,1125,135,325
529,15,5350376.02,CT,Toronto,0.8583,5176,1656,1614,355,1115,355,345,760,420,1180,135,300
530,0,5350376.04,CT,Toronto,1.1940600000000001,5460,1866,1804,285,1250,285,270,675,405,1335,95,375
531,10,5350376.05,CT,Toronto,1.30767,6860,2045,1998,365,1575,365,535,1235,705,1345,270,380
532,0,5350376.06,CT,Toronto,2.19192,484,229,219,15,65,15,30,145,110,80,0,135
533,15,5350376.08,CT,Toronto,0.87879,6157,2176,2123,345,1435,345,360,945,585,1510,135,485
534,10,5350376.09,CT,Toronto,0.80105,4638,1644,1602,290,1130,285,285,735,455,1125,140,340
535,10,5350376.11,CT,Toronto,0.47043999999999997,3416,1067,1014,270,655,270,200,400,195,790,65,160
536,10,5350376.12,CT,Toronto,0.91215,5318,1922,1887,260,1305,260,270,810,540,1295,125,465
537,0,5350376.13,CT,Toronto,0.51098,3902,1386,1362,215,980,215,190,545,355,965,105,290
538,0,5350376.14,CT,Toronto,0.7362,3763,1091,1053,195,925,195,195,450,255,815,140,95
539,0,5350376.15,CT,Toronto,0.92289,3696,1574,1518,205,960,205,195,635,435,1065,50,400
540,10,5350376.16,CT,Toronto,0.27148,4226,1672,1621,195,790,200,310,855,545,900,40,680
541,25,5350377.01,CT,Toronto,2.06027,8996,3752,3574,525,2010,520,980,1915,935,2210,160,1210
542,10,5350377.02,CT,Toronto,1.9059599999999999,4405,1493,1407,225,1075,220,235,575,345,1040,120,245
543,10,5350377.03,CT,Toronto,0.65012,2815,892,868,145,675,145,185,405,220,660,80,130
544,20,5350377.04,CT,Toronto,0.8833200000000001,5939,1746,1682,325,1415,325,330,705,380,1255,235,195
545,0,5350377.06,CT,Toronto,0.51169,3809,1001,980,225,845,225,320,630,310,695,175,115
546,20,5350377.07,CT,Toronto,0.76461,4857,1321,1282,270,1060,270,280,595,315,970,165,145
547,0,5350378.02,CT,Toronto,1.05954,3257,979,929,160,705,165,325,555,225,675,95,160
548,10,5350378.03,CT,Toronto,2.2069099999999997,7363,2503,2434,550,1510,545,480,1075,590,1740,155,535
549,10,5350378.04,CT,Toronto,1.27906,6148,1826,1753,365,1260,365,350,725,375,1270,170,315
550,0,5350378.05,CT,Toronto,0.7275699999999999,3907,1235,1201,345,740,350,185,480,295,905,90,210
551,10,5350378.06,CT,Toronto,1.7906,6063,1754,1671,410,1225,410,330,630,305,1265,185,225
552,0,5350378.07,CT,Toronto,2.80032,7099,2311,2226,455,1490,455,420,960,540,1625,150,445
553,10,5350378.08,CT,Toronto,0.88574,6263,1997,1953,385,1460,380,300,770,470,1420,205,335
554,0,5350378.11,CT,Toronto,0.9633700000000001,5693,1748,1713,350,1175,355,380,750,365,1250,135,335
555,10,5350378.12,CT,Toronto,0.78391,5181,1904,1828,520,895,520,345,805,460,1210,100,515
556,10,5350378.14,CT,Toronto,0.9291299999999999,3892,1184,1168,245,855,245,210,465,250,925,85,155
557,10,5350378.16,CT,Toronto,0.63484,6103,2005,1923,340,1345,345,340,770,425,1360,160,405
558,10,5350378.17,CT,Toronto,0.47397,3336,961,903,265,625,260,95,280,180,730,75,100
559,0,5350378.18,CT,Toronto,0.09093,2765,1114,1100,245,585,250,170,455,290,760,35,305
560,10,5350378.19,CT,Toronto,4.5159199999999995,5162,1438,1411,265,1220,270,255,545,290,1070,195,140
561,0,5350378.2,CT,Toronto,0.10951,2093,775,769,150,505,150,105,275,170,570,40,155
562,0,5350378.21,CT,Toronto,0.70181,3948,1056,1043,215,910,215,220,475,260,810,145,85
563,10,5350378.22,CT,Toronto,0.53214,3454,891,877,190,795,195,225,490,270,655,150,70
564,10,5350378.23,CT,Toronto,1.53025,4095,1334,1302,230,980,230,230,585,355,915,140,245
565,10,5350378.24,CT,Toronto,2.52877,6109,2218,2147,325,1390,325,325,955,630,1425,140,585
566,10,5350378.25,CT,Toronto,4.76673,7931,1885,1858,300,1790,300,245,640,400,1445,310,100
567,10,5350378.26,CT,Toronto,1.66052,4761,1165,1144,175,1125,175,130,335,215,890,195,60
568,0,5350378.27,CT,Toronto,20.2249,5806,1556,1530,305,1260,305,240,580,340,1170,185,170
569,0,5350378.28,CT,Toronto,2.25257,7175,2041,1925,485,1505,485,275,670,395,1465,255,205
570,0,5350802.01,CT,Toronto,2.2159999999999997,3829,1290,1267,180,985,180,115,305,185,1050,55,165
571,0,5350802.02,CT,Toronto,2.4403099999999998,5675,1844,1826,200,1430,200,180,455,275,1505,65,260
