,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle
442,5350324.01,CT,Toronto,1.1954,3498,1214,1143,255,3720,3720,2290,3720,1930,3195,3195,1620,0
443,5350324.02,CT,Toronto,1.89369,6123,2256,2133,615,6215,6215,3945,6215,3330,5415,5420,2725,0
444,5350324.03,CT,Toronto,2.16991,3862,1762,1701,770,3985,3985,2580,3990,1560,3685,3685,1480,0
445,5350324.05,CT,Toronto,0.65612,3388,1405,1382,625,3285,3280,2375,3285,1540,2905,2905,1405,10
446,5350324.06,CT,Toronto,0.65762,3561,1219,1182,235,3430,3430,2385,3430,1905,2800,2795,1660,0
447,5350330.0,CT,Toronto,2.19348,4288,1757,1730,515,4135,4135,1110,4130,2205,3620,3615,2085,10
448,5350331.01,CT,Toronto,1.52013,5629,2287,2261,835,5515,5520,2025,5520,2685,4745,4740,2490,0
449,5350331.03,CT,Toronto,0.51039,6162,1931,1877,480,6120,6120,3750,6120,3080,4495,4500,2040,0
450,5350331.04,CT,Toronto,1.06015,3212,1288,1261,495,3090,3090,1565,3090,1705,2685,2685,1540,0
451,5350332.0,CT,Toronto,1.52621,7350,2914,2785,1095,7220,7220,3665,7220,3875,5895,5895,2980,0
452,5350333.0,CT,Toronto,2.39935,4695,1710,1644,430,4710,4705,1515,4705,2515,3920,3915,2220,10
453,5350334.0,CT,Toronto,2.38519,3500,1358,1274,355,3435,3435,830,3435,1850,2895,2900,1780,10
454,5350335.0,CT,Toronto,2.2315099999999997,7740,3026,2984,1140,7660,7655,3495,7655,4105,6435,6435,3415,15
455,5350336.0,CT,Toronto,1.63381,6772,2553,2393,830,6580,6580,2515,6580,3835,5635,5630,3370,30
456,5350337.01,CT,Toronto,0.20168,721,357,316,130,740,740,210,735,425,590,590,360,0
457,5350337.02,CT,Toronto,0.61933,2155,888,862,355,1860,1860,460,1855,1050,1560,1565,835,10
458,5350338.0,CT,Toronto,1.6501299999999999,5956,2729,2627,1185,5825,5825,1450,5830,3525,4960,4955,2965,30
459,5350339.0,CT,Toronto,1.8385099999999999,6687,3110,3000,1205,6685,6685,1435,6680,3700,5610,5610,3405,70
460,5350340.0,CT,Toronto,1.27488,6771,2557,2457,890,6745,6745,3230,6745,3930,5565,5560,3180,15
461,5350341.02,CT,Toronto,0.77866,4379,1860,1777,1030,4105,4100,2050,4105,2390,3550,3550,1925,10
462,5350341.03,CT,Toronto,0.40538,3436,1465,1334,550,3535,3535,2240,3535,1890,2550,2550,1065,0
463,5350341.04,CT,Toronto,0.67099,6030,2261,2171,940,5970,5970,3225,5970,3340,4655,4650,2260,25
464,5350342.0,CT,Toronto,1.2329700000000001,7561,2414,2376,560,7375,7375,4175,7375,4225,6015,6010,3670,25
465,5350343.0,CT,Toronto,1.09816,4218,1620,1517,615,4210,4205,1930,4210,2330,3515,3510,1925,0
466,5350344.01,CT,Toronto,1.06274,5186,1990,1880,850,5390,5390,2985,5390,2970,4580,4585,2545,10
467,5350344.02,CT,Toronto,0.22083000000000003,3365,1850,1829,1015,3150,3150,1860,3150,1885,2745,2750,1280,0
468,5350345.0,CT,Toronto,0.78754,3938,1328,1258,405,3835,3835,2020,3835,2145,3245,3245,1855,15
469,5350346.01,CT,Toronto,1.5199799999999999,4634,1717,1609,535,4720,4720,2600,4725,2570,3755,3755,2055,20
470,5350346.02,CT,Toronto,0.40049,5388,2066,2029,685,5385,5385,3245,5385,3125,4365,4365,2640,10
471,5350347.0,CT,Toronto,1.50409,2833,931,924,270,2600,2605,1395,2605,1520,2195,2200,1450,10
472,5350348.0,CT,Toronto,2.31904,5601,2007,1972,605,5370,5370,2380,5370,3050,4455,4455,2735,40
473,5350349.0,CT,Toronto,0.8761700000000001,5720,2335,2309,1060,5760,5760,3125,5760,3255,4825,4825,2730,25
474,5350350.0,CT,Toronto,3.3616599999999996,5419,2063,1986,750,5305,5310,2575,5305,2910,4470,4470,2450,20
475,5350351.01,CT,Toronto,0.9748600000000001,5497,2130,2051,910,5605,5605,3055,5605,3000,4690,4690,2475,10
476,5350351.02,CT,Toronto,0.56565,2756,1116,1088,410,2620,2620,1490,2620,1535,2245,2245,1180,10
477,5350352.0,CT,Toronto,1.1271200000000001,5309,1945,1892,725,5180,5185,3040,5185,2960,4355,4355,2450,15
478,5350353.02,CT,Toronto,1.21341,5305,1697,1649,520,5290,5285,2880,5285,2795,4300,4295,2335,0
479,5350353.03,CT,Toronto,0.40919,3107,1100,1075,335,3030,3035,1930,3030,1745,2590,2590,1495,0
480,5350353.04,CT,Toronto,0.62956,4509,1650,1590,495,4415,4415,2565,4415,2290,3490,3490,1700,10
481,5350354.0,CT,Toronto,1.33283,5403,1826,1695,525,5215,5210,2915,5215,2790,4460,4460,2580,25
482,5350355.02,CT,Toronto,1.105,5214,1980,1919,610,5210,5205,3020,5210,2760,4420,4420,2315,0
483,5350355.04,CT,Toronto,0.5770000000000001,5270,1810,1776,595,4975,4975,2970,4975,2735,4025,4025,2270,0
484,5350355.05,CT,Toronto,0.31432,3033,1056,993,445,3020,3020,1660,3020,1570,2355,2355,1245,0
485,5350355.06,CT,Toronto,0.1923,1643,603,559,180,1600,1605,850,1600,810,1205,1205,510,0
486,5350356.0,CT,Toronto,1.55598,4833,1633,1555,490,4600,4600,2275,4605,2465,3890,3890,2205,15
487,5350357.01,CT,Toronto,1.05106,7123,2490,2404,975,6840,6840,4240,6840,3280,5360,5360,2355,0
488,5350357.02,CT,Toronto,1.10589,4940,1774,1693,545,5210,5210,2440,5210,2565,3865,3860,1710,0
489,5350358.01,CT,Toronto,1.1101299999999998,3397,1180,1129,370,3380,3380,1565,3380,1840,2820,2820,1490,10
490,5350358.02,CT,Toronto,0.6179100000000001,4732,2021,1955,830,4770,4770,2275,4770,2490,3910,3915,1965,0
491,5350358.03,CT,Toronto,1.09741,5598,2304,2217,1095,5415,5415,2865,5415,3005,4605,4600,2305,10
492,5350359.0,CT,Toronto,2.23634,7558,2773,2687,1005,7405,7405,4050,7405,3960,6025,6025,2950,0
493,5350360.0,CT,Toronto,4.55616,6107,2040,1998,480,5990,5985,2590,5990,3280,5035,5035,2870,10
494,5350361.01,CT,Toronto,2.95729,5804,1963,1928,370,5790,5790,1845,5790,2885,4960,4955,2805,0
495,5350361.02,CT,Toronto,2.46272,7558,2476,2451,395,7550,7550,3145,7550,4080,6230,6235,3835,0
496,5350362.01,CT,Toronto,2.5287900000000003,6300,2153,2083,525,6180,6180,3260,6175,3260,5215,5215,2955,0
497,5350362.02,CT,Toronto,1.9434900000000002,5628,1731,1626,305,5620,5615,3090,5615,3120,4875,4870,2800,15
498,5350362.03,CT,Toronto,3.3025800000000003,6866,2176,2074,555,6850,6850,3930,6850,3490,6055,6055,3290,10
499,5350362.04,CT,Toronto,1.3530799999999998,5019,1796,1756,640,4910,4910,2630,4910,2605,4225,4225,2285,0
500,5350363.02,CT,Toronto,1.19757,3253,1115,1106,305,3180,3180,1485,3180,1665,2770,2770,1500,0
501,5350363.04,CT,Toronto,1.12713,3668,1119,1106,250,3785,3785,2315,3780,2045,3120,3125,1880,0
502,5350363.05,CT,Toronto,0.50329,4538,1776,1694,810,4480,4475,2660,4480,2390,3575,3575,1805,0
503,5350363.06,CT,Toronto,0.82891,7307,3439,3326,1485,7270,7270,4570,7265,4510,6245,6240,3650,0
504,5350363.07,CT,Toronto,2.2765400000000002,5338,1971,1925,990,5260,5260,3370,5260,2640,4285,4285,1895,0
505,5350364.01,CT,Toronto,2.90673,5996,2034,1973,660,5710,5710,3040,5710,3040,4810,4810,2580,10
506,5350364.02,CT,Toronto,0.74379,3053,1004,957,345,2955,2950,1565,2950,1560,2495,2495,1430,0
507,5350365.0,CT,Toronto,1.5674,6497,2028,1946,595,6470,6475,3705,6470,3430,5395,5400,2885,0
508,5350366.0,CT,Toronto,1.44064,6136,2143,2069,610,6155,6155,3360,6155,3305,5090,5085,2740,10
509,5350367.01,CT,Toronto,0.71324,4710,1398,1375,440,4650,4655,2875,4650,2465,3705,3700,1995,0
510,5350367.02,CT,Toronto,1.0306799999999998,3548,1218,1186,410,3600,3600,1770,3600,1855,3080,3075,1645,20
511,5350368.01,CT,Toronto,0.8884700000000001,6843,3786,3582,2220,6835,6835,3870,6830,3960,6245,6240,3305,10
512,5350368.02,CT,Toronto,1.57328,4315,1464,1399,560,3790,3790,2135,3790,1870,3315,3315,1660,0
513,5350369.0,CT,Toronto,2.4665,8094,2520,2441,540,7970,7970,4065,7970,4040,6300,6300,3150,10
514,5350370.01,CT,Toronto,1.76665,9977,3792,3725,1280,9740,9740,6290,9740,5600,7940,7940,4410,10
515,5350370.02,CT,Toronto,2.27382,5580,1849,1803,520,5390,5390,3325,5390,3000,4470,4470,2775,20
516,5350370.03,CT,Toronto,0.8572299999999999,4137,1409,1357,530,4070,4065,2035,4065,2265,3365,3360,1865,10
517,5350371.0,CT,Toronto,3.7152300000000005,7626,2691,2570,790,7345,7345,3335,7345,4105,6240,6240,3445,20
518,5350372.0,CT,Toronto,1.33184,4346,1504,1440,375,4470,4470,2300,4470,2460,3830,3830,2190,0
519,5350373.0,CT,Toronto,0.9606899999999999,4806,1869,1801,750,4670,4670,2565,4670,2670,3970,3970,2240,15
520,5350374.01,CT,Toronto,1.18795,4848,1717,1656,465,4765,4765,2930,4765,2755,4100,4100,2300,15
521,5350374.02,CT,Toronto,0.80225,3215,1084,1053,275,3115,3115,1940,3115,1570,2760,2760,1435,10
522,5350374.03,CT,Toronto,0.80821,4184,1718,1655,820,4355,4360,2880,4355,2340,3790,3790,1915,0
523,5350375.01,CT,Toronto,0.95309,6324,2817,2733,1225,6145,6145,4100,6145,3050,5450,5445,2395,15
524,5350375.02,CT,Toronto,0.61463,1959,702,694,195,2045,2045,925,2050,1020,1715,1715,965,0
525,5350375.03,CT,Toronto,0.81361,5318,1917,1866,645,5220,5220,3095,5220,2800,4335,4335,2255,0
526,5350375.04,CT,Toronto,0.9242799999999999,5300,1667,1633,515,5365,5370,3500,5365,2950,4610,4605,2475,0
527,5350375.05,CT,Toronto,1.13069,7208,2484,2449,650,6935,6940,4055,6935,3790,5890,5890,3230,10
528,5350376.01,CT,Toronto,1.04665,5094,1697,1584,435,5005,5005,3040,5010,2690,4225,4225,2100,10
529,5350376.02,CT,Toronto,0.8583,5176,1656,1614,565,5270,5270,3645,5270,2970,4310,4310,2215,15
530,5350376.04,CT,Toronto,1.1940600000000001,5460,1866,1804,550,4985,4985,3475,4985,2615,4310,4310,2050,0
531,5350376.05,CT,Toronto,1.30767,6860,2045,1998,950,6850,6850,4840,6850,3810,5955,5955,2700,10
532,5350376.06,CT,Toronto,2.19192,484,229,219,135,375,375,370,375,75,375,375,35,0
533,5350376.08,CT,Toronto,0.87879,6157,2176,2123,635,6050,6055,4220,6055,3205,5365,5365,2685,15
534,5350376.09,CT,Toronto,0.80105,4638,1644,1602,470,4775,4775,3560,4775,2545,4215,4215,2080,10
535,5350376.11,CT,Toronto,0.47043999999999997,3416,1067,1014,315,3420,3420,2190,3420,1785,2870,2870,1430,10
536,5350376.12,CT,Toronto,0.91215,5318,1922,1887,515,5305,5305,3565,5305,2750,4670,4670,2320,10
537,5350376.13,CT,Toronto,0.51098,3902,1386,1362,415,3885,3880,2940,3880,1945,3465,3465,1550,0
538,5350376.14,CT,Toronto,0.7362,3763,1091,1053,300,3780,3775,2630,3780,2045,3180,3175,1615,0
539,5350376.15,CT,Toronto,0.92289,3696,1574,1518,420,3690,3685,2780,3690,1775,3400,3400,1480,0
540,5350376.16,CT,Toronto,0.27148,4226,1672,1621,740,3840,3835,2185,3835,1920,3055,3055,1390,10
541,5350377.01,CT,Toronto,2.06027,8996,3752,3574,1640,9050,9055,5750,9050,5440,7895,7895,4385,25
542,5350377.02,CT,Toronto,1.9059599999999999,4405,1493,1407,365,4325,4320,2745,4320,2340,3855,3855,1905,10
543,5350377.03,CT,Toronto,0.65012,2815,892,868,295,2800,2800,1775,2800,1530,2420,2425,1205,10
544,5350377.04,CT,Toronto,0.8833200000000001,5939,1746,1682,450,5950,5945,4085,5945,3270,5125,5125,2620,20
545,5350377.06,CT,Toronto,0.51169,3809,1001,980,410,3630,3630,2645,3630,2240,3155,3155,1515,0
546,5350377.07,CT,Toronto,0.76461,4857,1321,1282,495,4655,4650,3190,4650,2675,4020,4020,2010,20
547,5350378.02,CT,Toronto,1.05954,3257,979,929,475,3250,3250,1960,3250,1625,2800,2800,1410,0
548,5350378.03,CT,Toronto,2.2069099999999997,7363,2503,2434,715,7355,7360,4415,7355,4210,6275,6275,3680,10
549,5350378.04,CT,Toronto,1.27906,6148,1826,1753,455,5995,5995,3755,6000,3105,4800,4795,2565,10
550,5350378.05,CT,Toronto,0.7275699999999999,3907,1235,1201,255,3900,3900,2245,3905,2115,3165,3160,1820,0
551,5350378.06,CT,Toronto,1.7906,6063,1754,1671,355,6050,6055,3875,6055,3215,4915,4910,2725,10
552,5350378.07,CT,Toronto,2.80032,7099,2311,2226,620,6845,6845,4635,6845,3755,5850,5850,3170,0
553,5350378.08,CT,Toronto,0.88574,6263,1997,1953,505,6350,6345,4340,6350,3505,5505,5500,2920,10
554,5350378.11,CT,Toronto,0.9633700000000001,5693,1748,1713,490,5840,5845,3640,5845,3175,4750,4750,2675,0
555,5350378.12,CT,Toronto,0.78391,5181,1904,1828,580,5180,5180,2975,5180,2540,4200,4205,2095,10
556,5350378.14,CT,Toronto,0.9291299999999999,3892,1184,1168,270,3940,3945,2715,3940,2080,3245,3245,1655,10
557,5350378.16,CT,Toronto,0.63484,6103,2005,1923,485,6035,6040,4115,6040,3365,5090,5090,2840,10
558,5350378.17,CT,Toronto,0.47397,3336,961,903,165,3395,3395,1875,3395,1720,2690,2690,1525,10
559,5350378.18,CT,Toronto,0.09093,2765,1114,1100,365,2590,2590,1865,2590,1355,2210,2210,965,0
560,5350378.19,CT,Toronto,4.5159199999999995,5162,1438,1411,295,5285,5285,3595,5285,2975,4480,4480,2410,10
561,5350378.2,CT,Toronto,0.10951,2093,775,769,205,2125,2125,1560,2130,1110,1850,1850,945,0
562,5350378.21,CT,Toronto,0.70181,3948,1056,1043,330,4020,4015,2620,4020,2205,3385,3385,1725,0
563,5350378.22,CT,Toronto,0.53214,3454,891,877,295,3380,3380,2415,3380,1905,2910,2910,1430,10
564,5350378.23,CT,Toronto,1.53025,4095,1334,1302,460,4025,4025,2770,4020,2075,3620,3620,1705,10
565,5350378.24,CT,Toronto,2.52877,6109,2218,2147,680,5760,5760,4305,5760,2995,5085,5085,2410,10
566,5350378.25,CT,Toronto,4.76673,7931,1885,1858,240,7845,7850,5120,7845,4285,6310,6305,3865,10
567,5350378.26,CT,Toronto,1.66052,4761,1165,1144,100,4840,4840,3010,4840,2685,3885,3885,2405,10
568,5350378.27,CT,Toronto,20.2249,5806,1556,1530,310,5795,5795,3590,5795,3290,4620,4625,2840,0
569,5350378.28,CT,Toronto,2.25257,7175,2041,1925,360,7160,7155,4185,7160,3855,6020,6020,3350,0
570,5350802.01,CT,Toronto,2.2159999999999997,3829,1290,1267,180,3755,3755,1665,3750,2045,3095,3095,1995,0
571,5350802.02,CT,Toronto,2.4403099999999998,5675,1844,1826,330,5585,5585,2120,5590,3080,4755,4755,2945,0
