,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5005: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,v_CA16_3852: Total - Aboriginal identity for the population in private households - 25% sample data,v_CA16_3999: Total - Ethnic origin for the population in private households - 25% sample data,v_CA16_3438: Total - Age at immigration for the immigrant population in private households - 25% sample data,v_CA16_3390: Total - Citizenship for the population in private households - 25% sample data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5807: Bicycle
115,5350096.01,CT,Toronto,0.20052999999999999,1658,694,658,420,1695,1690,635,1690,1025,1490,1490,850,135
116,5350096.02,CT,Toronto,0.34918000000000005,3336,1494,1398,820,3285,3285,1375,3285,2115,2965,2965,1850,240
117,5350097.01,CT,Toronto,0.3825,4322,1758,1621,1010,3985,3985,1800,3985,2585,3435,3435,2260,215
118,5350097.03,CT,Toronto,0.17179,1207,783,679,555,1215,1220,560,1215,790,1080,1085,520,45
119,5350097.04,CT,Toronto,0.32489,5462,2528,2392,1615,5505,5505,2160,5510,3750,4895,4895,3355,230
120,5350098.0,CT,Toronto,0.71535,7099,3123,3002,1550,7095,7095,2745,7090,4565,6095,6095,3925,305
121,5350099.0,CT,Toronto,0.5813,6585,3380,3241,1875,6550,6555,2165,6550,4400,5620,5620,3900,230
122,5350100.0,CT,Toronto,0.28925,2956,1492,1432,875,2740,2740,730,2735,1905,2360,2355,1685,135
123,5350101.0,CT,Toronto,0.43013999999999997,3128,1595,1464,845,3240,3235,745,3240,2190,2810,2810,2080,155
124,5350102.02,CT,Toronto,0.11565999999999999,4313,2688,2535,1695,4305,4310,1880,4310,3020,3945,3950,2545,65
125,5350102.03,CT,Toronto,0.13087000000000001,3682,2178,2095,1180,3700,3700,1665,3700,2535,3330,3335,2330,80
126,5350102.04,CT,Toronto,0.10128999999999999,671,309,285,135,615,615,180,610,390,510,510,355,15
127,5350102.05,CT,Toronto,0.11899000000000001,861,359,340,135,825,830,200,825,490,670,670,455,30
128,5350103.0,CT,Toronto,0.83794,6050,2627,2527,1030,5810,5815,1585,5810,3325,4895,4900,3155,145
129,5350104.0,CT,Toronto,0.73732,5525,2141,2054,580,5635,5635,1165,5635,3230,4470,4470,3080,130
130,5350105.0,CT,Toronto,0.55453,4509,1917,1790,685,4480,4485,1145,4485,2690,3750,3755,2555,200
131,5350106.0,CT,Toronto,1.37076,3773,1427,1343,590,3620,3620,1930,3615,2285,3080,3085,2065,35
132,5350107.0,CT,Toronto,0.71899,5085,1880,1751,530,5085,5085,2515,5080,3025,4325,4325,2590,70
133,5350108.0,CT,Toronto,0.73607,6013,2679,2475,1260,6005,6010,2860,6010,3630,5095,5095,2870,135
134,5350109.0,CT,Toronto,0.62602,5496,2299,2203,980,5415,5415,2255,5415,3545,4705,4705,3255,170
135,5350110.0,CT,Toronto,0.5455399999999999,3577,1557,1434,615,3660,3660,1635,3665,2305,3165,3165,2080,60
136,5350111.0,CT,Toronto,0.45581000000000005,2507,968,902,225,2450,2450,1205,2450,1405,2125,2125,1210,25
137,5350112.0,CT,Toronto,0.5017199999999999,5295,2181,2035,870,5315,5320,2445,5315,3280,4585,4585,2840,140
138,5350113.0,CT,Toronto,0.38225,2754,1197,1118,510,2680,2680,815,2680,1645,2325,2325,1585,130
139,5350114.0,CT,Toronto,0.62462,5349,2471,2369,1455,5165,5165,1665,5160,2870,4420,4425,2725,190
140,5350115.0,CT,Toronto,0.37543000000000004,4372,1670,1597,645,3935,3935,1580,3935,2395,3415,3415,2185,240
