,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2: Age Stats,v_CA16_3: Age Stats,v_CA16_418: Private households by household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_478: Total - Census families in private households by family size - 100% data.1,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2399: Total - Income statistics in 2015 for one-person private households - 100% data,v_CA16_2402: Total - Income statistics in 2015 for two-or-more-person private households - 100% data,v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data,v_CA16_2446: Total - Income statistics in 2015 for economic families in private households - 100% data,v_CA16_2450: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,v_CA16_2454: Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,v_CA16_2462: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,v_CA16_5807: Bicycle
44,5350037.0,CT,Toronto,0.45102,4494,2463,2116,2210,2280,2115,705,705,4030,4025,4030,2115,915,1205,2115,725,285,230,2295,290
45,5350038.0,CT,Toronto,0.36616,3772,1820,1638,1885,1885,1640,690,690,3355,3355,3355,1640,700,935,1640,680,270,225,1685,275
46,5350039.0,CT,Toronto,0.31773,4192,1821,1709,2035,2160,1710,930,930,3605,3610,3605,1705,650,1060,1710,900,245,285,1220,165
47,5350040.0,CT,Toronto,0.36873,4568,1961,1788,2235,2335,1790,1130,1130,4060,4060,4060,1785,490,1300,1790,1090,430,420,1350,305
48,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,1750,1705,1455,830,830,3050,3045,3045,1455,445,1005,1450,830,335,320,1035,310
49,5350042.0,CT,Toronto,0.48994,4570,2150,1965,2205,2360,1965,1105,1105,4025,4025,4025,1965,640,1325,1965,1085,445,400,1405,450
50,5350043.0,CT,Toronto,0.55392,3965,1863,1704,1995,1970,1705,980,980,3355,3355,3355,1705,580,1120,1705,965,440,365,1090,315
51,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,4240,4580,4630,1845,1845,7905,7905,7905,4630,2070,2555,4625,1915,1020,545,3610,740
52,5350045.0,CT,Toronto,0.29514,3453,1567,1468,1765,1690,1465,820,820,2915,2910,2910,1470,505,965,1470,820,335,285,955,290
53,5350046.0,CT,Toronto,0.42036,3281,1404,1330,1630,1650,1330,895,895,2840,2840,2840,1330,355,975,1330,875,290,350,690,230
54,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,1995,1795,1945,820,820,3285,3285,3285,1945,980,970,1945,820,325,290,1365,215
55,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,360,340,360,175,175,620,620,620,360,170,195,360,175,80,65,225,85
56,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,1400,1445,1180,735,735,2335,2335,2340,1180,350,830,1180,735,265,345,640,215
57,5350048.0,CT,Toronto,0.3349,3557,1660,1560,1750,1805,1560,890,890,2935,2935,2940,1560,555,1005,1560,905,335,420,865,265
58,5350049.0,CT,Toronto,0.46479,3663,1506,1426,1685,1985,1425,835,835,2685,2690,2690,1425,500,920,1425,845,335,375,750,230
