,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2: Age Stats,v_CA16_3: Age Stats,v_CA16_418: Private households by household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_478: Total - Census families in private households by family size - 100% data.1,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2399: Total - Income statistics in 2015 for one-person private households - 100% data,v_CA16_2402: Total - Income statistics in 2015 for two-or-more-person private households - 100% data,v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data,v_CA16_2446: Total - Income statistics in 2015 for economic families in private households - 100% data,v_CA16_2450: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,v_CA16_2454: Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,v_CA16_2462: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,v_CA16_5807: Bicycle
162,5350134.0,CT,Toronto,0.41703999999999997,2959,1076,1033,1405,1555,1035,830,830,2215,2215,2210,1035,175,855,1035,835,235,500,255,45
163,5350135.0,CT,Toronto,0.71622,6047,3316,3054,2830,3215,3055,1505,1505,5155,5155,5155,3050,1425,1630,3055,1525,610,665,1705,70
164,5350136.01,CT,Toronto,0.19196,6128,4023,3779,2775,3355,3775,1390,1390,5695,5695,5695,3780,2130,1655,3780,1440,745,355,2605,50
165,5350136.02,CT,Toronto,0.21013,4983,3459,3198,2210,2770,3200,1095,1095,4675,4675,4670,3200,1920,1280,3195,1135,620,260,2230,35
166,5350137.0,CT,Toronto,0.9142100000000001,7077,3644,3509,3245,3830,3510,1805,1805,6080,6080,6080,3510,1545,1965,3510,1825,775,765,1895,90
167,5350138.0,CT,Toronto,0.96546,3103,1250,1181,1430,1675,1180,845,845,2590,2590,2590,1180,310,870,1180,850,290,450,370,15
168,5350139.01,CT,Toronto,0.7736,4167,1904,1824,1935,2230,1825,1115,1115,3450,3450,3445,1820,680,1145,1820,1115,395,560,760,30
169,5350139.02,CT,Toronto,0.50952,2542,961,920,1225,1315,920,685,685,2030,2030,2030,920,210,715,920,690,190,405,270,20
170,5350140.0,CT,Toronto,0.57204,2408,826,791,1190,1220,790,685,685,1985,1985,1985,790,95,700,790,685,205,410,155,25
171,5350141.01,CT,Toronto,0.5504100000000001,4320,1685,1620,2070,2250,1620,1230,1230,3350,3350,3350,1620,365,1255,1620,1225,355,705,470,30
172,5350141.02,CT,Toronto,0.6875899999999999,4477,1624,1561,2195,2280,1560,1265,1265,3425,3420,3425,1560,270,1290,1560,1275,320,785,330,35
173,5350142.0,CT,Toronto,1.0439200000000002,5810,2313,2237,2785,3025,2235,1560,1560,4505,4505,4510,2235,635,1600,2240,1560,420,935,755,20
174,5350150.0,CT,Toronto,1.10899,4201,1640,1586,2050,2145,1585,1190,1190,3360,3355,3360,1585,355,1230,1585,1195,380,660,490,65
175,5350151.0,CT,Toronto,0.65559,3784,1577,1535,1700,2090,1535,1050,1050,2920,2920,2925,1535,455,1075,1535,1055,220,435,530,60
176,5350152.0,CT,Toronto,0.8546299999999999,4545,1846,1764,2175,2375,1765,1335,1335,3650,3645,3650,1765,385,1375,1765,1335,430,665,535,135
177,5350153.0,CT,Toronto,0.92761,4462,1783,1685,2180,2280,1685,1265,1265,3830,3830,3825,1685,425,1260,1685,1210,345,560,630,55
178,5350154.0,CT,Toronto,2.15888,6157,2899,2818,2865,3295,2820,1685,1685,5400,5400,5400,2815,1070,1750,2820,1660,550,640,1345,10
179,5350155.0,CT,Toronto,0.81296,3128,1316,1206,1545,1585,1210,805,805,2525,2525,2525,1205,420,785,1210,770,160,350,505,0
180,5350156.01,CT,Toronto,0.60545,5688,2365,2273,2775,2915,2275,1495,1495,4615,4610,4615,2270,765,1505,2275,1470,300,600,940,20
181,5350156.02,CT,Toronto,0.59201,2811,1124,1073,1395,1420,1070,765,765,2370,2375,2370,1070,305,770,1075,745,185,345,420,0
182,5350157.0,CT,Toronto,0.48528000000000004,2635,1107,1016,1260,1380,1015,735,735,2145,2145,2145,1020,255,760,1015,730,170,315,375,15
183,5350158.0,CT,Toronto,0.63989,2848,1346,1250,1285,1560,1250,710,710,2465,2465,2465,1250,505,745,1250,700,200,285,665,15
184,5350159.01,CT,Toronto,0.49246999999999996,3487,1386,1223,1755,1730,1220,990,990,2975,2975,2975,1225,255,970,1225,945,225,495,400,10
185,5350159.02,CT,Toronto,0.5753199999999999,4723,1843,1709,2305,2415,1710,1345,1345,3990,3990,3990,1710,390,1315,1705,1280,315,675,575,25
186,5350160.0,CT,Toronto,0.73445,3116,1246,1143,1555,1555,1145,875,875,2590,2590,2590,1145,255,885,1140,855,220,460,390,15
187,5350161.0,CT,Toronto,0.81126,6839,2689,2537,3365,3475,2535,1940,1940,5830,5825,5825,2540,570,1965,2540,1875,465,955,925,55
188,5350162.0,CT,Toronto,0.57575,5119,2059,1952,2435,2680,1950,1365,1365,4205,4205,4205,1950,540,1415,1950,1335,340,615,845,50
189,5350163.0,CT,Toronto,0.45421999999999996,4358,1882,1762,2110,2250,1760,1175,1175,3705,3705,3705,1765,490,1270,1765,1165,350,535,845,125
190,5350164.0,CT,Toronto,0.6282300000000001,6258,2629,2515,3025,3230,2515,1750,1750,5235,5235,5235,2515,655,1860,2515,1730,515,765,1085,195
191,5350165.0,CT,Toronto,0.48493,4370,2031,1943,2055,2315,1945,1130,1130,3650,3650,3650,1945,700,1245,1945,1140,375,530,1005,135
192,5350166.0,CT,Toronto,0.78603,4180,1691,1625,1975,2205,1625,1070,1070,3325,3325,3330,1625,480,1140,1625,1075,340,600,700,35
193,5350167.01,CT,Toronto,0.13410999999999998,1879,1483,1312,780,1100,1315,425,425,1800,1795,1795,1310,845,470,1310,430,320,55,920,30
194,5350167.02,CT,Toronto,0.60145,5815,3143,2998,2590,3220,3000,1405,1405,5090,5090,5090,2995,1350,1645,3000,1430,610,465,1870,110
195,5350168.0,CT,Toronto,0.56552,5475,2665,2458,2515,2960,2455,1405,1405,4695,4690,4690,2455,965,1490,2455,1390,365,590,1330,60
196,5350169.01,CT,Toronto,0.3781,3472,1457,1334,1605,1865,1335,935,935,2995,2995,2995,1335,370,965,1330,910,240,415,635,10
197,5350169.02,CT,Toronto,0.43778,7464,3318,3202,3395,4065,3200,2025,2025,6460,6460,6455,3200,1100,2105,3200,1990,540,905,1460,40
198,5350170.0,CT,Toronto,1.01423,3321,1305,1201,1625,1695,1205,945,945,2905,2905,2905,1200,255,950,1200,900,235,445,465,10
199,5350171.0,CT,Toronto,0.6081,4055,1613,1522,1865,2190,1525,1075,1075,3160,3165,3165,1520,450,1075,1525,1035,215,380,585,10
200,5350172.0,CT,Toronto,1.21015,2522,1183,1128,1230,1285,1125,670,670,2090,2090,2090,1130,415,715,1125,675,145,250,535,10
201,5350173.0,CT,Toronto,0.60145,3694,1528,1438,1785,1910,1440,975,975,2960,2960,2965,1440,430,1010,1435,950,160,365,660,0
202,5350174.0,CT,Toronto,1.06328,7264,2751,2723,3380,3880,2725,1920,1920,5760,5755,5755,2720,770,1955,2725,1895,400,775,1005,10
203,5350175.01,CT,Toronto,0.8012600000000001,6036,2551,2406,2770,3270,2405,1490,1490,4780,4780,4785,2405,860,1545,2405,1460,310,540,1155,0
204,5350175.02,CT,Toronto,0.74248,7679,3813,3585,3685,3990,3585,1850,1850,6235,6235,6235,3585,1570,2015,3585,1865,460,595,2050,10
205,5350176.0,CT,Toronto,1.00471,4277,1697,1609,2085,2190,1605,1210,1210,3590,3585,3590,1610,375,1235,1605,1195,335,555,570,20
206,5350180.0,CT,Toronto,0.6138,6556,2875,2765,3090,3465,2765,1695,1695,5285,5280,5280,2765,935,1830,2765,1705,475,680,1315,35
207,5350181.01,CT,Toronto,0.57055,4313,1940,1858,2045,2265,1860,1230,1230,3670,3675,3675,1855,540,1315,1860,1235,445,550,785,105
208,5350181.02,CT,Toronto,0.60182,3552,1664,1591,1775,1780,1595,965,965,3015,3015,3015,1590,565,1025,1595,960,325,390,775,70
209,5350182.0,CT,Toronto,0.7605,5531,2297,2186,2705,2825,2185,1570,1570,4455,4455,4455,2185,560,1625,2185,1565,480,800,735,110
210,5350183.01,CT,Toronto,0.52409,2603,1048,1007,1270,1335,1005,745,745,2160,2165,2160,1010,255,760,1010,730,235,370,355,65
211,5350183.02,CT,Toronto,0.42813,3938,1584,1522,1900,2040,1520,1135,1135,3195,3190,3195,1520,360,1165,1525,1120,340,590,490,130
212,5350184.01,CT,Toronto,0.47406000000000004,5108,2346,2307,2385,2725,2310,1400,1400,4250,4245,4245,2305,845,1465,2305,1395,480,560,1065,95
213,5350184.02,CT,Toronto,0.56201,3768,1694,1642,1825,1940,1640,1045,1045,3210,3215,3210,1645,540,1100,1640,1045,350,420,735,50
214,5350185.01,CT,Toronto,0.49918999999999997,6810,3507,3394,3255,3555,3395,1765,1765,5900,5900,5900,3395,1445,1950,3395,1790,645,685,1840,205
215,5350185.02,CT,Toronto,1.2288700000000001,4689,2305,2269,2205,2485,2270,1180,1180,3980,3975,3980,2265,1000,1270,2270,1195,490,435,1210,90
216,5350186.0,CT,Toronto,1.9107599999999998,2416,949,913,1155,1260,915,660,660,1915,1915,1920,910,230,680,910,665,195,375,285,30
217,5350187.0,CT,Toronto,1.21045,3448,1424,1351,1735,1715,1350,980,980,2850,2850,2850,1350,350,1000,1350,975,290,490,455,55
218,5350188.0,CT,Toronto,0.55199,2017,842,797,990,1025,795,550,550,1680,1680,1680,795,225,570,795,545,160,290,320,40
219,5350189.0,CT,Toronto,1.2395100000000001,5462,2226,2180,2550,2915,2180,1470,1470,4445,4440,4440,2180,620,1560,2180,1460,435,575,940,25
220,5350190.01,CT,Toronto,0.40226999999999996,9127,3577,3507,4620,4510,3505,2365,2365,7250,7250,7250,3505,965,2545,3505,2365,545,1355,1505,20
221,5350190.02,CT,Toronto,0.5813,4765,2102,2026,2275,2485,2025,1275,1275,3920,3920,3920,2025,660,1370,2025,1275,330,510,930,20
222,5350191.0,CT,Toronto,0.8230299999999999,4229,1853,1779,2100,2125,1775,1190,1190,3570,3570,3570,1780,545,1235,1780,1180,355,545,730,40
223,5350192.0,CT,Toronto,0.92037,905,462,440,445,460,440,210,210,790,790,790,440,215,225,440,210,60,100,260,0
224,5350193.0,CT,Toronto,1.41592,3314,1070,1043,1640,1680,1045,865,865,2675,2675,2675,1045,170,870,1045,845,175,535,295,10
225,5350194.01,CT,Toronto,0.2315,5498,1482,1463,2790,2705,1460,1270,1270,3565,3570,3565,1465,190,1275,1465,1225,135,925,330,25
226,5350194.02,CT,Toronto,0.34635,6240,1934,1923,3105,3130,1925,1425,1425,4380,4380,4380,1925,455,1470,1920,1395,275,880,650,10
227,5350194.03,CT,Toronto,0.25016,2933,1238,1229,1320,1615,1230,720,720,2325,2325,2325,1230,465,765,1230,725,135,345,595,0
228,5350194.04,CT,Toronto,2.29209,6437,2571,2508,3080,3355,2505,1650,1650,4980,4975,4975,2510,810,1700,2510,1630,400,885,995,20
229,5350195.01,CT,Toronto,0.9462,4483,1656,1604,2130,2355,1605,1180,1180,3430,3425,3425,1600,390,1215,1605,1180,280,730,490,60
230,5350195.02,CT,Toronto,0.37813,2317,920,894,1105,1210,890,635,635,1810,1815,1815,895,255,640,895,630,165,365,285,45
231,5350196.01,CT,Toronto,0.3774,1977,811,775,910,1065,775,540,540,1640,1640,1635,775,225,550,775,540,160,310,250,25
232,5350196.02,CT,Toronto,1.10548,5635,2376,2250,2720,2915,2250,1535,1535,4565,4565,4565,2250,680,1575,2250,1540,475,850,775,75
233,5350200.01,CT,Toronto,0.6408,5614,3143,3055,2685,2930,3055,1470,1470,5000,5000,5000,3055,1430,1625,3055,1490,660,380,1750,70
234,5350200.02,CT,Toronto,0.14209000000000002,981,680,649,485,500,650,195,195,910,910,915,650,425,220,650,195,105,50,485,15
235,5350201.0,CT,Toronto,0.75952,5371,2989,2776,2600,2770,2775,1410,1410,4700,4705,4705,2775,1265,1510,2775,1405,630,495,1545,50
236,5350202.0,CT,Toronto,0.33589,1647,653,631,805,845,630,465,465,1340,1340,1340,630,145,480,630,460,135,245,220,25
237,5350203.0,CT,Toronto,0.58927,3160,1507,1431,1475,1680,1430,855,855,2685,2685,2680,1430,520,910,1430,850,300,345,700,25
238,5350204.0,CT,Toronto,0.74088,4537,2310,2210,2215,2320,2210,1175,1175,3860,3865,3865,2210,935,1275,2210,1185,445,485,1180,105
239,5350205.0,CT,Toronto,0.7337199999999999,149,0,0,x,x,F,F,F,F,F,F,F,F,F,F,F,F,F,F,x
240,5350206.01,CT,Toronto,1.13878,4217,2151,2041,2055,2160,2045,1155,1155,3670,3670,3670,2040,810,1235,2040,1155,445,415,1025,45
241,5350206.02,CT,Toronto,1.08513,5867,2994,2774,2955,2905,2775,1540,1540,5055,5055,5055,2775,1060,1710,2775,1545,555,610,1510,65
242,5350207.0,CT,Toronto,0.67366,2605,1285,1181,1345,1255,1180,670,670,2295,2295,2295,1180,415,765,1185,655,225,265,710,25
243,5350208.0,CT,Toronto,1.29403,4172,2062,1981,1995,2175,1980,1045,1045,3515,3520,3515,1980,855,1125,1980,1045,255,380,1095,25
244,5350209.0,CT,Toronto,0.69308,2718,1338,1252,1310,1405,1250,670,670,2330,2330,2335,1255,535,715,1255,670,200,270,705,20
245,5350210.01,CT,Toronto,2.96012,3083,1008,971,1745,1335,970,795,795,2175,2175,2175,970,185,790,975,770,245,385,255,20
246,5350210.02,CT,Toronto,0.94935,11390,9168,7016,5425,5965,7015,3005,3005,10690,10690,10690,7015,3710,3310,7015,3070,1950,620,4225,85
247,5350211.0,CT,Toronto,3.27116,6350,2512,2447,3120,3225,2450,1845,1845,5490,5490,5490,2450,595,1850,2450,1795,530,855,825,40
248,5350212.0,CT,Toronto,1.7065400000000002,5704,2220,2169,2765,2940,2170,1635,1635,4775,4775,4775,2170,510,1660,2170,1610,480,795,725,25
249,5350213.01,CT,Toronto,0.94226,2666,1021,990,1335,1325,990,780,780,2265,2265,2270,990,220,775,990,765,240,385,280,15
250,5350213.02,CT,Toronto,7.044739999999999,6045,3246,3134,2915,3135,3130,1615,1615,5315,5310,5315,3135,1355,1780,3135,1650,835,490,1665,0
251,5350214.0,CT,Toronto,2.8237799999999997,5069,2466,2389,2465,2605,2385,1440,1440,4450,4455,4455,2390,885,1500,2385,1435,575,590,1065,15
252,5350215.0,CT,Toronto,2.60049,6748,2991,2789,3250,3500,2790,1940,1940,5680,5685,5685,2785,795,1995,2790,1920,675,890,1035,55
253,5350216.0,CT,Toronto,1.9993,5532,2238,2163,2715,2815,2160,1600,1600,4525,4530,4530,2160,530,1635,2165,1600,570,830,645,50
254,5350217.0,CT,Toronto,1.33055,5692,2917,2756,2850,2840,2755,1530,1530,4840,4840,4840,2755,1100,1655,2755,1545,475,605,1380,50
255,5350218.0,CT,Toronto,0.6829999999999999,2652,1060,1025,1315,1340,1025,770,770,2130,2130,2130,1025,235,790,1025,775,265,425,300,30
256,5350219.0,CT,Toronto,1.36063,4427,1690,1644,2125,2300,1645,1270,1270,3655,3660,3660,1645,365,1285,1645,1255,360,675,470,50
257,5350220.0,CT,Toronto,1.32212,4177,1597,1584,2035,2140,1580,1175,1175,3495,3490,3490,1580,370,1210,1580,1175,345,590,490,20
258,5350221.01,CT,Toronto,1.64542,6377,2751,2725,2890,3485,2725,1880,1880,5620,5620,5615,2725,810,1920,2725,1880,710,850,910,20
259,5350221.02,CT,Toronto,0.80501,5202,2167,2064,2530,2675,2065,1365,1365,4255,4260,4255,2060,635,1425,2065,1350,350,630,875,50
260,5350222.01,CT,Toronto,1.28483,6699,2626,2557,3245,3450,2560,1900,1900,5655,5650,5650,2560,640,1920,2555,1860,590,900,880,0
261,5350222.02,CT,Toronto,1.2002,5141,1830,1782,2460,2680,1780,1390,1390,3880,3880,3880,1780,370,1410,1780,1375,315,675,480,15
262,5350223.01,CT,Toronto,0.8724200000000001,1522,536,530,750,775,530,460,460,1280,1280,1280,530,70,460,530,450,130,255,100,10
263,5350223.02,CT,Toronto,0.8724700000000001,2136,793,771,1050,1085,770,610,610,1805,1810,1810,770,150,620,775,605,170,345,200,0
264,5350224.0,CT,Toronto,1.04417,1696,578,573,830,870,575,505,505,1400,1400,1405,575,75,500,575,500,140,305,90,0
265,5350225.01,CT,Toronto,0.93466,4981,2387,2316,2280,2700,2315,1430,1430,4460,4460,4460,2315,780,1535,2315,1460,595,530,995,10
266,5350225.02,CT,Toronto,0.3048,9706,5006,4859,4445,5260,4860,2415,2415,8300,8300,8300,4860,2180,2680,4860,2485,1050,740,2715,25
267,5350226.0,CT,Toronto,0.9533299999999999,3167,1262,1212,1505,1660,1210,930,930,2605,2605,2605,1210,270,945,1215,925,330,505,315,0
268,5350227.0,CT,Toronto,0.49183999999999994,1750,637,626,830,920,625,515,515,1440,1445,1440,625,100,525,625,520,170,280,125,0
269,5350228.0,CT,Toronto,0.883,3131,1418,1362,1430,1705,1360,915,915,2675,2675,2675,1365,425,940,1365,910,405,395,490,30
270,5350229.0,CT,Toronto,0.32031,1223,393,384,575,645,385,320,320,870,865,865,385,60,320,385,325,90,195,70,0
271,5350230.01,CT,Toronto,1.50655,2537,1109,1082,1175,1360,1085,710,710,2115,2115,2115,1080,375,705,1080,690,290,285,425,10
272,5350230.02,CT,Toronto,0.9858399999999999,6537,2775,2606,2980,3560,2605,1840,1840,5450,5450,5455,2605,720,1885,2605,1825,555,780,890,10
273,5350231.0,CT,Toronto,3.02848,6461,2722,2566,3150,3310,2570,1840,1840,5505,5505,5510,2565,690,1870,2565,1820,600,925,835,20
274,5350232.0,CT,Toronto,2.04605,3825,1348,1306,1865,1960,1305,1140,1140,3235,3235,3240,1305,165,1140,1305,1125,365,635,215,0
275,5350233.0,CT,Toronto,2.0806,5530,2032,1982,2735,2795,1985,1670,1670,4635,4630,4630,1980,310,1670,1980,1645,510,860,395,0
276,5350234.0,CT,Toronto,2.11718,4524,1645,1600,2160,2360,1600,1325,1325,3745,3745,3745,1600,285,1315,1600,1300,380,670,330,0
277,5350235.01,CT,Toronto,1.40707,2841,1009,997,1405,1435,995,845,845,2440,2445,2440,1000,165,830,995,810,220,440,255,10
278,5350235.02,CT,Toronto,1.07805,5277,2039,2010,2540,2735,2010,1550,1550,4575,4575,4580,2010,465,1545,2010,1510,420,700,595,15
279,5350236.01,CT,Toronto,0.98685,6646,2560,2519,3100,3550,2520,1845,1845,5515,5515,5515,2520,650,1870,2520,1810,470,820,865,15
280,5350236.02,CT,Toronto,4.07421,5946,2284,2256,2805,3140,2255,1745,1745,5135,5135,5135,2255,515,1745,2255,1700,510,870,645,10
281,5350237.01,CT,Toronto,1.1853200000000002,6816,2468,2410,3260,3555,2410,1845,1845,5370,5370,5370,2410,575,1835,2410,1785,385,810,775,0
282,5350237.02,CT,Toronto,0.9550299999999999,2986,1077,1061,1495,1490,1060,865,865,2465,2470,2465,1065,190,870,1065,850,245,445,270,0
283,5350237.03,CT,Toronto,1.0689799999999998,5638,2626,2544,2605,3035,2545,1580,1580,4940,4940,4940,2545,915,1625,2545,1570,560,620,1105,10
284,5350238.01,CT,Toronto,1.03807,3350,1259,1231,1660,1690,1230,995,995,2910,2905,2905,1230,245,985,1230,980,315,515,285,0
285,5350238.02,CT,Toronto,0.98177,5244,2070,1953,2540,2700,1955,1505,1505,4290,4290,4295,1950,445,1510,1955,1470,375,695,605,10
286,5350239.0,CT,Toronto,2.55782,6481,2511,2383,3010,3470,2380,1860,1860,5235,5235,5235,2385,505,1880,2385,1830,435,740,710,25
287,5350240.01,CT,Toronto,1.2726899999999999,3366,1291,1263,1615,1750,1265,1030,1030,2900,2900,2900,1260,245,1015,1260,1010,335,520,280,10
288,5350240.02,CT,Toronto,1.04495,6043,2621,2558,2635,3415,2560,1635,1635,4970,4970,4970,2555,890,1665,2555,1625,565,645,1020,0
289,5350241.0,CT,Toronto,1.0982,3231,1030,1003,1495,1735,1000,825,825,2390,2390,2390,1000,200,805,1005,800,235,420,270,10
290,5350242.0,CT,Toronto,0.67084,1674,610,575,765,910,575,460,460,1300,1305,1305,575,120,455,575,450,85,150,160,0
291,5350243.01,CT,Toronto,0.31518,6658,2236,2142,3260,3395,2145,1560,1560,5120,5120,5120,2140,505,1640,2140,1520,330,640,965,10
292,5350243.02,CT,Toronto,1.2154,3617,1342,1304,1770,1850,1305,1015,1015,3095,3095,3100,1305,305,1000,1305,960,250,420,440,0
293,5350244.01,CT,Toronto,1.45046,5677,2009,1945,2790,2885,1945,1560,1560,4710,4710,4710,1945,375,1570,1945,1515,360,700,615,10
294,5350244.02,CT,Toronto,1.46584,3779,1335,1274,1730,2050,1275,1010,1010,2935,2935,2930,1270,260,1015,1275,975,170,375,405,10
295,5350245.0,CT,Toronto,1.42111,6934,2672,2567,3380,3555,2565,1930,1930,5795,5795,5800,2565,640,1925,2570,1865,400,845,910,25
296,5350246.0,CT,Toronto,1.0727,3595,1317,1279,1755,1840,1280,955,955,2925,2925,2925,1280,350,925,1280,910,245,470,465,0
297,5350247.01,CT,Toronto,17.35024,8727,2931,2748,4335,4390,2745,2305,2305,7275,7275,7275,2750,550,2195,2745,2100,400,1190,980,10
298,5350247.02,CT,Toronto,3.22582,7167,2537,2385,3615,3550,2385,2050,2050,6055,6060,6055,2385,455,1925,2385,1885,480,1055,730,20
299,5350248.02,CT,Toronto,1.23696,5671,1864,1784,2635,3040,1785,1325,1325,4270,4270,4270,1785,520,1265,1785,1245,120,490,660,0
300,5350248.03,CT,Toronto,3.7960800000000003,2619,789,754,1330,1290,755,715,715,2225,2220,2220,755,90,660,755,640,105,370,260,0
301,5350248.04,CT,Toronto,1.51177,4771,1671,1496,2350,2430,1495,1175,1175,3940,3940,3935,1495,260,1240,1495,1085,210,540,815,30
302,5350248.05,CT,Toronto,1.15519,4332,1413,1310,2180,2155,1310,1050,1050,3630,3630,3630,1310,255,1055,1310,955,215,495,715,0
303,5350249.01,CT,Toronto,0.82975,4650,1428,1341,2305,2345,1340,1355,1355,3995,3995,3995,1345,150,1195,1340,1170,260,680,310,0
304,5350249.03,CT,Toronto,2.96801,5696,1704,1592,2810,2885,1590,1570,1570,4725,4725,4720,1590,180,1415,1595,1385,185,820,410,0
305,5350249.04,CT,Toronto,0.6863199999999999,3344,999,952,1670,1670,955,885,885,2710,2710,2710,955,115,835,950,810,145,490,275,15
306,5350249.05,CT,Toronto,0.64364,5476,1584,1534,2730,2750,1535,1465,1465,4230,4225,4230,1535,120,1415,1535,1375,160,850,320,0
307,5350250.01,CT,Toronto,1.40913,5432,1618,1545,2665,2770,1545,1420,1420,4290,4295,4290,1545,195,1350,1545,1310,265,720,480,0
308,5350250.02,CT,Toronto,1.99197,4928,1854,1735,2395,2535,1735,1385,1385,4105,4105,4105,1735,375,1360,1735,1330,330,590,550,15
309,5350250.04,CT,Toronto,0.50556,6206,2057,1994,3030,3180,1995,1630,1630,4585,4585,4585,1995,305,1690,1990,1585,225,745,725,10
310,5350250.05,CT,Toronto,0.70576,7607,2288,2270,3705,3900,2270,1965,1965,5950,5945,5950,2270,300,1970,2270,1910,240,1070,545,10
311,5350260.01,CT,Toronto,0.7288,6748,2431,2398,3255,3490,2395,1750,1750,5690,5695,5695,2395,635,1765,2400,1705,370,965,835,10
312,5350260.04,CT,Toronto,0.1881,4147,1498,1480,2020,2125,1480,1035,1035,3210,3215,3210,1480,395,1085,1480,1030,205,590,560,10
313,5350260.05,CT,Toronto,0.2543,4020,1369,1332,1955,2070,1335,1030,1030,2845,2845,2845,1330,270,1060,1335,1025,120,515,370,10
314,5350260.06,CT,Toronto,0.95204,3348,1132,1116,1610,1735,1115,875,875,2615,2620,2615,1115,205,910,1115,845,125,420,380,0
315,5350260.07,CT,Toronto,0.35736999999999997,3670,1534,1504,1700,1975,1505,1030,1030,3175,3175,3175,1500,465,1045,1500,1010,325,450,560,20
316,5350261.0,CT,Toronto,1.92395,5501,2284,2194,2420,3085,2195,1365,1365,4465,4465,4465,2195,850,1340,2195,1310,280,540,975,0
317,5350262.01,CT,Toronto,0.67091,5736,2752,2728,2670,3065,2725,1570,1570,4890,4890,4890,2730,1060,1665,2725,1575,500,620,1290,0
318,5350262.02,CT,Toronto,2.16555,6273,2526,2490,3020,3250,2490,1700,1700,5195,5195,5195,2490,730,1760,2490,1675,450,795,965,20
319,5350263.02,CT,Toronto,2.00598,3471,1680,1629,1575,1895,1630,925,925,2925,2920,2920,1625,680,950,1630,920,355,380,765,15
320,5350263.03,CT,Toronto,1.56059,4906,2106,2060,2240,2665,2060,1270,1270,3940,3935,3935,2060,755,1310,2060,1260,385,570,870,15
321,5350263.04,CT,Toronto,0.69962,6531,3616,3536,2925,3605,3535,1770,1770,5770,5770,5770,3535,1660,1875,3540,1800,890,510,1850,0
322,5350264.0,CT,Toronto,3.4653400000000003,1301,482,435,595,700,435,375,375,1145,1140,1145,435,65,365,435,360,130,180,110,0
323,5350265.0,CT,Toronto,2.6864,4756,1855,1742,2285,2470,1740,1340,1340,3825,3830,3830,1740,395,1355,1740,1335,480,710,450,25
324,5350266.0,CT,Toronto,2.7633799999999997,3209,1141,1064,1575,1635,1065,930,930,2775,2775,2775,1065,170,895,1065,900,270,525,215,10
325,5350267.0,CT,Toronto,2.71113,6368,2133,2062,3170,3200,2065,1835,1835,5275,5270,5270,2060,260,1805,2060,1785,475,1105,380,10
326,5350268.0,CT,Toronto,3.0571,6419,2938,2837,2905,3510,2835,1800,1800,5500,5495,5500,2835,1005,1830,2835,1790,675,790,1150,25
327,5350269.01,CT,Toronto,0.75312,5056,2354,2081,2370,2685,2085,1345,1345,4290,4290,4285,2080,610,1470,2080,1355,310,545,930,0
328,5350269.02,CT,Toronto,1.76908,2569,951,923,1240,1325,925,775,775,2180,2175,2180,920,155,765,920,755,215,415,200,10
329,5350270.01,CT,Toronto,1.1240700000000001,4980,2117,1953,2360,2620,1950,1355,1355,4155,4155,4155,1955,540,1415,1950,1340,365,580,785,0
330,5350270.02,CT,Toronto,0.75775,4264,1636,1611,2065,2195,1610,1200,1200,3420,3420,3415,1615,400,1215,1610,1185,290,550,495,0
331,5350271.01,CT,Toronto,0.8935,2429,899,893,1155,1275,895,720,720,2060,2055,2055,895,180,715,890,700,195,360,230,15
332,5350271.02,CT,Toronto,0.7092,4815,1765,1749,2325,2490,1750,1345,1345,3890,3895,3895,1750,375,1375,1750,1330,290,675,505,10
333,5350272.01,CT,Toronto,0.4552,5987,2408,2342,2740,3240,2340,1600,1600,4895,4900,4895,2340,660,1685,2340,1600,305,715,925,0
334,5350272.02,CT,Toronto,0.99884,4705,1791,1763,2190,2520,1765,1315,1315,4010,4010,4010,1765,450,1315,1765,1270,320,645,590,10
335,5350273.01,CT,Toronto,3.2065799999999998,4014,1311,1231,1965,2050,1230,1130,1130,3275,3270,3275,1230,125,1105,1230,1090,290,640,210,10
336,5350273.02,CT,Toronto,1.28882,4160,1530,1477,1955,2205,1475,1240,1240,3535,3540,3535,1475,240,1240,1475,1205,355,620,375,10
337,5350274.01,CT,Toronto,1.52481,4900,1788,1756,2390,2510,1755,1385,1385,4090,4095,4095,1755,350,1410,1755,1355,355,710,545,0
338,5350274.02,CT,Toronto,1.3313700000000002,4738,2056,1964,2215,2525,1965,1375,1375,4140,4140,4135,1965,595,1370,1965,1345,455,645,675,0
339,5350275.0,CT,Toronto,1.9755900000000002,5836,2451,2347,2725,3110,2345,1610,1610,4890,4895,4895,2350,705,1640,2345,1610,605,790,820,30
