GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5809: Bicycle,v_CA16_5808: Bicycle,v_CA16_5807: Bicycle
5350097.04,CT,Toronto,0.32489,5462,2528,2392,110,120,230
5350098.00,CT,Toronto,0.71535,7099,3123,3002,135,170,305
5350099.00,CT,Toronto,0.5813,6585,3380,3241,95,130,230
5350100.00,CT,Toronto,0.28925,2956,1492,1432,40,100,135
5350101.00,CT,Toronto,0.43014,3128,1595,1464,80,80,155
5350102.02,CT,Toronto,0.11566,4313,2688,2535,40,30,65
5350102.03,CT,Toronto,0.13087,3682,2178,2095,30,50,80
5350102.04,CT,Toronto,0.10129,671,309,285,15,0,15
5350102.05,CT,Toronto,0.11899,861,359,340,0,30,30
5350103.00,CT,Toronto,0.83794,6050,2627,2527,45,100,145
5350104.00,CT,Toronto,0.73732,5525,2141,2054,35,90,130
5350105.00,CT,Toronto,0.55453,4509,1917,1790,75,125,200
5350106.00,CT,Toronto,1.37076,3773,1427,1343,0,25,35
5350107.00,CT,Toronto,0.71899,5085,1880,1751,25,40,70
5350108.00,CT,Toronto,0.73607,6013,2679,2475,55,85,135
5350109.00,CT,Toronto,0.62602,5496,2299,2203,65,110,170
5350110.00,CT,Toronto,0.54554,3577,1557,1434,15,40,60
5350111.00,CT,Toronto,0.45581,2507,968,902,10,15,25
5350112.00,CT,Toronto,0.50172,5295,2181,2035,75,65,140
5350113.00,CT,Toronto,0.38225,2754,1197,1118,45,85,130
5350114.00,CT,Toronto,0.62462,5349,2471,2369,85,105,190
5350115.00,CT,Toronto,0.37543,4372,1670,1597,130,115,240
5350116.00,CT,Toronto,0.67913,4628,2044,1921,75,100,180
5350117.00,CT,Toronto,0.39107,2211,1165,1106,25,45,70
5350118.00,CT,Toronto,0.69384,4127,2183,1990,35,65,100
5350119.00,CT,Toronto,0.8519,4630,2485,2310,15,30,45
5350120.00,CT,Toronto,0.25722,1381,697,654,10,20,30
5350121.00,CT,Toronto,0.29736,2659,1629,1448,0,0,10
5350122.00,CT,Toronto,0.53381,6220,3655,3443,45,40,90
5350123.00,CT,Toronto,0.07501,2268,1494,1467,10,10,25
